,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
01/2019,,,,,,,,,,,
02/2019,,,,,,,,,,,
04/2019,,,,,,,,,,,
05/2019,,,,,,,,,,,
06/2019,,,,,,,,,,,
07/2019,,,,,,,,,,,
08/2019,0.005378309838855067,0.0032999516150746134,0.05125370530179421,0.005994129390739726,-0.0014028683070052951,-0.011719865481100517,0.06865441943207931,0.010287755976660802,-0.0023700131998298304,-0.006163805407129939,0.00853919250858014
10/2019,-0.002441116239988557,0.03759546138686848,-0.0003240045917830871,0.007600921100512532,0.014577527172512096,-0.012141615588587992,-0.01714808592554415,-0.022991672161566334,0.010160401663399703,-0.0095680816522415,-0.009711098625333266
11/2019,0.006604806469323537,0.06527319669130091,0.032197235606911616,0.04456045696884239,0.01967384006853479,0.055528791809079325,0.013870781897949658,0.030901568774166666,0.01369277517626321,0.018583582532600115,0.029915957676543637
12/2019,0.008725887864957682,0.04833251601542832,0.009955323924792335,0.04457542819408277,-0.025772065588715733,0.007800116113787028,-0.09943246997822618,0.03211215036145193,0.02125920601210533,-0.00031250267508295404,0.02129376263815586
01/2020,0.010266296108081371,0.019403707546728856,0.0011973129729145196,0.01911916197424412,-0.038981689727963155,-0.0077653405451858434,-0.09824127598030324,-0.006672243573732419,0.016768081305637787,-0.0170633081006596,0.022805865513649885
02/2020,0.011763522307228349,-0.018692102351263506,-0.004247525018244505,0.012136937552134104,-0.0101974102760529,-0.027594228236276733,-0.10334721320338683,-0.015253083401232142,0.016389610682011023,-0.020008721768162308,0.018809601774152272
03/2020,0.010510922982984113,0.03165119510377727,-0.008816866892187074,-0.01716362270408049,0.007945470016565205,-0.0010592687307217005,-0.034424689805563374,0.0076050097240809925,0.013927595478447689,0.03149178000796017,-0.0004445489475899541
04/2020,0.0018373250949792622,0.009673573196488207,0.027246817814651995,-0.023464939993457473,0.0005069303715404468,0.0183853143113697,-0.02270142809274991,-0.000719936715776158,-0.026986040436109856,0.030086302445024145,-0.02602976537631322
05/2020,-0.0016778648967927007,-0.036587032786156284,-0.029288253862984018,-0.021014132002323944,-0.006845109884098106,-0.012783657384153836,0.01275897626949575,-0.0037607226887924634,-0.03072533568585041,-0.01622932003235955,-0.018675909020735973
