,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
01/2019,,,,,,,,,,,
02/2019,,,,,,,,,,,
04/2019,,,,,,,,,,,
05/2019,,,,,,,,,,,
06/2019,,,,,,,,,,,
07/2019,,,,,,,,,,,
08/2019,-9.689411168595929e-05,-0.00011561293176455117,-0.0004856745186198111,9.497258467407911e-05,-0.0007365644087192913,-7.82858924559844e-05,-0.00015320225904714535,0.00030624648213329264,0.0002198328547048478,-0.0007061161406055386,0.00033190180863074787
10/2019,-0.00027113791513037547,-0.00012414894592160665,-0.00028877658903220965,0.0002124421601969354,-0.00014701476488463818,4.423880007617081e-05,-0.00036699056173170096,0.0004027877096199066,-0.0007579606343326541,-0.0001823193860304676,-0.0006168412111874106
11/2019,0.00011904794390704595,4.812025836477095e-05,0.000530995315006595,0.0007582770575910488,0.0005776171929966484,0.0003417246727639669,0.0004091693556125494,0.00039525874489044815,0.00039766942209759843,0.0002691800272727852,0.0003734295329681115
12/2019,0.0013774675884385993,5.028139454519345e-05,0.0021699418304184765,0.0011692491895766502,0.00019780938015643911,0.0010507431155773496,0.0020723985201140504,0.00018334158564297336,0.004271630383790332,0.0025999846609612944,0.001804025657697776
01/2020,-7.179443933698674e-05,0.0002617130116058614,0.0001049257256236201,-0.0007488467672233702,-0.000865656879808066,-0.0001885586257923477,-0.0004383882859224607,-4.379813811831518e-05,0.0003129841726357452,-0.00032399719660235,0.0016521968625172073
02/2020,0.00011543286179932349,6.395626526172254e-05,7.033600743455782e-05,-0.0002704004269467311,-6.189387811837444e-05,-0.00017646258883138237,0.0003661059597126255,0.00015601541320723364,0.00017875754964525095,0.00017252044057905746,0.0007861603007666437
03/2020,7.913560953681621e-06,2.685438234167496e-05,-0.0002478979570829236,1.07423013203023e-06,2.7036004633317198e-05,-7.333484887122236e-05,-0.0005953414371486295,-7.521424906796362e-05,-0.0006411437278420274,0.0009997619802684765,-0.0006649987488392605
04/2020,-0.0001726865277106617,0.00014600449672870188,-0.00014815733010203566,0.00020848662227473757,-0.0005358227936851534,9.17473439984887e-05,0.0003076794406236069,0.00045767202623455566,6.862176762871162e-05,3.8186152754341894e-05,-0.00047048643720681903
