,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
01/2019,,,,,,,,,,,
02/2019,,,,,,,,,,,
04/2019,,,,,,,,,,,
05/2019,,,,,,,,,,,
06/2019,,,,,,,,,,,
07/2019,,,,,,,,,,,
08/2019,-0.007365289982142217,-0.00044587242756784174,-0.0006144597760213454,0.002320020829294116,-0.0042576962297923475,0.00010518872055015728,0.0056422243023332135,-1.129251747571591e-05,-1.4846613903979518e-05,-0.0033652503984909756,0.011626137953163272
10/2019,-0.0023206645179263807,0.002330725688513405,-0.0010414158015873594,0.0009674408222458519,-0.0013634127741201834,-0.0013370130706672231,0.00045453001747741174,0.00150322603894614,-0.0010566751903302455,0.005236448457809209,0.010954005720960818
11/2019,0.01069602250480684,0.007274268280894364,0.00433774463445815,0.005852449419582497,0.00746761379980778,0.00470639216171227,0.002448564943472507,0.005026764886315994,-0.003857802384906726,0.0088992496332747,0.009405273374724542
12/2019,-0.002620795614959308,0.013727677213790267,1.4843158717256846e-05,-0.0022961336444389667,0.0020547249970378195,0.0033091860756336777,-0.006283596014475123,-0.0011172339214289852,0.002654947468913915,0.005133119524935691,0.0008743598610119426
01/2020,0.0005814512210759078,0.008899087331404784,0.00956135002990437,0.0022847366561429775,-0.003612631039250082,0.0035251951121873255,-0.0039492821029943476,0.003700842164079004,0.0035919525384648723,0.006746502268390258,6.93778596889353e-05
02/2020,0.015940562958341724,0.0024873003880840957,0.010900953972568905,0.0028560102540953246,-0.004230584782819705,-0.0021163061195748974,-0.0036173693554274566,0.0018546964135873504,0.007054026028182224,0.005432544285347231,-0.0006211791326224403
03/2020,0.019554535569416026,-0.0022184121890370893,0.006332848307092884,-0.0013089980498542427,-0.0046591073379498,-0.006137751802626359,-0.0035148584334865115,0.00027682920629651733,-0.0014682223124280907,-0.00011388473418563988,-6.932552647484058e-05
04/2020,0.020600608154071158,-0.000845200462216505,-0.0032322698440677387,0.003858444530902338,-0.001988082398284775,0.005359694205889296,0.00010225396265850007,0.0062912280244318535,-0.0015216038696054695,0.0020708694358925446,-7.577458541706316e-05
