,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
01/2019,,,,,,,,,,,
02/2019,,,,,,,,,,,
04/2019,,,,,,,,,,,
05/2019,,,,,,,,,,,
06/2019,,,,,,,,,,,
07/2019,,,,,,,,,,,
08/2019,0.0020071085147819936,0.0005029219754068019,3.923681215591505e-05,0.0006062525245538145,0.0007835378284664687,2.313638615489013e-05,0.00010343551490084161,0.0007033957154014369,0.00015472985897162542,-0.00024076484870273746,0.001680778831251006
10/2019,-0.003326005767045308,0.0006493601303051019,0.00048283549275313027,0.0007521907904495964,0.0020455685333817864,0.0009111140009397424,0.0005859261330304836,0.001418587216063344,-6.352360470189848e-05,0.0014391407585237078,0.0025330948074193884
11/2019,0.0004041043621367157,0.00021861857234282208,-2.4047932278212876e-05,-0.0004929213552186838,-0.0005060633864999971,0.00016788936102165203,-0.0006209602367487927,0.0004197332433671148,-0.001037160265460079,0.00016415482243137725,0.0023484196461219563
12/2019,-0.00012075094953327859,0.00028596031342632415,-0.0006554807471154553,0.0001542520600309293,0.0020721516265986973,0.0008077308346816133,-0.0019611456137580145,-0.0001293356686961797,0.001511004054910931,0.001213450435390837,-0.0019483838678744803
01/2020,0.0003959616973910653,-0.00036492208597004505,0.0007912168050210915,-0.0001275879153363953,-0.005853739176269256,-0.0005256285374639966,-0.0017974398078019842,-0.000499913240086382,-0.002335686597632383,-0.0018866779810143568,-0.0027778013755678063
02/2020,-0.0001872247502477239,-0.0008009184425120572,0.0010111279183592247,0.000425610149518602,-0.0036803778230636557,-0.0006325669835451087,-0.0013095684864641013,-0.0007892864413979127,0.0015393397897271205,-0.0003329721838402584,0.0009180208747639601
03/2020,-0.00040206839568029083,0.0003409975444415409,0.0011533853089709255,0.0005194347709451284,0.0024438742410048475,0.0009007568208301136,0.0022468419951826323,-0.0008433603195818839,0.0027903294982870625,0.0018505261429002955,-0.00012790106183425444
04/2020,0.0032322027478366004,-0.0002118183452462269,0.0007829452311300219,-0.0005294769999447547,0.002000223242992599,-0.00041064583646204146,-0.0009665213044252064,-0.00016642743332662266,-0.004367894358134783,2.6538716736957595e-05,-0.002808675963727072
