,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
01/2019,,,,,,,,,,,
02/2019,0.2070982901173004,-0.01926162999363834,-0.02010202772642955,0.1098797107906746,2.6394897999052187,-0.019312159884455893,0.16358442907529525,0.0475495547707423,0.588246489916227,-0.0037088649360260684,-0.006918759501009397
04/2019,0.1644789911772373,0.045326036282454796,0.18955625797157816,-0.09501544983833454,-0.5420232489223972,0.08541489870200158,0.40230507682692385,-0.0205048287361137,-0.21092509720727282,0.05168920093867113,0.13179947186992735
05/2019,0.08977828658109965,0.00863732918044291,-0.0804546840466106,-0.022504851001043047,-0.19744761581855186,0.027657279732747453,0.06244675731122795,0.021578293231212964,-0.0059586646651246244,0.1258338521597384,-0.07352533834727115
06/2019,-0.03542088117013553,0.003901343085508824,-0.03468498717906676,0.15172350832563009,0.04634291939066926,-0.0637279307219456,-0.23953300099110375,-0.14751550646937317,-0.035321490325959104,-0.06254304594425364,0.21350588302195583
07/2019,-0.055302905804814784,0.059958530183321423,0.014944662303514988,-0.03723507893078848,0.02524066158424154,-0.06629603736227163,0.0005522764449965578,0.15623619142257383,-0.005194173704393901,0.019554062023525942,-0.1047556770993483
08/2019,0.03946705549841556,-0.12163982577923727,-0.025232417405703256,0.0149762823549775,-0.07699866237021558,0.028246753412919823,0.10352686593461824,0.08175132160018106,0.11340237861897995,-0.09325072191061823,0.09237485923266098
10/2019,0.02312733695184166,-0.015117193596112521,0.11102960219219593,0.0418360050541593,0.16225358562863912,-0.011359862199659343,0.09111272910947643,0.03660023938850254,-0.13984438357527162,0.09344319581165261,-0.11620630458806525
11/2019,0.03712716781186476,0.06547027309116826,0.05289569222846424,0.055171520223807,0.05188066609598074,0.10579024396407166,-0.012027364593927503,-0.06085029196275482,0.2796067071999613,0.07951572533873175,-0.09331143046231871
12/2019,1.0883299473457564,0.07273086019735464,0.37536104368584366,0.14029385544373296,0.04675687621715663,0.2525195629337429,0.4562410168997919,-0.02500302704609836,0.707470027344649,0.6546303646500764,0.22196119425417304
01/2020,-0.6236269739205001,0.0006316469716447504,-0.3433005088182639,-0.3162044294090067,-0.27264292592743444,-0.36693327445852253,-0.4408934442206428,-0.11200382868826442,-0.5487179468441,-0.4071208216725307,0.034200814080914244
02/2020,0.39581560294641505,-0.05030920507699954,-0.019003105271960585,0.07814350645968537,0.12357940447757287,0.057218452877108916,0.3266711417613244,0.06006565504159367,0.04852965475788529,-0.03920985668548982,-0.09807790413196393
