,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
01/2019,,,,,,,,,,,
02/2019,0.07872225978650826,0.02338590474616553,0.04530184126190462,0.03598789104150879,-0.020835259388243155,0.04864899771249309,0.007214396002079626,0.001395492915384322,0.03550143397594563,0.043329987593701214,0.017163029051242784
04/2019,-0.20597376903816011,0.046896733777380906,0.052960220096272215,-0.06967282241736683,0.04384270387786238,0.059500966974658676,0.03976669452662951,-0.012772263231779712,0.05769945663476905,-0.303506372912136,-0.03132088827038759
05/2019,0.10594449985687704,-0.15162584779563637,0.009849653260818547,0.038646309674853496,0.005330653831642884,0.0074736848389651556,0.04854712015057938,-0.18358710303203463,-0.012375921167190551,0.11026311006613576,-0.0027927876263205142
06/2019,0.14804158699887648,-0.003265594647624104,-0.0017925867123738115,0.027839302964004276,-0.04849486970754502,0.004338577229349827,-0.026075571262441644,-0.02559818008007686,0.0258826212295864,-0.0026188815877298266,0.028629060669089545
07/2019,0.08563567738192357,0.088694543052239,0.01034626699671648,0.02574852948371098,0.04385488344505961,-0.01977738690121089,0.018432811811202043,0.08308421712810499,0.026368834119868012,0.08131894346533208,0.30276591474957915
08/2019,0.09144696614026349,0.023005323619615714,0.03411363377817467,0.02097227197740592,-0.010485444707547864,0.038354280910871674,0.00143338395354764,0.04093904617468236,0.016965643178965983,0.022161919681599418,0.006511482293298121
10/2019,0.0469932154109749,0.0478708822198608,0.05293128268683289,0.004079610353032503,0.02152880717417016,-0.001670297465131032,-0.04631433014692854,0.017839644952768685,0.003154805636028879,0.048711805630867966,-0.030782214629421434
11/2019,0.08369026455216932,0.053031691939597,0.05051964074788762,0.04327218966006674,0.025700325603414953,0.02116229472997877,0.06457904684710303,0.02384759573539652,0.023555754056846512,0.035700967836089115,-0.07693287587747333
12/2019,0.012586744684367934,0.07134680450759956,-0.025112203581896364,-0.03930347040684301,-0.09066475110158956,-0.022161757271809468,-0.05646439872421194,-0.057908994450487694,0.09599547191517499,-0.0008958249814575714,-0.10436811798497525
01/2020,0.06826328939761073,-0.04355833028472811,0.019146543747441402,0.041795973378415674,-0.037511976163807303,-0.0007140976173592994,-0.009066822305674349,0.09881541379642544,-0.036876636397729534,0.010573200475727962,-0.023943720210158448
02/2020,0.09369132780485145,-0.02821871349339211,0.005039846562342465,0.0029794599246060205,0.08928994172914573,-0.025064747310085123,0.003883403411088393,0.0003322018912657043,0.009632043217092656,0.007986745685293117,-0.0187308791945755
03/2020,-0.08387116336677158,-0.06014208027193879,-0.05363594736703037,-0.04297482069700009,0.032388113135444874,-0.015533074501178357,-0.036901172490412915,-0.07724159872136993,-0.07593459356908228,-0.060332648971871294,-0.02395426815106627
04/2020,0.10975433708931526,0.03320740703838321,-0.1670103814738555,0.05647190397230473,0.06972235481723965,0.08099717737142531,0.05741128438032539,0.04987262013310212,0.07241780311790413,0.025338968169456022,-0.006137542764077741
05/2020,-0.3014902505611754,0.03049072636127992,0.039232427881834786,-0.013916340151355788,0.03604818073411309,-0.005722851824443431,0.01625572300693867,0.0009038549214297475,0.0029152336844584514,-0.009760159963009052,-0.022069289945725323
06/2020,-0.08935748340071359,-0.029516406221923974,0.01840033851504974,-0.02608466119996944,0.13998742936440678,-0.04945505854983445,-0.04199585863985744,0.01469836392892021,-0.02639753059865768,-0.040353136534439726,0.02118200202833309
07/2020,0.01740642222102262,-0.0398032847701949,-0.05568744949319493,-0.0209430852652307,0.013129525499327777,-0.01603925680207363,-0.03590961489165778,0.004110981977071493,-0.018903771398703806,-0.03171938135563657,-0.06302760018768894
09/2020,0.09465485415510888,-0.016837205922953014,-0.011934573530229753,-0.023872972826694983,0.05745879405524823,0.008829897210280269,0.003952390481125834,-0.26699713226531385,0.022243688045060495,0.016787983256016492,0.1232615679054121
10/2020,0.09131739472908484,-0.0053569782511180275,0.00898058437619742,-0.0030377249570456843,-0.02192669033134298,0.03903592023604374,0.04768559935364536,0.031013387547771387,0.025001710857794235,0.007190357340874032,-0.07283425434961932
11/2020,0.0549145237924098,-0.02338262133320579,0.012199164435795495,0.00209954874326046,0.013244999459516738,0.017950482749983676,-0.01974187971072494,0.054402031426609154,-0.02477871670161158,-0.029832177973966867,0.028660919554886366
01/2021,0.026328473084414217,0.021770979231087173,0.0020771938771642073,-0.034539851403590505,-0.12451854616562352,-0.03610866287270209,-0.11270138994313483,-0.047255613714573985,-0.030767255088841927,0.022420911192544857,-0.09469926765277115
02/2021,-0.02552925180529164,-0.13853930062402864,0.03761351996478912,0.05138433140000909,-0.002431983242899838,-0.02020238782027084,0.06384628894404676,0.020913072864874316,0.03158311139861114,0.0475136125533977,0.08524490316564681
03/2021,0.020549407476244008,0.04402220436929105,-0.13975582031214595,-0.020235021179038304,-0.030300114924959876,0.01863362907731725,-0.0014675511587117773,0.06516096745996203,0.05008207348673177,0.03357602975888918,0.09162737135657162
04/2021,-0.2923659094783484,0.06847809218543355,-0.037705160715762576,0.03461107681600106,-0.001632677486797851,0.03939922052780154,-0.00244193581477703,-0.012025490578614129,-0.002872488287570807,-0.005321333769592207,0.051907273692411104
05/2021,0.0720313633527998,-0.0388262754791413,0.07659866795174519,-0.0050635544007607836,-0.0006814230473995986,-0.0020359792421402734,-0.02048952720489905,-0.12135813123623895,-0.010681759192556983,-0.014718590112628438,0.056396572812958956
07/2021,0.19140460468007503,0.026927892036345158,-0.10050727255203762,-0.0039722689512387,0.03392580830454128,-0.05103222843819566,0.021533033912344512,0.02051418366796387,0.023783148800728737,0.018379358677437008,0.04755505591850073
08/2021,0.039477291225146205,0.02939750194444879,0.13253095819258065,-0.03289521187474731,0.07531731143965104,0.0028370650734663716,-0.01726323851717093,0.0339102676286509,0.053991927694066355,0.013565344971962379,0.020836057962861032
09/2021,0.055897301656952614,-0.05746130811071193,-0.07667080713633745,0.004641159249003657,0.032917041892771115,-0.00542742702393495,-0.03691056378043722,0.026520625644164797,0.0246601745553916,-0.04036027453527202,0.2031735867669746
10/2021,0.04012547215844475,0.0006732464590235576,0.05214175686746203,-0.00493253019319162,0.028535713752561698,0.021121597960143124,0.05370155570277424,-0.028712112963887426,0.008803512243518163,0.05626591957437421,0.012727341385027291
11/2021,0.035813440439180555,-7.891867818621279e-05,0.046177668463032395,0.0003882732222373342,0.018776450840775283,-0.03127508845356364,-0.09043464717704541,0.04597465473604312,-0.0055172679569369665,0.006811431420697067,0.01621036367072648
01/2022,0.1391687049486079,-0.08150791389114442,-0.04467382309691448,-0.004764478872970268,0.038182704350216756,0.02992431600405232,-0.051916975978586466,0.01164821792240267,0.004398709387382738,-0.007764671347864405,-0.035438166258813575
02/2022,0.027408779696647123,0.0201185667586834,0.13680423933770203,0.008848321372729284,-0.055759375397700595,-0.018451432514614785,0.0847480276970154,-0.026973648266397365,0.01690265310212813,-0.04253579942590324,-0.049149070342033974
05/2022,-0.4224848047244395,-0.08106772988872024,-0.025215885383802816,-0.06130438631842072,-0.22469906271014817,-0.16177692201992233,0.25386908768461636,-0.043719310395560096,0.1363081618202533,-0.06986862001011629,-0.09881614919074977
06/2022,0.5417362002596398,0.030246292918760798,-0.030666867553037158,0.010364872921512225,0.013964889352208854,-0.013483596527953057,0.03800992095731104,-0.01353470081295427,-0.15703903344678583,0.015270253734496864,0.04039572895080834
07/2022,0.011674001859270478,-0.09129812330606735,-0.060358093557131065,-0.03756816020994802,0.15023775158764563,-0.05001687700700708,-0.07346274575444134,-0.031226696060828507,-0.17491088713548708,-0.06593168036226593,-0.05831425570820137
08/2022,0.020353521244079076,-0.00861582951697537,0.019503916206639937,-0.0695679455771191,0.0969087308261154,0.0067120029516039015,0.00927375522698859,0.0419486856927882,-0.13177426677161153,0.06214073780912632,-0.009315336941532082
09/2022,-0.3150328796445979,-0.015298811686394576,-0.07311721981487973,-0.0028433674556183064,0.0062649681424444825,0.04193827148588802,-0.05107127706658354,-0.0021655397424785727,0.12742624004944259,0.03699977044569236,-0.04349627691285196
10/2022,0.0572413175540154,-0.027481013278871758,-0.04015461721923019,-0.017463396872398507,-0.06727785407421105,-0.04002961361616486,-0.019588840797773344,-0.028661968249315883,0.09731004381013753,-0.01113464886207749,0.010883468990167122
11/2022,-0.023142192982971266,-0.015058511685988485,-0.007801157705435879,-0.010226223143530722,-0.01925227668924734,-0.02710718518315991,-0.045249986564789846,-0.024216068147210335,-0.09501841910766196,0.05341338394831996,0.022250623514926238
12/2022,-0.013417401097204129,-0.055502515326835034,-0.058782755311599044,-0.05655442923478726,-0.09449437495293078,-0.017839832836920366,-0.09989324487377316,-0.12302849090004864,-0.2273474467678167,-0.036760385498124104,-0.02100197608775778
01/2023,0.10242993197131067,-0.015315368668454732,0.0417113160013447,0.02539525481424154,0.09303806774695689,0.044001296284870595,0.10022695408200799,0.034345412426664,0.09859454655562372,0.03336800150276531,0.0561571089452535
02/2023,0.017107405895040673,-0.04991991964372,0.0516328016468619,0.028272888167802046,-0.0483984779709834,0.0770938012994078,-0.030996772826807018,0.046674748659351284,-0.002244326364596705,0.023172690854653233,0.010860575601784772
03/2023,0.13145427117808905,-0.06583668283101785,0.06315732954012088,-0.02756942633538262,0.04343574567221098,-0.03228557723148073,0.005196076466605026,0.052086485386583004,0.06986819586425486,0.014119726430842361,-0.003948734484720995
04/2023,-0.2743282725374502,0.030045729427401913,0.03461647475159202,0.009784804919463319,-0.03560380168959498,0.005429705873227997,0.013433769711543198,0.0011203483680841675,0.032555426813610566,-0.04405739543900922,-0.0002244264133471896
05/2023,0.15807135247593918,0.012776190178699132,0.03178407731306021,0.029185563766157552,-0.008541183766240579,0.09339977902118712,-0.007507290090071117,0.06216773448411583,0.015905667863712836,0.019033746497542747,0.035869354964689126
06/2023,0.09199178089440418,0.008388622592859996,0.0032765407038086725,0.013336098758497394,0.1521314081231533,0.04666491020670405,-0.08063646297272942,-0.024128396035386745,0.09752764351908083,-0.0031784255389359917,0.020720733075394904
07/2023,0.04877828288522723,0.07094008057884915,0.008969834370363916,0.020529303252621922,0.01520486103407026,0.030107509143648237,0.05302892476600607,-0.00016567324748772982,0.3981695930127116,0.012462717634410758,0.0204042521959098
