,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
01/2019,0.0016714197094875158,0.004940744643891158,-0.003738953695426614,-0.0021304722182244155,-0.0022805370705196912,-0.0008598290294960067,7.774568007669303e-05,-0.002501064916560252,0.0034417557033244485,0.002209887465155963,0.020308288360425426
02/2019,0.005318322600454223,-0.005826497646094565,0.0012573082837820547,-0.0022836577852839825,0.005279027646155023,0.0052296608658247,9.581712215493959e-05,0.0031716907663110958,0.018249975796323946,0.001520879421571024,-0.02523592851318939
04/2019,0.003194142706628174,-0.00013091287095027323,0.001386508106211497,-0.0006417122387111915,0.0048393949667942275,-0.0009101818227021021,0.0002121108704920586,-0.0031419185495428995,-0.008671417848651324,-0.0007102345818833164,-0.03866370984411861
05/2019,-0.0014930943645339394,0.00014339303597458563,-0.0010874772019310195,-0.0018120679399301499,-0.007775654749610317,-0.0007633436477518119,-0.0006796932377983254,0.0055582107022547865,-0.008604342995561507,-0.0046829122659945155,-0.016399798218113486
06/2019,-0.008671447250723345,-0.0007879464848405057,-0.000763411604642333,0.002076133464172231,-0.012013544015970795,-0.0029199220015606723,-0.0005913889185705571,-0.004446996843136521,-0.0008941924379315055,0.004888284411981164,0.07619590032113965
07/2019,-0.008101783398443484,0.008427622929660091,0.002526740426858308,0.01674070739840129,0.03175048557059057,-0.0026815377598992983,0.0032628968908800867,0.0005260129902989585,-0.016005986950571607,0.012206625229640448,0.06526892786888303
08/2019,-0.007973979535496889,-0.002312814344217472,0.007616007389661407,-0.008623622324246773,-0.02360419383399887,-0.0013812117280994057,-0.0024979948353339027,-0.00016610099376242367,0.001033511830271342,0.0024809351478609597,-0.021003618087822064
10/2019,-0.017441758123767026,-0.004693277271484423,-0.004128183636014781,-0.01005570465113896,-0.013487096759800697,0.0007218448637080254,0.0014574114599654846,0.00014612933665319322,0.026662133235804755,-0.003981671218311073,-0.05694907896085421
11/2019,0.05121405539208972,-0.00306558100097896,-0.007035140369290824,-0.006542782607365658,0.02591859038728611,0.007613856042420542,-0.0015822120469527598,0.0018507512983621521,-0.020039040989136135,-0.00798628550249355,-0.020366808374743195
12/2019,0.015423075149026282,0.0006932969106522992,-0.006948822833134173,0.026415509199698314,-0.0023298184823948515,0.001324478431334708,-0.001303860486503953,0.0011575482159724218,0.033771302372424455,-0.00822494784887097,-0.005810227640244976
01/2020,-0.019430003897901935,0.004888229539966304,0.022382540394744146,-0.010919375697845481,-0.0021838613888516853,-0.003193866822502431,-0.0005749492254525773,-0.0017000287422368806,-0.024049934025267058,-0.025324481851540685,-0.020787234921992522
02/2020,-0.01574776383070507,-0.003370720414700713,-0.008023543923142987,-0.0023291153949262667,-0.001437433695513463,-0.0006165473784464238,0.002976396890754184,-0.00017285500831902556,0.006213911252218998,-0.03749676851581664,-0.026931370478820243
03/2020,-0.004309272206645084,-0.003851602649502922,-0.007426835268655389,-0.0051444674481683755,-0.003859999037933619,-0.0028106398417303037,-0.00029379175842589637,0.0010927189466851325,-0.01772569218958491,0.12163291008748056,0.14470803420840808
04/2020,-0.001752126197490064,0.010822652096979028,-0.0010167894205938594,-0.00038488700383042685,-0.0023802954328202793,-0.0008696230106678875,0.000132680585478725,-0.004696102093142099,0.002485897431244992,-0.03167438042650805,-0.05509249512085916
05/2020,0.004705300555203603,0.004065056176716514,0.003997350242318614,0.004641590417011527,-0.00010400096527021958,0.0023458607737197362,0.0010797668263247608,-0.003859796689787455,-0.007895701937229976,-0.02804560655013347,-0.05805442318474314
06/2020,0.0038573379039915593,-0.009942245038123416,0.0009543184510497301,-0.0015453799998245044,0.0026814969603398873,-0.00019755455869625719,-0.000870899958986877,0.0016362370824012165,0.005574049301058162,-2.969263257780741e-05,0.04633518913795914
07/2020,0.0006175194347664498,-0.0052011184837526415,0.001110101447799561,0.0026687805351002193,0.0007212749660785221,0.00047132702024544086,-0.0012678886281724845,0.009449780796665207,0.007128976957466421,-0.010648109315879829,-0.007540320351873152
09/2020,0.001979798977471709,0.00600503229629398,-0.002906747098442548,-0.004707473205003396,0.0025384397759378964,-0.00031004705154523285,-0.0017870256640075558,0.0002885212409914524,0.02625902716025757,0.016274840808754812,-9.825394701660009e-06
10/2020,-0.001106734243890805,0.004691797770190432,-0.0006133494936319938,0.002192779446059348,0.00241883294258605,0.0030582224399611237,0.002387093026279001,0.00015273061174916544,0.005775363330271975,0.00940649368071146,0.0061144873928526775
11/2020,-0.007229764532672828,-0.0005449676385971621,0.001340070258879741,0.003797035679535,0.00016435399089711426,-0.0016211868796939507,0.0004806278266084548,-0.0036399512565488,-0.014794063426847321,0.000892972799424286,-0.007828472445768328
01/2021,-0.00029903163444979647,-0.005292359163134688,0.001863048710431272,-0.012931905261906301,-0.005348638806544273,-0.0038361589972508298,-0.0010986324019495934,-0.006272306871125982,-0.022718356844599562,-0.011999501711062746,-0.03668913444077522
02/2021,0.019327212211820086,-0.004787987525895045,-0.0011424074412881152,0.02308746368871529,-0.011025434131908615,0.004003780070264081,0.00027437011793984226,0.005815087575633815,-0.0333765958952785,-0.04160471631175728,0.07429744532622909
03/2021,0.004142322715664386,-0.007562031112303547,0.004490894640475997,-0.009345063455673798,0.03225533958424702,0.002467483576061316,0.0007791338390520843,5.1948512909169575e-05,0.04130469925885963,0.11800270295153803,-0.01362993652317425
04/2021,-0.013267311132271425,0.024638535918859242,-0.002187973243852632,-0.0040107846785948625,-0.016265857149071056,-0.003941611769362151,-0.0017953084021237074,0.003103024386573304,0.028961856346827575,-0.05691050601954012,-0.06336636198207132
05/2021,-0.010959491210084195,-0.010158881040504913,-0.004579508743884778,-0.0019996478754676465,-0.008944724667005754,-0.0003990914192979131,-0.0016269532261482156,-0.004736648584454351,-0.029147091664578125,-0.0466515322035795,-0.011737890932228837
07/2021,-0.004354990527333915,-0.0008206205109966133,-0.000971656995108941,0.0021836407034951334,-1.2477016895166143e-06,-0.002099632522368061,0.0073799183783015004,-0.003682818549136168,-0.013004819747767054,0.003947580810164424,0.11285445088097147
08/2021,0.0016448791973315679,-0.0017487907705989831,-0.0002232117764418267,0.0019140903966603502,0.0007247735050688619,-0.000665219010759372,-0.00292146881643051,0.0034175576507445918,0.007181177336441746,0.010351480644328682,-0.044120995081115506
09/2021,0.014000032127874817,0.00040326272902713785,0.0034086040101249312,0.0038644642640944613,0.0024932988616891932,-0.0014323737406692558,-0.002682550124231231,0.0023008062391838766,-0.0008648531084916831,0.01904616407142957,-0.04760313010104392
10/2021,-0.0014897925199650799,0.002895378190980575,0.0005264939484506855,-0.0029812476278573406,0.005131970165520292,0.005876846756779578,-0.00339463588114897,-0.0018147583707653816,0.0080982986041203,0.0014789611647473833,-0.017221090046748856
11/2021,-0.0007380183940220884,-0.0020071542535945518,0.002535611604551789,-0.007601152944095175,-0.0011346200093644617,0.006089297749601032,0.009492425254098122,0.0028723304891378008,0.016489218811228785,-0.002147997858450868,0.13816221458658554
01/2022,-0.0012684025991157562,3.2945304790972345e-05,-0.0025698899048482004,-0.006695568051792647,-0.0047907169911708125,-0.0020516422192779003,-0.00607966410148515,0.0009108173925239747,-0.008624376804978212,0.009032362353409523,-0.034343049671515594
