,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
01/2019,0.0002614669056110741,0.00036117290063718277,-0.0002186674950068468,0.0006432791596965599,-0.0002780174925534366,0.0006640804941816219,0.00020324968196462796,0.0005766644409411579,3.2873160969329115e-05,-0.0001367322280610636,-0.0014774026410235824
02/2019,-0.0014508819319337387,-0.00020859929006342322,0.0004703286233411746,0.00022385636959473647,0.0026972628551878933,-0.0003087738463925377,-0.00018642233536378828,-0.00021979883086687552,-0.0010786139846452394,-0.0008657335034658598,-0.000983295639476675
04/2019,-0.0009528877576174275,6.297135574007129e-05,-0.0001810244746753894,-0.0004771220025853399,-0.003032587946094952,-0.00025028039607695104,0.00012796509195697314,-0.0006065035369897265,0.0001273208912005424,-0.0006140052817822667,0.0005370823734437008
05/2019,0.00021401959555989412,0.00019548239369942925,0.0001165732911507407,-0.00015486650204348147,0.001538842007370144,0.00026972688882586845,-0.0001232087276360639,0.0011256595006210665,0.0002537496289792187,0.0022556484213743615,-0.00015495195962088315
06/2019,0.00359048339869073,-0.0006891454016807168,-0.0003526488558576058,-0.00023322232827933422,-0.0002498651817798409,-0.00032543954215515265,-0.0003312444813234495,-0.0010821439358098192,0.0004280307250821135,-0.0007982880275224074,0.0023752630764768135
07/2019,-0.0014500364238890385,0.0005881463123044665,0.0003057237073582717,0.00018610092678777133,-0.0020123941890358484,0.00014663173342675112,0.0014888452311597657,0.0002351177313239753,0.001448726146925235,0.0001640515953683433,0.00048716229742656533
08/2019,0.0029166110822330706,-4.039773650264464e-05,-3.030434043355991e-05,0.000415557148950604,0.0028267021687536347,-0.00033360621901096406,-0.00013957299246378143,-6.763417126705827e-05,0.0002768976506257268,-0.00014334083301517468,-0.00011430973722000026
10/2019,-0.004752807481748962,-6.494484342957699e-05,0.00021020745011799194,-0.0001435866594527175,0.0011616467896943222,0.0003268148084114332,-0.0008063513799129434,0.00018445373528438655,-0.0004003206669734357,0.00013859340739168918,-0.0014042585939607923
11/2019,0.0011304130107342315,-0.0003101923035497105,8.521719430907432e-05,-0.00046520840777320403,-0.002896521196119186,-0.00012049678259380692,-0.00042702727230060564,8.983702694743273e-05,-0.002670736297126601,-0.000986828518365672,-0.0006032626176501917
12/2019,-0.0024117573391413327,0.00042226277243635237,-0.0013666796778133792,0.0003351021530096747,-0.0004878127225861487,0.0007779700590354599,0.0006741107309829282,-0.0001793173125508099,0.0013014539840469803,0.0016435309585833367,0.001498754391948437
