,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
01/2019,0.004986666934755135,-0.010450106221828293,0.0030661626628507577,-0.012530347231422212,-0.0035705643452175195,0.004442277963871533,0.013768873896136569,-0.027377967903650102,0.01192292327514366,0.010134334549245949,-0.06775232537048126
02/2019,0.007208498254875906,-0.006993700764081012,-0.0069594958865693,-0.054503881572369295,0.012111303494148018,-0.0023268927180382093,0.025313672447090596,-0.025768015444150194,0.01731256236133305,0.003625900844344443,-0.03999085883676301
04/2019,0.0021273021625312083,0.0019616414443746066,-0.002128696870659752,0.03699042777557793,-0.0131830722941082,-0.006167755944620268,0.003509535511593498,0.042499925639745584,0.003178111424414709,0.0004994418584800542,0.03369531257508385
05/2019,-0.009796084851917186,-0.0017116405647676913,-0.0048024589374477955,0.02102502400877526,-0.013166976810815356,0.0019103846073917907,-0.041101228831635694,-0.02795585549660018,0.00483608286358006,-0.026000644787554705,0.03304227756903799
06/2019,-0.0009592775300291123,0.03357420103925435,0.011467569216115692,0.009173699002779756,0.019639037720786234,0.00302973530591899,-0.00259231682418104,0.04073084558535456,-0.025477361797733522,0.024346564812567806,0.037215319393048674
07/2019,-0.013302825422520925,-0.012286418348374184,0.020180821352578704,-0.004669847391681969,0.004441387362678739,0.0148753822137202,-0.002816923792433812,-0.0012965139352054678,-0.061586428228338264,-0.015315152970021728,0.00518365004014143
08/2019,0.00032877531328523446,-0.005403496995445067,-0.00029803327945998603,-0.021942957756103,0.019874435779630772,-0.018325854075197157,-0.00686490519533578,-0.026331731649754886,-0.09535973234208939,0.0022007323509996013,-0.036830599926048535
10/2019,0.009240097983958862,0.018254265411322024,0.001958901608816177,0.02059240692626574,-0.0029292964503717656,0.02018769083875327,0.0519631804251901,0.0032540870163195734,0.14022964520830072,0.007679886389844626,-0.009909511120582692
11/2019,0.007862361416762553,-0.004253844526306949,-0.03625141523220066,-0.014966935457401576,-0.05270886053680002,-0.01498617675223457,-0.030312019972573268,-0.007758432392915182,0.08120344695253578,0.0028732250458638475,0.0011203004738007394
12/2019,0.004901409346846464,-0.07163243557792498,-0.011093897007572906,0.020692568378876786,0.0009819899988379177,-0.01363009442355434,0.0003140609019034457,0.05295885467052486,-0.024400765568188376,-0.006791517898900423,0.01983146189995111
01/2020,-0.007100576435185246,-0.004432465935803265,-0.003923097054926217,-0.01583384883798189,0.03517978002548716,-0.016258334853016976,0.006885436141040202,-0.03284133974260328,-0.03336924285077458,-0.007601226186118026,-0.017056276193958553
