,RA
01/2019,
02/2019,
03/2019,
04/2019,
05/2019,
06/2019,-0.0490403953876752
07/2019,-0.005358455570882
08/2019,-0.0107550234778722
09/2019,0.0298302627665925
10/2019,0.0064523106566266
11/2019,0.0264755668882069
12/2019,0.0370541782203173
01/2020,0.0225148863269628
02/2020,0.0215499676935149
03/2020,-0.0058195174254431
04/2020,0.0506302326864578
05/2020,0.0184064882422295
06/2020,0.0103164153226999
07/2020,-0.0180312709055211
08/2020,-0.0054905212766217
09/2020,-0.0311595257360854
10/2020,-0.015460788173005
11/2020,-0.0097217158517194
01/2021,-0.0241792542592447
02/2021,-0.0230485452276059
03/2021,0.0180465183160643
04/2021,0.0133100802869317
05/2021,-0.0083518522817759
06/2021,-0.0118134631518185
07/2021,-0.0179330029459653
08/2021,-0.0197824720956257
09/2021,0.0042780924719983
10/2021,0.0252783676433983
11/2021,0.0221192934834012
12/2021,0.0457265485098484
01/2022,0.0408516860252887
02/2022,0.0423367423595078
05/2022,0.0081762270674934
06/2022,0.0540033805740924
07/2022,0.0041189225045866
08/2022,-0.0021718485911942
09/2022,-0.0098574373154127
10/2022,-0.0231784979399271
11/2022,-0.0457817523327958
12/2022,-0.0722072561265866
01/2023,-0.0460959259059139
02/2023,-0.047746772638324
03/2023,-0.0063497315892329
04/2023,-0.0364030574271096
05/2023,-0.0251394708408542
06/2023,-0.0121016971234326
07/2023,0.0285680471516479
08/2023,0.0295641056751799
09/2023,
10/2023,
11/2023,
12/2023,
01/2024,
02/2024,
