,ROA
01/2019,
02/2019,
03/2019,
04/2019,
05/2019,
06/2019,
07/2019,-0.0186585007164287
08/2019,0.0050627797070702
09/2019,-0.0019338077105961
10/2019,0.0007563051211842
11/2019,-0.0065234899229727
12/2019,0.0016983985782998
01/2020,0.0030326982084253
02/2020,0.0148194586449482
03/2020,0.01576741813405
04/2020,0.0076612032577668
05/2020,-0.0046769089102887
06/2020,-0.0104899004645408
07/2020,-0.0146217406586001
08/2020,-0.0065667481486436
09/2020,0.0036905909976792
10/2020,-0.0003074522202063
11/2020,0.0003641150429413
01/2021,-0.0098830175307589
02/2021,0.000157579667029
03/2021,0.0056941695099432
04/2021,0.0186464724849637
05/2021,0.0035234903625375
06/2021,-0.0040205611351561
07/2021,-0.0115397980697034
08/2021,-0.0056253866464286
09/2021,-0.003978982053308
10/2021,-0.0005863805462988
11/2021,0.0068772387375795
12/2021,0.0057839551079209
01/2022,0.001216902869747
02/2022,-0.0065157142387694
05/2022,0.0078528462186653
06/2022,0.0159121926212834
07/2022,0.0326052485904327
08/2022,0.0063700825843116
09/2022,0.0021261564185574
10/2022,4.148529765347995e-05
11/2022,-0.0008139062052156
12/2022,-0.0001632522300221
01/2023,0.0055373741049191
02/2023,-0.0085573664208752
03/2023,-0.0006455285606185
04/2023,-0.0058619522244872
05/2023,-0.0067954700185816
06/2023,-0.0014977733692538
07/2023,0.0120947379197153
08/2023,0.000639219569106
09/2023,
10/2023,
11/2023,
12/2023,
01/2024,
02/2024,
