,NIM
01/2019,
02/2019,
04/2019,
05/2019,
06/2019,
07/2019,0.0005356378996376
08/2019,-0.0002365773382125
10/2019,0.00254953546409
11/2019,-0.0002512073344769
12/2019,0.0021052644589407
01/2020,0.0035157576268079
02/2020,0.0010963118929652
03/2020,0.0007547935602427
04/2020,-0.0028264089294966
05/2020,-0.0014453259761585
06/2020,-0.0017788991197586
07/2020,0.0012181930573694
09/2020,-0.0018866369479324
10/2020,9.09826655631496e-05
11/2020,-0.0007446178429885
01/2021,0.0009823391078837
02/2021,-0.0047470829804883
03/2021,0.0005976575955607
04/2021,0.000357200440519
05/2021,0.0017291694884476
07/2021,0.0021398606524421
08/2021,-0.0008534304699052
09/2021,-0.0006466965619114
10/2021,-0.0001676531655055
11/2021,-0.0001613759455417
01/2022,0.0020189206825627
02/2022,-0.0068548540049065
05/2022,-0.0061789533160711
06/2022,0.0018978589290416
07/2022,0.0051872638486495
08/2022,-0.0010531916603763
09/2022,0.0022502379932689
10/2022,0.0049604752115342
11/2022,0.0051847945249699
12/2022,0.0051155396348861
01/2023,0.0040676890642088
02/2023,-0.007582713605126
03/2023,-0.0005323158365412
04/2023,-0.0051534909353813
05/2023,-0.0024606019081943
06/2023,-0.0022804482757335
07/2023,0.005429648388733
08/2023,0.0031518076968506
10/2023,
01/2024,
02/2024,
