,OE
01/2019,
02/2019,
03/2019,
04/2019,
05/2019,
06/2019,
07/2019,-0.0034114578074587
08/2019,-0.0017640739012507
09/2019,-0.0014230896595429
10/2019,0.0005138149913083
11/2019,-0.0003163623764378
12/2019,0.0234089151951416
01/2020,-0.0040127779325159
02/2020,-0.0016099171491423
03/2020,0.0032377328734396
04/2020,-0.0033319545613357
05/2020,-0.0037154695942716
06/2020,-0.0008900341401089
07/2020,9.923460388519544e-05
08/2020,-0.0075904226415129
09/2020,-2.6019843875617343e-05
10/2020,0.0005292369124772
11/2020,0.0016332350786203
01/2021,-0.0076934498191842
02/2021,-0.0052558943893333
03/2021,-0.0007850420874103
04/2021,-0.0012580034766052
05/2021,-0.0014660327913001
06/2021,0.0013985952597699
07/2021,-0.0035198157107844
08/2021,-0.0039379753997681
09/2021,0.0001191877081992
10/2021,-0.0023703356939166
11/2021,0.0016747462535192
12/2021,0.0246240832873653
01/2022,-0.0046197276913135
02/2022,5.599404914596873e-05
05/2022,-0.0095725157139993
06/2022,-0.005065688973158
07/2022,-0.0035188924852223
08/2022,-0.0067468310575693
09/2022,0.006546673289276
10/2022,-0.0001104427077201
11/2022,-0.001370532148921
12/2022,0.0177412788937714
01/2023,-0.0057763661088188
02/2023,-0.0020837387061707
03/2023,0.0024745883342329
04/2023,-3.114018759744347e-05
05/2023,-1.591492586160842e-05
06/2023,0.0003366865999656
07/2023,-0.0016993647400472
08/2023,-0.0025392518352234
09/2023,
10/2023,
11/2023,
12/2023,
01/2024,
02/2024,
