,CDR
01/2019,-0.083574227303111
02/2019,-0.1879624039315341
03/2019,0.1036654482949952
04/2019,0.1269929488852517
05/2019,0.1142615009876077
06/2019,-0.0326653932311895
07/2019,-0.1270131240641285
08/2019,-0.030319290445079
09/2019,-0.0234512850062005
10/2019,-0.0003650288303695
11/2019,0.2036600234039491
12/2019,-0.0769512242550609
01/2020,-0.2027113819340549
02/2020,-0.1070040038114186
03/2020,0.2249339948270297
04/2020,0.1448724583258869
05/2020,-0.0513920919572665
06/2020,-0.0558543500147763
07/2020,-0.0513000457571886
08/2020,0.0293957335031711
09/2020,-0.0524022740389309
10/2020,0.0264268329521986
11/2020,0.1517230828114701
01/2021,-0.036573619727183
02/2021,0.0814642000787495
03/2021,-0.0535381818849938
04/2021,0.0250084756538058
05/2021,0.0069562333763926
06/2021,-0.0408416197348975
07/2021,-0.081654430825556
08/2021,0.1331922867824335
09/2021,0.0288686044120183
10/2021,0.1231350932897008
11/2021,0.1276867022909567
12/2021,-0.402760802164039
01/2022,-0.2677457292743783
02/2022,0.3552479897791132
05/2022,0.1080008994032528
06/2022,-0.0462193114320035
07/2022,-0.0871560156422388
08/2022,-0.0012879426191902
09/2022,0.0744200630862526
10/2022,0.0717087565681371
11/2022,0.0359141048073681
12/2022,-0.2112451757615776
01/2023,-0.0274470641742761
02/2023,0.0173439807613879
03/2023,0.0769832770488649
04/2023,0.0546560957449884
05/2023,0.0153980760366856
06/2023,-0.0478632849869473
07/2023,-0.0246648511796991
08/2023,-0.0078163114396465
09/2023,0.0225510375690869
10/2023,0.0031539845798196
11/2023,0.0635084564360863
12/2023,-0.1049691260026248
01/2024,0.0032569686702039
02/2024,0.0145029224350317
