,OE
01/2019,-0.0045296086475382
02/2019,0.0040242315360145
03/2019,-0.0041810033333972
04/2019,0.0033607057399156
05/2019,0.0013368445939849
06/2019,0.0023960002913922
07/2019,-0.0006594536104104
08/2019,-0.000860640727316
09/2019,-0.0026121992853642
10/2019,-0.0035726712486644
11/2019,-0.0059741079092607
12/2019,0.0184239205861644
01/2020,-0.0075146872694263
02/2020,-0.002570853586596
03/2020,0.0038087723481337
04/2020,-0.0021173649384761
05/2020,-0.0012070634123782
06/2020,0.0027421010138939
07/2020,0.0034884694370092
08/2020,-0.0053986342525457
09/2020,6.08572541305058e-05
10/2020,-0.0024783545495655
11/2020,-0.0022552670579919
01/2021,-0.0088886947085766
02/2021,-0.0038398951432156
03/2021,0.0021908640333267
04/2021,0.0014719827501307
05/2021,0.0011855514245021
06/2021,0.0039404707562792
07/2021,-0.0015103649060509
08/2021,-0.0029840681689117
09/2021,-0.0005760115678516
10/2021,-0.006120253069336
11/2021,-0.0039301442850651
12/2021,0.0192515672671988
01/2022,-0.0087808560591952
02/2022,-0.0013381612501761
05/2022,-0.0057388986639926
06/2022,0.0004306841055834
07/2022,0.0020056135276682
08/2022,-0.0027692075328863
09/2022,0.0074575443939226
10/2022,-0.0037259754922862
11/2022,-0.0064473636927487
12/2022,0.0137997192179119
01/2023,-0.0087344434082926
02/2023,-0.0029087932636163
03/2023,0.0024666610443558
04/2023,-7.513023269665325e-05
05/2023,0.001629956987607
06/2023,0.0041475035655654
07/2023,0.002456302576722
08/2023,0.0001398493812687
09/2023,-0.0115058347635376
10/2023,-0.0019339427963851
11/2023,-0.0041662821606313
12/2023,0.0173080956591786
01/2024,-0.0057972779654208
02/2024,0.0021618366609746
