,ROA
01/2019,0.0009641326041271
02/2019,-0.0003654027617339
03/2019,0.0001325524040418
04/2019,-0.0030560160498443
05/2019,0.0034998197748474
09/2019,-0.0046756781859191
10/2019,0.0002814293949102
11/2019,-0.0049772818117491
12/2019,0.0084473646228554
03/2020,0.0147548284669807
04/2020,-0.007655551879556
07/2020,0.0090184722304593
08/2020,-0.0025573392125889
09/2020,0.0042417318585133
12/2020,0.0028570654162711
01/2021,-0.0084306977865993
05/2021,-0.0020882849757391
06/2021,0.0014601277807852
07/2021,0.0089595561009413
12/2021,0.0114815099746393
01/2022,0.0083118779550664
07/2022,0.0252303037694046
08/2022,-0.0155419675132796
12/2022,0.0104068015739195
04/2023,-0.008814978268628
06/2023,-0.0029251787936412
07/2023,0.0208865011201118
08/2023,-0.0067960842497985
12/2023,-0.0010381508276403
01/2024,0.0062798922588356
