,SCTA
01/2019,-0.0006703492302767
02/2019,-0.0159450508977197
03/2019,-0.0246854737278859
04/2019,0.0528660835076847
05/2019,-0.0102777775746635
06/2019,-0.0053834039301914
07/2019,-0.000487294931544
08/2019,0.0040919784360741
09/2019,-0.0106735973535351
10/2019,0.0183842092031014
11/2019,-0.0244231429661295
12/2019,0.0245449809728834
01/2020,-0.0287507636166778
02/2020,-0.0465192235804612
03/2020,0.0510129453108776
04/2020,0.032128811337709
05/2020,0.0085515147715788
06/2020,-0.0034265383851098
07/2020,-0.0244499984888918
08/2020,-0.0149022938464846
09/2020,-0.0030531703816635
10/2020,-0.0082510475264962
11/2020,0.0215516272711422
01/2021,-0.017151479971567
02/2021,-0.0097662048316111
03/2021,0.0013417793590895
04/2021,0.0150939864394061
05/2021,-0.0050880229007772
06/2021,-0.0080287714552168
07/2021,-0.0094977929201205
08/2021,0.0243505858506475
09/2021,0.0045027417608752
10/2021,-0.0198171211102434
11/2021,0.0082287087611678
12/2021,-0.0009793854095119
01/2022,-0.0057440501095412
02/2022,-0.0396463361651464
05/2022,0.0014700987644958
06/2022,-0.0002705420285693
07/2022,-0.0011349007445766
08/2022,-0.0311052094830595
09/2022,0.0439607378844115
10/2022,-0.0090557202799721
11/2022,0.0009522374186878
12/2022,-0.0259691920222507
01/2023,0.0090997481224967
02/2023,0.0200501188176702
03/2023,-0.0106784041263341
04/2023,-0.0094311090603051
05/2023,0.0052237802362495
06/2023,0.0048070847966549
07/2023,0.0072811910011706
08/2023,-0.0138571315812137
09/2023,-0.0052438349009061
10/2023,0.0065731058825072
11/2023,0.0061842779369917
12/2023,-0.0131963361895366
01/2024,0.0309684828676878
02/2024,-0.017475688610087
