,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
01/2019,,,,,,,,,,,
02/2019,,,,,,,,,,,
04/2019,,,,,,,,,,,
05/2019,,,,,,,,,,,
06/2019,0.002566913405001,-0.0359098794547938,-0.0214343425425029,-0.0058933164744854,-0.0226868479877721,-0.0033618872576007,-0.0172689723366084,-0.0454271253506158,-0.0338284132658117,0.0008827524259912,-0.0072794321212964
07/2019,0.0026479356677168,-0.0076086561229826,-0.026248530168973,0.0084055074348286,0.0047049677418913,-0.0126922533252073,-0.0160753348554263,0.00618499568168,-0.0068233518638978,-0.0337771791862634,-0.0236875995377459
08/2019,0.0063226677833577,-0.0143951876865818,-0.0348300147087922,-0.0007428878330832,0.0083013107687413,-0.0404081421311542,-0.0349239279781911,-0.0325838544732736,-0.0310478881626264,-0.0395577715130476,-0.0427192419290443
10/2019,-0.0160196553673393,-0.0158801200742621,-0.0083574506150719,0.0035752520108403,0.0120895092585795,-0.0026762749148234,0.0026558131764855,0.0058497685141205,0.0022055153337104,-0.005022993133033,0.0081543811827385
11/2019,-0.018268613200922,-0.0301936099924522,-0.0077868213791756,-0.0014724154187878,0.0002059911187149,-0.0197899891965584,0.0210654455495024,0.0188544767446266,0.0206724275880312,-0.0246989906192217,0.0419256254337558
12/2019,-0.0284204793311483,-0.0211627663117491,-0.0315424541346095,-0.0250215618712903,-0.0214522755510037,0.0194175433437812,-0.0015913697216788,-0.0186603353067638,0.0231154149319461,0.0348297179966506,-0.0057449125847195
01/2020,-0.0125626432153374,0.0621499215560698,0.0081777135700929,-0.0234348562529478,-0.0297782503821155,0.062956236873696,0.0483301531419609,0.0350815738900446,0.0273081861378138,0.032566638646242,0.013335939984383
02/2020,0.0039660201494082,0.0973412404428721,0.0431382745558518,0.0002267482689707,-0.0211585460391631,0.0869885051024002,0.0656221732073267,0.0273664895905761,0.0333639188642947,0.0657389226597043,0.0274027477591794
03/2020,0.0020779654643753,-0.0249875750634753,-0.0125907362052955,-0.0203672936716997,-0.0276460673477962,-0.0186069382829382,-0.0599873117865999,-0.0163569461670081,-0.023159579375502,-0.0361352567980075,-0.0139825718175798
