,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
01/2019,,,,,,,,,,,
02/2019,,,,,,,,,,,
03/2019,,,,,,,,,,,
04/2019,,,,,,,,,,,
05/2019,,,,,,,,,,,
06/2019,,,,,,,,,,,
07/2019,0.0002611567006938,0.0001279673409018,-0.0001044296580338,-0.0002712847880815,-0.0002203133706203,-9.821665520814556e-05,-0.0004657433511707,-0.0001705880239859,-0.0001837569325462,8.565615757437318e-06,0.0003515227782855
08/2019,0.000122969774144,-3.881010066581151e-05,-6.896790003156552e-05,-2.9710256080960133e-05,0.0004725060393166,-0.000152564829283,-1.0146813131359333e-05,0.000490931890721,0.0003810716626356,1.631383971955995e-06,0.0018190044497427
09/2019,0.0002391183158807,-0.0001917461522112,-0.0001536072031669,0.0001420886698043,0.0003951003873275,-0.0002991589438979,-0.0008592966868249,-0.0001449107346154,-0.0009550682053011,-0.0001915998604381,-0.0004719188840888
10/2019,-0.0001195292223435,-8.152269366711257e-05,0.000124700386522,0.0001843052425717,-6.640563511384776e-05,-5.274454064130826e-05,0.0003015192165504,0.0006612992901683,0.0007469660572548,0.0001395642351881,-0.0007286274851936
11/2019,-1.1745900467494016e-05,-3.275977722049157e-05,0.0001846064672919,0.000236788871711,0.0003638620149178,3.341684531543883e-05,-0.0006832838024109,0.0002507616893509,0.0002528857446534,9.281797446862191e-05,-0.0011727059702183
12/2019,-0.0008004927615112,-0.0002776274649312,0.0008956800709862,0.0004413629977144,-0.0007276707195264,0.0009136491655812,0.0015966291846635,-0.000308708370517,0.0006259887196266,0.0011705251175136,-0.0004537736316591
01/2020,0.000207321754147,0.000411093840061,4.155969311356467e-05,-0.0002690885470289,0.0004819930398709,-8.781757053764216e-05,-0.0004539930975798,-0.0001834761294646,4.909888591371893e-05,0.0002747362442762,0.0012776525781958
02/2020,0.000314491756168,0.0002544507832913,0.000107396428414,3.3031683023144434e-05,-2.2018988706578365e-05,2.811806326039935e-05,6.636402053375299e-05,0.0001997246241045,-0.0003745284149164,0.000166012722331,7.670745775453626e-05
