,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
01/2019,,,,,,,,,,,
02/2019,,,,,,,,,,,
03/2019,,,,,,,,,,,
04/2019,,,,,,,,,,,
05/2019,,,,,,,,,,,
06/2019,-2.042823293332916e-05,-0.0120475870397665,-0.0023012666870686,-0.0021970313446631,-0.0006607000479258,0.0028083515975142,-0.0005228675363667,-0.0171116975101323,-0.0002335678738832,-0.009542340022565,-0.0072112606898845
07/2019,-0.000807752742693,-0.0046046721695209,0.0005655197995892,-0.0003039691582353,-0.0009206093099601,-0.0007974128819651,0.0013759672721862,-0.0089136161386554,-0.0031827802959863,-0.0015032927973207,0.0137341628516794
08/2019,-0.0009836462009031,-0.0061344025939627,-0.0029552669837851,0.002695455697214,-0.0050102933247685,0.0015807331511206,0.000728942343911,-0.0078018588214863,-0.0012684456761897,-0.0031020089243825,0.0114957678553597
09/2019,0.0061532812831724,0.0012951548340668,0.005977145054098,-0.0009541299542717,-0.0035240122360035,0.0033722895949882,-0.0005447545840221,0.0033877058017307,0.0034074788967161,0.0013302496135733,0.009929854462544
10/2019,-0.0010455693359355,-0.000304879155829,0.0052251588686809,0.0016975537003733,-0.0033872393581173,-0.0009086638650541,-0.0042262029160635,0.0041378060802913,-0.0038818084628406,0.0017812166374955,0.0073649384636259
11/2019,6.536385453143924e-06,0.0036342238013291,0.0095600926825461,0.0042136157741714,-0.0027708369339892,0.0017410475840803,0.0041273250324574,0.003409373088891,-0.0005825477266449,0.0026692283691855,0.0004675088307266
12/2019,-0.0011471418747149,0.0059016731607281,0.0072012350945932,0.004062782520765,-0.0031426195759169,0.0017309675160376,0.0076914233750517,-0.0004781728608255,0.0115566890243118,0.0044420973685247,-0.000764755528237
01/2020,-7.602688910771267e-05,0.0046751815661069,0.0111873433040344,0.0041377782706335,-0.0091212737716703,-0.0020959636436172,0.0030715007218684,0.0065004176723978,0.005751648782164,0.0023368192910741,-0.0038525389769214
02/2020,0.0074962323904352,0.0052174816026193,0.0065662161144711,0.0013503808470385,-0.0040182104385898,-0.0056610239681276,0.0014504189960439,0.0040599522297702,0.0054906542588841,0.0025922476241625,-0.0029943819631928
