,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
01/2019,,,,,,,,,,,
02/2019,,,,,,,,,,,
04/2019,,,,,,,,,,,
05/2019,,,,,,,,,,,
06/2019,,,,,,,,,,,
07/2019,-0.0010876075677197,0.00030147543031,0.0004107273200828,0.0003302260561764,-0.0022627604205683,0.000575742271431,0.0011154607447971,0.0002321053403649,0.0008609944411151,-0.00060186041009,0.0013400187651796
08/2019,0.0032946927094732,0.0001617712390139,-0.0002092395720739,0.0007203669364005,0.0027093174103438,-0.0003790321404271,-0.0004670825137617,0.0003192747438169,-0.00045488019548,-0.0003182222154156,0.000923922282373
10/2019,-0.0047897359998935,0.0004400432021302,0.0003635097643679,0.0001128345742003,0.0006505180215221,0.0007717041043315,-0.0012594455084762,0.0009215708559903,0.0019461508004514,5.735201667731588e-05,-0.0001317896994498
11/2019,0.0009993436978541,-0.0002752998211086,-2.1145799663547377e-05,-0.0003704108228893,-0.0031234211982423,-1.640771615936225e-05,-0.0012683628829124,0.0003800783534446,-0.0030199332081893,-0.0006988296492573,0.0013846451593669
12/2019,-0.0021628701445452,0.0002054607218023,-0.0003951578310489,0.0011426413610575,0.0007143091071935,0.0014290726464706,0.0007722145546462,0.0005327168287404,0.000924787253018,0.0026027946149306,0.0036582049844594
01/2020,0.0006778819592625,0.0007993082492212,0.0016413577564954,0.0001032173722663,0.0017225415963727,-0.0005593323456475,-0.0017157936885289,-0.000636095989607,0.0003376026220529,0.0003467775828223,-0.000834592221161
02/2020,0.0056464072824536,-0.0002773329581674,0.0004191844665709,-0.0005572504196658,-0.0011114576415376,-0.0004092207475615,-0.0012026924684065,-0.0004940522866384,9.989709784174844e-05,-0.0009973610081835,-0.000497876815403
03/2020,-0.0039348858429493,0.0012099546636008,0.0011461435175619,0.0010526674916838,0.0044259353207136,0.0012687889485053,0.0032099894568055,-0.0002475279199773,0.0033073004681224,0.0030598870271344,0.004455213788554
04/2020,0.0072083689334587,-8.389592617684492e-05,-0.0004977060806887,-0.0011111399001652,0.0002343157289877,-0.0009328663130096,-0.0021182044789175,-0.0003699860957595,-0.0033833459685165,8.670118511372275e-05,-0.0041986701563951
