Year,PR
01/2018,
02/2018,0.0818120351588911
03/2018,0.0606249999999999
04/2018,0.0017678255745434
05/2018,0.0
06/2018,0.0
07/2018,0.0182352941176469
08/2018,0.0109763142692085
09/2018,0.0228571428571426
10/2018,0.0055865921787709
11/2018,0.0
12/2018,0.0
01/2019,0.0
02/2019,0.0
04/2019,-0.0044444444444443
05/2019,-0.0234375000000001
06/2019,0.0
07/2019,-0.012
08/2019,-0.0167727009832272
10/2019,-0.0186972255729793
11/2019,-0.0473263675476336
12/2019,-0.0793548387096774
01/2020,-0.0595655220742816
02/2020,-0.180327868852459
03/2020,-0.0554545454545454
04/2020,-0.0827718960538981
05/2020,-0.160545645330535
06/2020,-0.1587499999999999
07/2020,-0.1084695393759287
09/2020,0.0
10/2020,0.0
11/2020,0.0
12/2020,0.0
01/2021,0.0
02/2021,0.0
03/2021,0.0733333333333334
04/2021,0.0869565217391303
05/2021,0.0714285714285714
07/2021,0.02
08/2021,0.0457516339869281
09/2021,0.0437499999999999
10/2021,0.0179640718562874
11/2021,0.0
01/2022,0.0564971751412428
02/2022,0.0695187165775401
03/2022,0.0
04/2022,0.0
05/2022,0.0
06/2022,1.4
07/2022,0.0416666666666667
08/2022,0.0
09/2022,0.0
10/2022,0.0
11/2022,0.0
12/2022,0.0
01/2023,0.0
02/2023,0.0
03/2023,0.0
04/2023,0.0
05/2023,0.0
06/2023,0.0
07/2023,-0.0156
08/2023,-0.1060544494108085
10/2023,-0.0754897276636406
01/2024,-0.0291262135922329
02/2024,0.0
03/2024,-0.018
04/2024,-0.0183299389002036
