,Bank,Date,INF,PR,CR,OE,ROA,NIA,NIM,RA,SCTA,CDR,LAS,SIZE,is_Credit_Agricole,is_FUIB,is_Kredobank,is_OTP,is_Oschadbank,is_Pivdennyi,is_Privat_Bank,is_Raiffeisen,is_Sense,is_Ukrsibbank,is_Universal
0,Pivdennyi,01/2019,0.1313472125546404,0.0359204821456771,0.0090529542325618,-0.0003070212916873,0.000261466905611,0.0016714197094875,0.0001852309099451,0.0022166700172431,-0.0042146800240008,-0.0073004092847552,0.0044294102271635,0.0049866669347551,0,0,0,0,0,1,0,0,0,0,0
1,FUIB,01/2019,0.1313472125546404,0.0359204821456771,0.0255721693927524,-2.828646657267739e-05,0.0003611729006371,0.0049407446438911,0.0002119221291956,-0.001435113765387,-0.0013412900901108,0.0088255202920631,0.016988507160393,-0.0104501062218282,0,1,0,0,0,0,0,0,0,0,0
2,Ukrsibbank,01/2019,0.1313472125546404,0.0359204821456771,0.0010107229315549,-0.0001967179265623,-0.0002186674950068,-0.0037389536954266,-0.0004496512888397,-0.0048356645792234,0.0011584163512552,-0.003832185600875,0.0139675357776908,0.0030661626628507,0,0,0,0,0,0,0,0,0,1,0
3,Credit_Agricole,01/2019,0.1313472125546404,0.0359204821456771,0.0018421355872806,-0.0001270927596834,0.0006432791596965,-0.0021304722182244,0.0005179660307001,0.000318659749866,0.0016725064892566,-0.0193335573441438,0.0098353420043735,-0.0125303472314222,1,0,0,0,0,0,0,0,0,0,0
4,Universal,01/2019,0.1313472125546404,0.0359204821456771,0.0021925831586871,-0.0021284960489727,-0.0002780174925534,-0.0022805370705196,-0.0008838795386097,0.0002257558609987,-0.001469691204151,0.0069660247836446,0.0231428384760129,-0.0035705643452175,0,0,0,0,0,0,0,0,0,0,1
5,OTP,01/2019,0.1313472125546404,0.0359204821456771,0.009003608294133,-7.332062650809755e-05,0.0006640804941816,-0.000859829029496,0.0004646713733014,-0.006717748066973,-0.0007613056175016,-0.0273205593709604,0.026079726792078,0.0044422779638715,0,0,0,1,0,0,0,0,0,0,0
6,Raiffeisen,01/2019,0.1313472125546404,0.0359204821456771,-0.0001805348609935,-0.0009757301152996,0.0002032496819646,7.774568007669303e-05,0.0003864130040224,-0.0018763640341052,-0.0044551422423444,0.0116018939046383,0.0216504174056871,0.0137688738961365,0,0,0,0,0,0,0,1,0,0,0
7,Privat_Bank,01/2019,0.1313472125546404,0.0359204821456771,0.0022031591082556,-7.085668323101278e-05,0.0005766644409411,-0.0025010649165602,0.000449570783896,0.0030435481935969,-0.0049472845226624,0.0083533326497977,0.0039307515776154,-0.0273779679036501,0,0,0,0,0,0,1,0,0,0,0
8,Oschadbank,01/2019,0.1313472125546404,0.0359204821456771,0.0124109972517986,-0.0012829108197323,3.2873160969329115e-05,0.0034417557033244,0.0003883427442577,-0.0027485960254178,0.0001977381377722,0.0051373689611399,-0.0062562650786935,0.0119229232751436,0,0,0,0,1,0,0,0,0,0,0
9,Kredobank,01/2019,0.1313472125546404,0.0359204821456771,0.0162807325880283,-0.0001500178526498,-0.000136732228061,0.0022098874651559,0.0003761671543957,0.0092392459678686,0.0008170177110606,-0.0007777933997722,0.0090088354316182,0.0101343345492459,0,0,1,0,0,0,0,0,0,0,0
