,Bank,Date,INF,PR,CR,OE,ROA,NIA,NIM,RA,SCTA,CDR,LAS,is_Credit_Agricole,is_FUIB,is_Kredobank,is_OTP,is_Oschadbank,is_Pivdennyi,is_Privat_Bank,is_Raiffeisen,is_Sense,is_Ukrsibbank,is_Universal
0,Pivdennyi,01/2019,,0.5138576388888886,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0
1,FUIB,01/2019,,0.5138576388888886,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0
2,Ukrsibbank,01/2019,,0.5138576388888886,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0
3,Credit_Agricole,01/2019,,0.5138576388888886,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
4,Universal,01/2019,,0.5138576388888886,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1
5,OTP,01/2019,,0.5138576388888886,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0
6,Raiffeisen,01/2019,,0.5138576388888886,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0
7,Privat_Bank,01/2019,,0.5138576388888886,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0
8,Oschadbank,01/2019,,0.5138576388888886,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0
9,Kredobank,01/2019,,0.5138576388888886,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0
10,Sense,01/2019,,0.5138576388888886,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0
11,Pivdennyi,02/2019,,0.9878576388888884,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0
12,FUIB,02/2019,,0.9878576388888884,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0
13,Ukrsibbank,02/2019,,0.9878576388888884,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0
14,Credit_Agricole,02/2019,,0.9878576388888884,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
15,Universal,02/2019,,0.9878576388888884,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1
16,OTP,02/2019,,0.9878576388888884,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0
17,Raiffeisen,02/2019,,0.9878576388888884,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0
18,Privat_Bank,02/2019,,0.9878576388888884,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0
19,Oschadbank,02/2019,,0.9878576388888884,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0
20,Kredobank,02/2019,,0.9878576388888884,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0
21,Sense,02/2019,,0.9878576388888884,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0
22,Pivdennyi,03/2019,,1.16044097222222,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0
23,FUIB,03/2019,,1.16044097222222,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0
24,Ukrsibbank,03/2019,,1.16044097222222,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0
25,Credit_Agricole,03/2019,,1.16044097222222,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
26,Universal,03/2019,,1.16044097222222,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1
27,OTP,03/2019,,1.16044097222222,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0
28,Raiffeisen,03/2019,,1.16044097222222,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0
29,Privat_Bank,03/2019,,1.16044097222222,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0
30,Oschadbank,03/2019,,1.16044097222222,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0
31,Kredobank,03/2019,,1.16044097222222,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0
32,Sense,03/2019,,1.16044097222222,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0
33,Pivdennyi,04/2019,,1.3200243055555538,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0
34,FUIB,04/2019,,1.3200243055555538,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0
35,Ukrsibbank,04/2019,,1.3200243055555538,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0
36,Credit_Agricole,04/2019,,1.3200243055555538,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
37,Universal,04/2019,,1.3200243055555538,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1
38,OTP,04/2019,,1.3200243055555538,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0
39,Raiffeisen,04/2019,,1.3200243055555538,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0
40,Privat_Bank,04/2019,,1.3200243055555538,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0
41,Oschadbank,04/2019,,1.3200243055555538,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0
42,Kredobank,04/2019,,1.3200243055555538,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0
43,Sense,04/2019,,1.3200243055555538,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0
44,Pivdennyi,05/2019,,1.3608576388888882,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0
45,FUIB,05/2019,,1.3608576388888882,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0
46,Ukrsibbank,05/2019,,1.3608576388888882,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0
47,Credit_Agricole,05/2019,,1.3608576388888882,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
48,Universal,05/2019,,1.3608576388888882,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1
49,OTP,05/2019,,1.3608576388888882,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0
50,Raiffeisen,05/2019,,1.3608576388888882,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0
51,Privat_Bank,05/2019,,1.3608576388888882,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0
52,Oschadbank,05/2019,,1.3608576388888882,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0
53,Kredobank,05/2019,,1.3608576388888882,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0
54,Sense,05/2019,,1.3608576388888882,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0
55,Pivdennyi,06/2019,,-0.963475694444444,,,,,,-2.042823293332916e-05,0.0034530844153578,0.0031823045430286,0.002566913405001,0,0,0,0,0,1,0,0,0,0,0
56,FUIB,06/2019,,-0.963475694444444,,,,,,-0.0120475870397665,0.0009423795513648,0.0047023686367623,-0.0359098794547938,0,1,0,0,0,0,0,0,0,0,0
57,Ukrsibbank,06/2019,,-0.963475694444444,,,,,,-0.0023012666870686,0.0017990520187791,-0.0168471490253314,-0.0214343425425029,0,0,0,0,0,0,0,0,0,1,0
58,Credit_Agricole,06/2019,,-0.963475694444444,,,,,,-0.0021970313446631,0.0026859357522025,0.0038687662743985,-0.0058933164744854,1,0,0,0,0,0,0,0,0,0,0
59,Universal,06/2019,,-0.963475694444444,,,,,,-0.0006607000479258,-0.0019554966876881,-0.0042101911147957,-0.0226868479877721,0,0,0,0,0,0,0,0,0,0,1
60,OTP,06/2019,,-0.963475694444444,,,,,,0.0028083515975142,0.0011474489510898,0.0264239961744452,-0.0033618872576007,0,0,0,1,0,0,0,0,0,0,0
61,Raiffeisen,06/2019,,-0.963475694444444,,,,,,-0.0005228675363667,-0.0046492000283194,0.000826855504302,-0.0172689723366084,0,0,0,0,0,0,0,1,0,0,0
62,Privat_Bank,06/2019,,-0.963475694444444,,,,,,-0.0171116975101323,0.0069037290800181,0.0017160464728606,-0.0454271253506158,0,0,0,0,0,0,1,0,0,0,0
63,Oschadbank,06/2019,,-0.963475694444444,,,,,,-0.0002335678738832,-0.0015341922095791,-0.0040575653117756,-0.0338284132658117,0,0,0,0,1,0,0,0,0,0,0
64,Kredobank,06/2019,,-0.963475694444444,,,,,,-0.009542340022565,-0.005924990746447,-0.0208319683562998,0.0008827524259912,0,0,1,0,0,0,0,0,0,0,0
65,Sense,06/2019,,-0.963475694444444,,,,,,-0.0072112606898845,0.0005075957030721,-0.0025283776732685,-0.0072794321212964,0,0,0,0,0,0,0,0,1,0,0
66,Pivdennyi,07/2019,1.143958333333333,-0.6041562499999986,-0.0130336135193588,0.0002611567006938,-0.002029579152817,0.0025956633137935,5.970242954055669e-06,-0.000807752742693,0.0026204462821156,0.0091843172167947,0.0026479356677168,0,0,0,0,0,1,0,0,0,0,0
67,FUIB,07/2019,1.143958333333333,-0.6041562499999986,-0.0167322119728057,0.0001279673409018,-0.0003815591183367,0.0111457267230328,-0.0007587570426438,-0.0046046721695209,-0.0006663945085097,-0.024131442801853,-0.0076086561229826,0,1,0,0,0,0,0,0,0,0,0
