,CR
01/2019,
02/2019,
04/2019,
05/2019,-0.0062780531149456325
06/2019,-0.007064582455127766
07/2019,-0.00034522613572930016
08/2019,-0.0050461319019099995
10/2019,-0.0049326148358691665
11/2019,-0.008253546082774234
12/2019,-0.0034584273301948424
01/2020,0.00504767946047559
02/2020,0.006731360768010523
03/2020,-0.0017361059029552008
04/2020,-0.0049546685633544
05/2020,0.0028666903089382997
06/2020,-0.00027702919746546567
07/2020,-0.004697621208883367
09/2020,-0.023771575260603098
10/2020,-0.0321959429698792
11/2020,-0.04895109231943814
01/2021,-0.0533515256225578
02/2021,-0.0355520341793036
03/2021,-0.021829650183783533
04/2021,-0.012866215484218601
05/2021,-0.018678670862508403
07/2021,-0.0237799567928722
08/2021,-0.026738598573300368
09/2021,-0.039134858114106066
10/2021,-0.035782692566335365
11/2021,-0.0346994886856625
01/2022,-0.018312285065718702
02/2022,-0.024014946825682934
05/2022,4.983496211233285e-05
06/2022,0.025011816627473937
07/2022,0.0320482158861918
08/2022,0.0222434526205053
09/2022,0.012063739398916166
10/2022,0.030356833632041464
11/2022,0.029436293608174204
12/2022,0.029580085564273866
01/2023,0.018905065591932033
02/2023,0.016326143273003035
03/2023,0.011726544455579732
04/2023,0.013457430239834334
05/2023,0.014302500039257001
06/2023,0.006351422468051167
07/2023,0.0051998329011165335
08/2023,0.00038506121188606676
10/2023,-0.0060071919758583675
01/2024,-0.0097364263170564
02/2024,-0.006210654729226168
