,LAS
01/2019,
02/2019,
04/2019,
05/2019,-0.028020993499538103
06/2019,-0.0354247275549723
07/2019,-0.001430787511367132
08/2019,-0.026216694520120303
10/2019,0.012564869992231298
11/2019,-0.003148301150334468
12/2019,0.05338955412946846
01/2020,0.03381543873803053
02/2020,0.04690335547216587
03/2020,-0.023055001291541366
04/2020,0.004329550976025068
05/2020,0.010526725439877501
06/2020,0.045926475722719705
07/2020,0.014715320261266632
09/2020,-0.0009408392829193665
10/2020,0.0078943177778499
11/2020,0.014291856843831502
01/2021,0.05260806046483816
02/2021,0.034412161488402836
03/2021,0.0382552485643611
04/2021,-0.0025258826790745654
05/2021,-0.0041247356180567326
07/2021,-0.022043868937977232
08/2021,-0.04164502496682313
09/2021,-0.018848712726992636
10/2021,-0.009347927587582369
11/2021,0.0036604287388977996
01/2022,0.0038501277067490014
02/2022,-0.029114032663434066
05/2022,0.04068181804053567
06/2022,0.02642561914657907
07/2022,0.0591995695250899
08/2022,-0.0071861502513801715
09/2022,0.009607575612768461
10/2022,0.025379481370178963
11/2022,0.03302877391000839
12/2022,0.03537891121227823
01/2023,-0.004187400337060304
02/2023,-0.011787951122309737
03/2023,-0.03855145044847727
04/2023,0.007506437838371562
05/2023,0.01017548565396363
06/2023,0.029889711156045596
07/2023,0.01464198941708876
08/2023,0.018153474558383127
10/2023,0.0028876900760559598
01/2024,0.020725406401235158
02/2024,0.011895936807933424
