,RA
01/2019,
02/2019,
04/2019,
05/2019,-0.008879486799621963
06/2019,-0.006523073631002696
07/2019,0.03842878141929513
08/2019,0.05005466903489066
10/2019,0.04666293592342433
11/2019,0.04262967313425307
12/2019,0.02247642309659863
01/2020,0.019551793124452165
02/2020,0.022449573034837397
03/2020,0.010349154545982864
04/2020,0.023956147693887167
05/2020,-0.03899013638517634
06/2020,-0.023760038352354632
07/2020,-0.045661253130048644
09/2020,0.0026787644127259287
10/2020,0.018073737082360725
11/2020,0.027045022158970856
01/2021,0.013535022275734526
02/2021,-0.0004012572955436739
03/2021,-0.006751292854550974
04/2021,-0.03423430593315797
05/2021,-0.028752029570988335
07/2021,-0.009666920961339568
08/2021,0.041113815247669265
09/2021,0.0453697241662623
10/2021,0.033148023999566824
11/2021,0.024338685067140497
01/2022,0.031668215481456465
02/2022,0.02586666042337206
05/2022,-0.05174387204612127
06/2022,-0.016322870566868403
07/2022,-0.0242922151725128
08/2022,0.05359370813567913
09/2022,-0.04115489208267531
10/2022,-0.035128997830606475
11/2022,-0.04754985417412564
12/2022,-0.02313468932190468
01/2023,-0.0009167512477228773
02/2023,0.008582872240820822
03/2023,0.048354837840265695
04/2023,-0.010580451625583909
05/2023,0.00869897056333079
06/2023,0.005889040255997288
07/2023,0.05595833730993339
08/2023,0.04758195711546596
10/2023,0.05574965761943606
01/2024,0.001415554927410791
02/2024,-0.006101423191825707
