,ROA
01/2019,
02/2019,
04/2019,
05/2019,0.04616839433904337
06/2019,0.07142869668234507
07/2019,0.028673426148465724
08/2019,0.07963513527184879
10/2019,-0.06788049663654104
11/2019,0.10176728094235044
12/2019,-0.054471197053130034
01/2020,0.12093257628273857
02/2020,0.08864600562357779
03/2020,0.029928962197820985
04/2020,0.10791174406171011
05/2020,-0.06960571220078451
06/2020,0.019562301913289486
07/2020,-0.07260408643962157
09/2020,0.045323977026927496
10/2020,0.012623947420548223
11/2020,-0.021330135096062176
01/2021,-0.0639088395224005
02/2021,-0.12304721565625547
03/2021,0.021629606537388307
04/2021,0.16170688051213394
05/2021,0.1984015319019772
07/2021,0.14808437761562737
08/2021,-0.0155240113966654
09/2021,0.023015187156997064
10/2021,-0.05934688979153149
11/2021,0.05509329265273124
01/2022,0.048782940833462546
02/2022,0.020665394086051777
05/2022,0.05703689517738184
06/2022,0.07597750342247048
07/2022,0.24187223658745557
08/2022,0.15017995365971407
09/2022,-0.01347134009338193
10/2022,-0.08758293260121104
11/2022,-0.04892815909238
12/2022,0.10388761920052504
01/2023,0.058745768840373545
02/2023,-0.10273349141688987
03/2023,0.12633455888888515
04/2023,-0.0058881819913148
05/2023,0.16511501009171214
06/2023,-0.012498188574463998
07/2023,0.09731021785519978
08/2023,0.026602782120708365
10/2023,-0.04294417028132871
01/2024,-0.029677728176036037
02/2024,-0.06869191368118244
