,SCTA
01/2019,
02/2019,
04/2019,
05/2019,0.0499413375950838
06/2019,0.08802986823004155
07/2019,-0.04901611284420143
08/2019,0.030745505884886698
10/2019,-0.0021879145921445335
11/2019,-0.022776149601112
12/2019,0.047243791793902735
01/2020,-0.010043442599058428
02/2020,0.020536580266663936
03/2020,0.03784675421983811
04/2020,0.08111683731611952
05/2020,0.07146631908088594
06/2020,-0.0067258591972671
07/2020,-0.008096949179848968
09/2020,0.004212157757090531
10/2020,-0.0144849253383865
11/2020,0.029414329082455965
01/2021,0.007806154035309064
02/2021,0.028627917195445662
03/2021,0.0020427225645373638
04/2021,0.032658278368683465
05/2021,0.008089657776583195
07/2021,-0.0010866251314716373
08/2021,0.010139614338149196
09/2021,0.00763381068810183
10/2021,-0.01967455710503477
11/2021,-0.010821871029845906
01/2022,-0.008084352024792305
02/2022,-0.020062479435211236
05/2022,-0.0438001586573028
06/2022,-0.061680653448566436
07/2022,-0.044524751679841906
08/2022,-0.038786937450381274
09/2022,0.10201947252298295
10/2022,0.06298838139162082
11/2022,0.05506020181791288
12/2022,-0.08108817385415251
01/2023,0.02325866306527069
02/2023,0.012867652296781123
03/2023,0.00037640205998472803
04/2023,-0.05942666378363184
05/2023,-0.03919108953433014
06/2023,0.0043408300565425904
07/2023,0.004783237119028991
08/2023,-0.03512433118873314
10/2023,-0.03390806287731334
01/2024,0.06483101660874732
02/2024,0.05107633295405788
