,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
01/2019,,,,,,,,,,,
02/2019,,,,,,,,,,,
04/2019,,,,,,,,,,,
05/2019,0.1537851892918791,0.011567245156419765,0.029666515399512667,-0.002546863349567633,0.6333396450547566,0.031253339516764365,0.20944542107114897,0.016207673088613834,0.12378757601460987,0.0579380627207945,0.017118458007215634
06/2019,0.07294546552940047,0.01928823618280213,0.024805528915300263,0.011401069162084165,-0.23104264845009326,0.01644808257093443,0.07507294438234934,-0.048814013991424626,-0.08406841739945216,0.038326669051385306,0.09059333884820402
07/2019,-0.00031516679795019997,0.0241657341497577,-0.03339833630738747,0.030661192797932862,-0.04195467828121371,-0.034122229450489934,-0.05884465574495976,0.010099659394804542,-0.015491442898492533,0.027614956079670235,0.011741622525112136
08/2019,-0.017085577158844904,-0.019259984170135663,-0.014990914093751667,0.04315490391660637,-0.0018050271317682682,-0.0339257382237658,-0.04515128620382967,0.03015733551779391,0.024295571529542297,-0.045413235277115306,0.06704168838508946
10/2019,0.0024304955484807968,-0.025599496397342766,0.0335806156966692,0.006525736159449465,0.036831861614221695,-0.0164697153830037,0.06506395716303037,0.09152925080375245,-0.010545392886895202,0.006582178641520095,-0.042862374151584205
11/2019,0.03324052008737393,-0.023762248761393837,0.04623095900498564,0.03732793587764793,0.045711863118134764,0.040892378392444036,0.060870743483389035,0.019167089675309567,0.0843882340812232,0.026569399746588698,-0.039047625272574334
12/2019,0.3828614840364875,0.0410279798974701,0.1797621127021679,0.0791004602405664,0.08696370931392546,0.11564998156605173,0.17844212713844695,-0.016417693206783532,0.28241078365644623,0.27586309526682024,0.0041478197345963625
01/2020,0.16727671374570693,0.04627759342005583,0.028318742365347965,-0.04024635124715561,-0.058001794538099026,-0.0028744891869026588,0.0011067360284071996,-0.06595238256570583,0.1461195959001701,0.10900842277209248,0.054283525957589486
02/2020,0.28683952545722374,0.007684434030666605,0.0043524765318730734,-0.03258902250186284,-0.03410221507756832,-0.01906508621589022,0.11400623814682449,-0.025647066897589704,0.0690939117528114,0.06943322876401865,0.0526947014010411
