,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
01/2019,,,,,,,,,,,
02/2019,,,,,,,,,,,
04/2019,,,,,,,,,,,
05/2019,-0.00710233646492496,-0.02711440309069663,0.03603723820633176,0.0016537927663317655,0.009446032773754,0.03854121650870557,0.031842736893096135,-0.06498795778281,0.026941656481174702,-0.04997109175076636,-0.005650215615155101
06/2019,0.016004105939197776,-0.035998236221959835,0.02033909554823897,-0.0010624032595030683,0.00022616266732003454,0.02377107634765783,0.020746081138255736,-0.07398584878129703,0.023735385565721634,-0.06528738147791004,-0.0018282050758728341
07/2019,0.11320725474589231,-0.022065633130340462,0.0061344445150537,0.03074471404085617,0.0002302225230524669,-0.002655041610965301,0.0136347868997799,-0.0420336886613355,0.0132918447274213,0.06298772398124597,0.10953406259744936
08/2019,0.1083747435070211,0.0361447573414102,0.014222438020839065,0.024853368141707004,-0.0050418103233444,0.007638490413003532,-0.002069791832564,0.0328083610742368,0.0230723661761401,0.03362066051973387,0.1126354859039889
10/2019,0.07469195297772059,0.05319024963057184,0.0324637278205746,0.016933470604716436,0.01829941530389397,0.005635532181509932,-0.008816044794059633,0.04728763608518527,0.015496427644954234,0.05073088959259977,0.09283172747115193
11/2019,0.0740434820344692,0.0413026325930245,0.04585485240429834,0.0227746906635017,0.012247896023345731,0.019282092725239768,0.0065660335512407,0.02754209562094913,0.014558734290613733,0.035524897716185465,-0.03373453607119887
12/2019,0.0477567415491707,0.05741645955568577,0.02611290661760803,0.002682776535418737,-0.014478539441334835,-0.0008899200023205674,-0.012733227341345799,-0.005407251254107501,0.04090201053601673,0.027838982828499833,-0.0706944028306233
01/2020,0.054846766211382625,0.026940055387489465,0.014851326971144233,0.01525489754387977,-0.03415880055399397,-0.0005711867197299675,-0.0003173913942610661,0.0215846716937781,0.027558196524763972,0.015126114443453166,-0.06841490469086896
02/2020,0.05818045396227667,-0.00014341309017356618,-0.00030860442403750094,0.0018239876320595382,-0.012962261845417036,-0.01598020073308457,-0.0205492725395993,0.013746207079067834,0.022916959578179335,0.005888040393187834,-0.04901423912990303
