,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
01/2019,,,,,,,,,,,
02/2019,,,,,,,,,,,
04/2019,,,,,,,,,,,
05/2019,0.04192178427899567,-0.010108770997631699,0.017252655222972334,-0.027240909144694334,1.5440408532597782,-0.017367859807157864,-0.025897260654211367,0.023680723519302265,0.015509063195960869,0.08355853148100417,0.09525916880636438
06/2019,0.23091886448778307,-0.018714710218453296,-0.014977054575826968,-0.0012272320247190664,1.1908384299437882,-0.007515931221146302,-0.0229446925870474,-0.005932267223181732,0.043649711220412835,0.014422932408334107,0.1332785854726186
07/2019,0.04454343277760786,0.030958226602052104,0.034261010020807336,0.05255629593386327,1.2324462029547585,0.004272021615401298,0.05006475682165091,0.056838948903071444,0.02159676012421513,0.026694127766047206,0.06375179551365993
08/2019,0.22084232647507132,-0.00033634067298196163,0.016985449940042367,0.04659666738591243,1.6198243090374025,-0.030264501002265336,-0.005764991904911088,-0.010900824182288193,-0.013585948204519332,-0.07254737076614577,0.07153827330566732
10/2019,-0.14616380438418253,0.03101702959639464,0.040670928830844166,0.022862129867913333,1.6762959061690497,0.005496048399671834,-0.022430747924388723,0.04192613177797347,-0.029262443292098535,0.023513065834686698,-0.028693673745426498
11/2019,0.5654310418379133,-0.0413923348621253,0.014559838941095431,-0.016068840651439768,1.640185397768203,-0.0265289999450732,-0.08067046229131124,-0.024456795271789,-0.12517941660666324,-0.03148303963478813,-0.005050366347493962
12/2019,0.21901267570968266,0.011020849856832299,-0.01648500210990847,-0.0041431967591928675,1.417130720551711,0.014643768988628703,0.05954973434060679,-0.0430648298813604,0.10947762085553175,0.08193919286926725,0.02145507224443527
01/2020,0.595340326261743,-0.011259222240697435,0.0421813411587385,0.007164815835369666,1.6220980283353927,-0.06227757771892433,0.004666716159303104,-0.03002646206708771,0.08092483489827691,-0.0008884589812631905,-0.011961920898116929
02/2020,0.20590745054586987,-0.037628132339547975,0.006831073052451365,-0.012249294234377534,1.7762465664853488,-0.05036776373597623,0.0394212399509235,-0.04227156980242457,0.14897739928846057,-0.021683007000747392,-0.03745657125988177
