,b industrialbank,mtb bank,pivdennyi bank,poltava-bank,fuib,bank grant,mega bank,sky bank,bta bank,asvio bank,ukrsibbank,idea bank,cominvestbank,ukrainian bank for reconstruction and development,pravex bank,credit agricole bank,arkada bank,ukreximbank,metabank,city bank,unex bank,kib,ibox bank,universal bank,kb land capital,piraeus bank icb,bank credit dnipro,ukrgasbank,radabank,clearing house,bank alliance,first investment bank,ing bank ukraine,otp bank,citibank,procredit bank,sberbank,bank for investments and savings,bank vostok,bank trust-capital,ukrainian bank for reconstruction and development,kb financial initiative,bank for investments and savings,bank forward,cb accordbank,credit europe bank,creditwest bank,raiffeisen bank,ukrainian bank for reconstruction and development,motor-bank,cb globus,ap bank,mib,cb accordbank,bank 3/4,eib,vernum bank,deutsche bank dbu,altbank,seb corporate bank,cb privatbank,sich bank,policombank,alpari bank,bank avangard,oschadbank,tascombank,bank portal,crystalbank,bank familny,rws bank,kredobank,lviv bank,okci bank,a-bank,sense bank
2019/02/01,2388471.20022,1680333.77503,16670264.822799996,959971.44732,24613790.89136,1074582.05415,6607875.63087,174641.28636,51869.19357,352298.95763,20600290.23467,87769.05454,702174.67117,369039.12091,950698.56064,21857077.87894,171084.86422,133910992.76715,418780.07914,575453.5166,338890.51611,501672.75932,407754.68994,1216728.85864,490482.4675000001,1298807.20024,6202829.34225,43466417.6818,917334.89031,950223.55549,1859928.488,693437.30368,7991267.35275,17933083.69431,5552282.45589,16977561.86222,53433415.89281,45397409.12483,6528750.431609999,101543.898,,21597265.20025,3205498.36134,64875.80984,571484.70476,977766.01345,1219500.19394,43105458.16459001,422896.21127999993,698822.81961,768409.5273899998,402152.0620900001,2533516.82422,560296.05702,144987.35458,494589.20858,246124.74262,2037504.57518,168645.89422,525947.74596,227541991.74256,462607.79496,423205.47891,18735.2255,164468.24172000002,117114610.42904,11660867.49787,213474.83848,317607.45542,174.67017,126310.64015,5880175.23018,1332226.83559,245840.62222,160555.65721,24385702.94021
2019/03/01,2367412.35982,1729334.33112,16474486.99891,1018175.99252,23855515.34145,1035302.87927,6504053.70052,181346.91852,48244.85958999995,337808.65884,19726130.73975,86641.98481,696131.99517,338346.51675,572445.50815,22084123.09932,182291.16759,129944601.12939,475171.4548400001,503862.54239,327242.47373,543156.46456,398512.33514,1228442.60417,487501.07509,1332839.66565,6072106.423420001,42530152.56266001,962260.49014,939743.27652,2037582.49792,689163.72457,7844764.60488,18005284.421,4912750.05122,16822884.37124,50159966.27577,39571361.32811,6622099.05747,96768.18955,,21491129.75061,3113172.50596,63442.79004,579325.14683,1023301.04107,1305290.98951,42088313.97448999,452067.00101,706171.99329,820538.8989599999,431751.69503000006,2569673.77738,561912.25114,139232.81967,501468.69610000006,242689.55645,1594119.26468,155972.11999,303756.85773,226771975.58919,455571.39283,404607.01925,23761.989140000005,158328.71943,115347442.65542,11583695.61757,227808.64488,312957.51119,174.57182,150938.50996,6153115.51473,1377950.17498,242443.53119,160812.3167,22343667.16026
2019/04/01,2412273.11543,1791305.77854,16465879.91659,1037773.35183,25020612.1426,1060807.80289,6317607.07786,199014.43225,47590.76001999999,346281.11169,19722248.34479,87107.67265000001,673903.1678800001,365343.09949,625163.36891,23060950.35698,192247.79202,132121261.36405,458466.25687,507921.86479,295124.15895,654288.25834,418903.55458,1072693.76748,502323.75651,1262010.74091,6054418.07194,41326956.48055,1033367.48569,959940.56486,2091408.43953,675787.24469,7911696.04954,18591960.54997,6103500.88814,17134531.885919996,50386030.73924,39950598.59451,6714932.3957,94935.87703000002,,21523745.46666,3202144.39174,64013.43344,590964.9659800001,995637.17422,1352973.37748,42856075.18428,449373.1025,737064.91458,789756.44159,512273.77625,2672485.6354,631246.13225,134563.27296,525495.8247899999,230282.67118000003,1152906.33558,168933.24642,757121.85943,228333143.36906,463648.23769,398031.68022,33873.601070000004,160523.70214,119510666.62637,11833817.00889,238085.15204,340727.14844,173.92779000000002,155231.54259,6332812.37379,1450246.06598,243022.3567,218336.33545,23617219.61238
2019/05/01,2372453.94317,1927836.87079,16114353.15004,1077485.67926,25156976.30019,1034219.54808,6173545.13103,204741.67596,46528.96496999997,354646.45633,21028803.02549,84180.59439,655471.56092,317184.56295,763366.84188,22584539.76638,206853.11102,129521723.21078,451607.82214000006,499900.19512,290363.75445000007,726828.86827,422525.78933,1087012.55178,489550.48212,1230569.70752,5943364.6227400005,40419856.91809,1080491.85097,1000398.7218,2121137.45913,593140.4563600001,7962270.891220001,19315494.72101,6341793.440700001,17219048.00101,46672260.83495,39185275.76269,7083112.516350001,95153.28253,,21431235.64103,3134073.7843599995,76048.66477999999,593583.24247,856352.41346,1282310.29135,44601231.93848,461361.43843,746820.4091800001,843370.7719099999,573961.5822,2606354.19932,571259.55985,132997.22469,534302.89615,212020.24783,873471.18518,176550.77920000002,753957.1189700001,228478127.40874,459206.4366999999,391161.23494,68192.06046,181084.33914,117154229.89376,12047527.16247,197610.72338,360362.60911,172.47939,169259.32445,6450638.4176,1494957.00503,238239.53859,246151.42556,23771698.55471
2019/06/01,2345719.42653,1929300.66264,15544654.971609998,1073780.47147,25933629.01119,992729.68313,6245281.373310001,190185.37893,45541.97653000004,396841.6017,19302093.11515,83487.69969,633039.92016,338265.27806,566745.54733,21514974.15895,206796.18937,130810443.87849,463597.8600900001,568652.83722,287448.7394,722540.72412,410894.7816,1071432.06224,499981.29932,1384311.85856,6026569.45056,40024305.49392,1069300.21677,986071.42485,2176671.14216,525315.5636400001,7687187.982259999,19707427.08763,7160930.70698,17353989.193770003,47037112.74375,38771168.3837,7097163.79139,95857.71511,,0.0,3111016.51988,76889.84212999999,611199.02502,871505.4560499999,1287744.07152,44242631.76302,450868.17826,764907.2798499999,869464.93072,613825.12274,2591345.63658,589457.714,133559.3028,514193.8209800001,,950435.47434,184075.07231,1267179.16721,228884796.76565,425499.9918500001,400623.75559,55573.98913,186455.0862,117554684.41584,12006805.26898,194308.18518,328627.48917,171.62465,169398.71819,6480223.07107,1550246.56758,232643.54613,263518.20112,24001149.82808
2019/07/01,2246869.94725,1917662.40013,16086352.528999995,1155125.11596,25499332.969510004,1009786.13087,6362400.4813,187425.24445,48838.360809999984,419234.1228,17849470.01691,80649.29166,629438.61219,335425.28902,623397.34238,22499724.675949994,221322.0839,129082832.34721,489183.08996000007,532188.27113,258007.19274,710292.95935,380337.2635,1058491.62546,516653.78092,1494769.5277699998,5850309.937779999,41878755.21663,1057728.35649,1030063.76618,2300221.59076,521702.15922,7135907.39567,19679623.79058,5475166.62416,17342229.78469,45862393.10494,37904779.66261,7107624.74254,90538.25052,,,3139778.80049,75157.88196,618970.3761100001,859702.1219500001,1264273.5157199998,43349994.33711,423145.97601,749466.81064,944895.31781,635275.8495000001,2579011.15407,829215.32207,127172.61024,531258.56407,,1075913.36378,174126.67734,1435753.2090500002,228451210.76491,425434.94161,437095.22174,56335.16101,164219.08802,117783606.95389,12053631.77546,196528.71569,363980.18984,120.76449,172860.87588,6649126.670089999,1554907.38309,225713.48972,266866.1911,23634675.56134
2019/08/01,2166305.05877,1964685.42729,16092755.88106,1086827.2832,26502055.09018,1006997.97601,6037663.42432,190857.24588,48060.09639000002,424007.31368,19423064.40198,78779.37036,584891.1033300001,340734.1022,708601.76165,21013853.25792,227482.55515,125208843.25797,473711.84823000006,544709.77491,251901.65899000005,755300.95597,364858.55167,992542.82909,532078.3133599999,1370292.33823,5205267.6799,41758298.78454,1091423.4242800002,1062921.41252,2263238.22637,568475.86132,7021085.15922,19281291.27154,5965674.752069999,16777182.04131,43998567.39042,36469334.19665,6831990.051160001,87854.68771,,,2904441.2889500004,77425.66468999999,644668.7953400001,374891.18343,1224080.64898,42230540.76889999,429059.2343,694250.9045699999,938512.92497,651553.94736,2540249.0082,637377.93227,125279.78968,478623.98753,,1223679.3124900002,148098.03241,1284217.86196,226576188.89348,434260.24691,450489.1102800001,39942.48518999999,151160.0017,113300086.94129,11938030.852100002,200044.80763,352219.62623,120.66598,162313.60854999998,6451240.21739,1561666.24402,218935.9528,257272.98768,22875459.88128
2019/09/01,2140375.18745,2057947.21595,16258001.34031,1145224.92679,27449437.69658,1048161.97595,6094786.930570001,196507.94125,47391.05924999999,415259.52502,19248638.338200003,79106.9622,587416.39419,365701.03722,766532.35004,21702840.89972,267976.81845,121564747.22212,466312.8221099999,543825.15969,249173.28875,754672.3745500001,364933.50649,1018075.82474,545587.3838399999,1334395.94132,5185415.35262,41661344.78163,1090548.28188,1028161.0245,2187802.36653,569335.14062,7104589.20544,19396305.35781,5925493.27085,16818414.074160002,44037511.8486,34892110.33049,6942569.42869,85858.80971,,,2927401.2116400003,80409.01199,673702.71031,418424.78019,1251803.29265,42743960.60173,487638.8337300001,755369.84577,921035.625,661521.9251000001,2509506.16953,619943.63163,123895.14493,467909.04094,,1166648.74983,129705.92987,790255.6094900001,227215446.50102,475457.63353,450465.21797,45257.62593,144004.46305999998,113678769.63934,11973264.34756,198322.21304,383960.66255,118.77303,159374.12355,6509966.067130001,1572618.81538,218920.07094,268024.86207000003,23601735.33522
2019/10/01,2216119.78137,2075231.06262,16843129.30783,1113208.10453,25494832.93639,1045284.34992,6392430.008040001,174153.76766,50179.89849999995,411509.9918,17500764.921490002,78462.25622000001,571988.81952,342197.73742,1023020.21552,23801208.61588,202099.94167,117613770.0255,454076.50485,520019.74112,208640.72529,723620.4907,344387.07207,1081800.57381,535368.5840800001,1355142.29287,4970315.72119,41385112.20965,1047672.79994,1018581.51326,2076753.07376,505012.18402,6618789.3804,19914371.83905,3804750.83867,16414602.6127,42081923.65074,33568700.75712,6608187.29282,84528.44943000001,,,2605052.39004,90268.44614,682923.5607200001,433859.62305,1279241.53312,41036974.56515,498575.80375,735560.2463,861768.4468800001,628277.8359099999,2479686.59015,692033.15418,126023.85936,463497.30768,,1189918.05106,152438.12712,794342.7538300001,225551466.98293,508251.38289,419333.25703,39484.78972,118743.51931,110665609.68015,12038527.11474,203520.29406,379819.35414,2644.89872,161333.65188000002,6605042.714540001,1557745.59928,188519.78754,298498.5814,20024703.54242
2019/11/01,2167743.22108,2111984.12745,16910518.435060002,1117647.44783,25946998.3986,1075015.88316,6281277.9875,145932.68114,49641.076500000025,414326.95026,18593347.49965,78415.90459,602689.28195,361021.42025,1032128.27864,23979339.565,204384.50021,119521581.34177,502249.34136,531767.0686,183721.62141,738170.7681900001,260188.08033,1280678.3056299998,567872.75167,1342193.5046,4810451.49516,42068666.70549,1093500.54779,1067215.59685,2038142.07774,554472.0028499999,8410446.45074,20712099.30901,5067798.70764,16623759.58502,43591230.2551,34489538.64748,6951348.69959,83769.93034,,,2634108.87884,108456.70356,722814.56591,502284.96187,1329333.1862,41261538.52693,504842.05026,713895.41155,831806.09103,596486.9698,2518245.81639,713573.10884,127274.74054,455391.12200999993,,1200720.17145,160003.08798,795579.36961,227614945.50862,1226954.64743,423627.30316,39014.2294,124333.62468,114256650.8931,12399397.68322,207192.25854,347240.87871,2699.97739,153918.28611999998,6421924.86637,1716498.91154,197479.33462,301629.64147000003,25995161.02115
