,a-bank,alpari bank,altbank,ap bank,asvio bank,b concord,b industrialbank,b lviv,bank 3/4,bank alliance,bank avangard,bank credit dnipro,bank familny,bank for investments and savings,bank grant,bank portal,bank trust-capital,bank ukrainian capital,bank vostok,bta bank,cb accordbank,cb globus,cb privatbank,citibank,clearing house,cominvestbank,credit agricole bank,credit europe bank,creditwest bank,crystalbank,deutsche bank dbu,eib,first investment bank,fuib,ibox bank,idea bank,iib,ing bank ukraine,kredobank,metabank,motor-bank,mtb bank,okci bank,oschadbank,otp bank,piraeus bank icb,pivdennyi bank,policombank,poltava-bank,pravex bank,procredit bank,radabank,raiffeisen bank,rws bank,seb corporate bank,sense bank,sky bank,tascombank,ukrainian bank for reconstruction and development,ukrconstinvestbank,ukreximbank,ukrgasbank,ukrsibbank,unex bank,universal bank
2019/01/01,3473990.79382,20940.52561,141300.91545,348960.32698,329892.66663,548832.31782,,1393762.25382,285213.8999,1398872.88397,157361.13765,4253776.62591,1497.07738,2996407.01462,1062045.8986,178913.01965,,,6756954.42742,69089.2803,727709.72447,1576196.63742,52019975.38405,7154723.44348,632632.13997,682010.6275,21686096.88117,847816.31274,1260966.43412,366350.20781,1848791.66535,,627186.08272,27244296.98451,447967.12821,3305698.78945,1855023.53784,8531905.99769,9624869.76445,432910.10269,676958.89879,1907702.16912,247888.76918,67543176.38502,21880185.38463,1350254.19306,15665415.6769,380106.10956,963925.87978,,16526449.79469,819359.52634,47602786.78944,116360.79671,524308.89156,32400032.61636,171328.83437,12971926.59716,0.0,,72478932.43021,45236843.7611,26137961.9049,328586.83442,4976809.61476
2019/02/01,3753240.71932,18734.83601,167814.07621,389666.00162,306158.54501,592654.77784,,1405763.25899,290809.48574,1809499.79468,124230.11481,3898209.71171,1439.48029,3004999.49153,1055442.75774,198837.13695,,,6311737.15611,68842.93968,601913.09949,1529876.22277,53063681.54065,5552672.44735,629288.88276,664702.92554,23439473.27309,843435.97659,1205359.49239,354758.66099,2036409.38574,,623267.1925,27112390.10443,422927.66388,3378486.66366,1766607.01432,7300153.09128,9686099.43371,436333.41452,683584.3035,1917046.09165,257833.71131,62725346.66305,21759735.6696,1306216.24255,15088260.47325,370684.19807,940349.90529,,16579219.00932,805208.38661,46000327.16414,124767.07422,524748.58511,31261480.81669,198295.12963,12430028.99558,0.0,,70839342.73237,43126890.98527,23659646.00209,329813.57893,5187915.73645
2019/03/01,3798464.37151,23761.59254,155790.87264,418392.36327,290405.03953,607773.73553,,1454781.08048,285437.07931,1977584.39385,119204.14902,3876121.53255,1380.82468000001,2916817.20018,1017777.18743,214417.55318,,,6408952.45135,64921.69881,626895.81653,1597059.48172,53374631.93077,4912364.90877,615099.09794,662107.53767,23730175.3794,888111.74339,1291679.57661,350618.73561,1592648.43722,,614725.05759,26422769.32726,415823.17774,3470338.87508,1821526.34329,7164229.95535,10014140.99954,493720.63914,691062.2027,1953864.19051,254582.01418,63938507.49681,21900727.43393,1337425.71893,14957716.45405,351787.44059,997690.4201,,16397467.54978,853966.24596,45009969.63069,148701.62584,303064.29209,29549642.07682,207044.11974,12373166.87729,0.0,,67944102.30353,42290247.60317,22776774.37833,326379.63171,5482322.48271
2019/04/01,3802046.88237,33639.0758,168826.74291,497210.08856,296471.47726,615178.22339,,1533554.34912,280166.65048,2029325.59635,122615.6452,3937801.70905,1325.98535,3018037.82261,1043748.6628,219887.75449,,,6516787.11823,64282.36827,712316.25667,1579324.37649,54775624.21035,6078186.63164,638579.74353,638796.658,24789771.23655,858567.68831,1341797.05484,378270.02943,1151740.48213,,591876.90795,27775020.20494,433981.93655,3585508.21507,1901060.48511,7226741.04129,10267826.6739,477571.7358,722236.89739,2024891.30143,259460.02299,67217332.1508,22767566.77429,1266145.72985,15162192.18362,344880.71991,1020172.2333,,16678154.27792,920241.44783,45939315.42554,155134.72295,755395.62158,31235127.52111,222661.08239,12670038.14015,0.0,,69429168.79626,41196443.16836,22806646.91155,295307.22188,5755660.9741
2019/05/01,3947608.13746,67741.09059,176557.28255,557348.60398,354391.60677,615334.13918,,1581091.30257,278420.79237,2058653.96526,140774.15888,4058631.22036,1266.89919,2965682.92679,1019101.93451,178959.50231,,,6878784.97855,62930.02847,657570.79581,1613841.45878,55421038.11299,6321353.51825,672138.57201,619521.22833,24414979.39129,808195.63636,1271255.61044,403303.22694,872547.35395,,513548.87444,28246574.01719,439842.79089,3677729.57139,1852472.84484,7288917.19186,10463667.68237,475882.29029,731135.10096,2146653.03908,253227.80907,66901451.47315,23543783.761,1231872.22043,14838258.89049,341864.61812,1058844.53287,,16767096.29026,968543.17705,47713220.54881,173448.90622,752238.09674,31553716.95453,227493.45264,12914483.99108,0.0,,67862715.82043,40141663.47237,24086462.80794,295415.79565,6037395.53849
2019/06/01,4044085.87287,55388.22433,183957.92947,596112.54094,395369.01478,629277.10469,,1640522.45913,274802.603,2109973.34601,156598.54977,4135201.21886,1202.87278,2945504.21288,977138.15017,175452.0028,,,6889769.75917,61743.54513,691697.15026,1679552.25198,57089449.05871,7139990.78948,663986.18057,589345.93392,23431510.96103,821603.15563,1275462.80082,376153.16354,949630.06983,,439302.72301,29079185.71744,422561.74863,3782073.45229,1806957.58101,7004236.95271,10601701.40313,483878.96038,748677.16877,2150922.61108,248384.00029,66159886.21546,24068279.27828,1382266.11954,14290432.93084,349055.88618,1061115.12638,,16901953.06224,954711.50737,47498035.3464,181660.48672,1264289.99854,31986838.83844,204196.72113,12898489.88614,0.0,,68365283.29268,39521108.75997,22623703.20583,299258.54254,6539900.01438
2019/07/01,4057344.5788,56095.44592,175139.7529,617547.70027,383624.29233,645208.94434,,1651268.48153,296966.37723,2225747.33778,136301.88853,4148561.41816,1101.75157,2996736.18039,994916.91871,175155.01855,,,6920163.93878,64772.70024,949987.02412,1766673.19021,57312291.59378,5475462.64189,663463.97337,584743.30437,24688545.94454,810700.06104,1252324.35186,410051.9842,1075085.76019,,424538.21949,28913832.46164,397107.37518,3827638.99293,1794802.16401,6418431.13939,10845014.85816,504186.9546,732938.53473,2135398.89817,241396.51085,66389720.94646,24208290.90625,1485894.81488,14844893.33991,382976.95369,1143942.65929,,16893033.57349,938729.16689,46801082.26877,193148.18075,1432479.69182,31996024.61727,180859.25522,12982248.83733,0.0,,67007815.69406,41313397.80604,21142956.21735,271982.95496,6995179.45994
2019/08/01,4094354.98571,55616.04399,149278.04831,633368.11992,413837.99724,664773.98068,1985152.48908,1664879.87648,282503.27365,2184076.54297,124371.29867,3670496.63763,1066.76911,2788245.17468,993648.97887,177832.55248,76393.81228,332350.55078,6668867.94342,63662.95843,773573.57337,1775541.34629,58268635.30257,5948312.77425,705344.99545,541627.98111,23459598.34924,331210.81722,1207416.0035,405372.13105,1222806.49549,385526.75638,467382.98806,30758349.70168,378851.41086,3919879.46149,1763261.83594,6328373.65375,10749786.61293,490386.63251,677762.6625,2166713.14257,234566.00526,64686703.9072,24013145.73327,1357397.01635,14833378.70462,395400.90993,1081410.17105,939084.12408,16378715.21697,969594.39566,45844836.34477,188429.99967,1281289.84497,31739971.1797,185923.62107,12948115.65341,0.0,415734.57362,64873927.18444,41117029.9627,22769512.25477,272623.45371,7238991.73757
2019/09/01,4174962.93316,55536.24562,132579.91439,642720.05351,404451.38172,691123.39871,1952794.66089,1685300.75474,280150.9,2091346.63381,120939.78759999998,3668619.07745,1029.74421,2822691.79166,1034598.90821,176046.17313,75029.91472,358034.49545,6787267.86131,63005.37634,770136.1451,1762721.6243300005,59528390.46198,5917242.556410001,663749.39368,544971.0212699999,24297429.08325,374194.33886,1236080.71241,442885.52158,1165898.07703,385486.65005,473519.83529,32020303.55007,377077.57986,3979137.37313,1701718.13376,6406389.725520001,10926259.62286,482625.16318,738477.62344,2248032.00236,231210.80752,64653022.54022,24351467.5809,1320290.84763,14995082.20647,395729.49625,1140684.28113,1018082.72313,16462123.237799998,961771.01838,46468318.28119,192742.21229,788453.82669,32749674.87596,189313.97426,13033781.13899,0.0,460223.6231099999,65079078.55228,40867068.29689,22706815.87153,272952.09223,7708006.403679999
2019/10/01,4425659.439319999,49699.57476,155115.45689000003,610525.81557,399732.5110100001,703411.4704,2019511.90097,1676397.11801,297613.82226,1986336.46536,110808.1064,3560404.3223400004,3376.19793,2536744.1343600005,1032180.74356,179313.78204999998,74235.45552,335355.95029,6442195.81091,62329.80437,856997.18434,1698100.9503,59766848.66859999,3810363.13899,654444.88643,531094.1557700001,26549236.3133,392114.94956,1263891.06911,443353.51229,1189036.43606,371776.45168000006,420732.19706,30726648.10627,356876.02336,4033390.44567,1685733.94612,5977072.22455,11153598.15128,469572.80358,733889.07472,2250176.73229,199235.91521,65145552.64964,25109874.79483,1340923.4057600002,15541328.85781,365812.30806,1111010.0637,1287919.57123,16059120.61939,916507.54598,44838813.7397,204242.04343,792531.65235,32883982.73934,168913.21916,13137791.04313,0.0,468751.9558,62833377.36822999,40810713.47373,21028630.14972,234674.0994,8020038.767739999
