,a-bank,alpari bank,altbank,ap bank,asvio bank,b concord,b industrialbank,b lviv,bank 3/4,bank alliance,bank avangard,bank credit dnipro,bank familny,bank for investments and savings,bank grant,bank portal,bank trust-capital,bank ukrainian capital,bank vostok,bta bank,cb accordbank,cb globus,cb privatbank,citibank,clearing house,cominvestbank,credit agricole bank,credit europe bank,creditwest bank,crystalbank,deutsche bank dbu,eib,first investment bank,fuib,ibox bank,idea bank,iib,ing bank ukraine,kredobank,metabank,motor-bank,mtb bank,okci bank,oschadbank,otp bank,piraeus bank icb,pivdennyi bank,policombank,poltava-bank,pravex bank,procredit bank,radabank,raiffeisen bank,rws bank,seb corporate bank,sense bank,sky bank,tascombank,ukrainian bank for reconstruction and development,ukrconstinvestbank,ukreximbank,ukrgasbank,ukrsibbank,unex bank,universal bank
2019/01/01,1515439.98301,36839.29889,77718.93197,106793.51868,133387.31314,152259.80179,,144844.83494,366609.5384,350648.4684,125621.69506,1028013.37536,41201.15753,509815.56161,187787.72218,53516.89499,,,929719.29122,100048.72907,237142.00038,408512.73748,33491240.36916,1997551.96314,181246.15967,168819.34304,3538408.23391,96904.6341,156096.25362,230846.2418,161849.93053,,161858.02436,6214884.44273,285751.4958,1441488.5695,426982.2599,1103985.68105,1822604.73776,114817.3676,124206.73458,569522.8177,38963.44756,7663154.80756,4521107.11211,347188.2324,2101501.60037,81171.8736,254742.64613,,1342359.21605,198129.77899,10765082.72693,132886.98778,163419.09809,7718734.28058,57078.06381,1589909.62736,22550.06496,,2928704.53765,4348810.69082,6400679.37571,140090.9278,2108121.71519
2019/02/01,120668.25661,3898.46285,7588.67294,9670.92437,10445.64525,18003.62462,,15351.82553,32622.75143,25031.6387,12733.29671,58181.48969,4928.37367,43847.94769,16035.25956,4383.38506,,,83891.30212,7921.82531,27166.53427,40260.21341,3904869.04898,240745.03498,13681.96651,11799.73245,319086.83894,7427.8842,11751.48658,33928.13136,16992.62923,,16280.4049,567716.96621,30968.60279,137878.19887,53581.21661,107597.17273,167774.04732,8976.9715,11249.94854,46450.62122,2731.55586,1210194.52895,471279.09377,29555.30372,195969.64013,5818.11522,21106.86228,,119475.1781,17486.5606,905568.34201,13917.88398,15690.89479,709259.71651,10715.70998,144788.52725,2064.10956,,433443.77661,401139.94994,573865.10896,13950.6733,124002.37776
2019/03/01,229948.06115,7138.17326,13145.58339,19935.43744,21217.12072,35073.62201,,28936.98013,54269.30492,53038.44943,17711.69586,24545.40133,6864.15841,77151.5601,28308.46922,8431.89934,,,155687.08783,17428.13436,52613.01382,76187.24414,7217790.08168,433065.43002,28917.29599,19446.9059,615071.74448,13343.12575,22686.3998,55566.5515,29979.45537,,30053.80476,1167579.72193,50911.60584,265380.20146,61128.73921,229867.2133,320274.13656,18015.18066,21304.22568,85976.93204,5868.0252,3224029.0143,896180.70654,57462.63991,378943.17247,11122.33508,44645.78181,,225500.59785,32222.28473,1752540.83467,22551.82429,29386.1487,1355197.48626,17684.2354,289723.57225,3994.78103,,754223.3369,811383.71727,1117043.35885,25870.01888,271900.57561
2019/04/01,387017.25009,11303.37958,19260.42285,33707.85453,31954.13575,52550.60651,,43043.84816,88537.24517,81133.42601,27501.28616,250523.84207,11860.11759,126384.49039,44174.94876,13149.11934,,,242807.28788,25392.73161,82573.07327,104300.20699,10805202.44341,660238.08102,46226.01598,29388.502,932544.58138,20944.43592,34132.26629,75787.42398,43965.96581,,46776.71182,1791813.96892,76623.49559,410809.02008,120954.78307,341229.33769,483434.31499,30017.53458,30973.44061,127462.07323,9594.36587,3211278.21447,1354834.35924,83949.11431,550880.01337,16974.05449,67585.68333,,347674.66623,49744.76022,2638081.39515,30170.84565,42915.7591,2071998.09407,25386.70728,439310.28731,6138.10888,,1149987.20319,1196279.36297,1769877.53063,41533.58061,448637.19998
2019/05/01,524244.5199,16173.74343,25704.66668,44232.60451,43173.17373,72554.09305,,58663.12383,119142.74095,107851.67898,38308.50097,235735.06969,14481.10623,168626.32965,59308.55158,17509.76974,,,327802.89757,34059.46825,114566.84316,143592.90549,14518352.06964,900753.69732,63928.60322,40585.96719,1241710.56769,42975.44002,45510.52558,93079.86777,60807.62038,,60213.94266,2363056.68514,106580.42669,556206.24749,148180.42658,454579.16075,638922.26647,39515.08908,40473.94779,174754.92621,12750.43933,3465901.21575,1781149.12963,117706.12225,734719.15496,22168.46202,92738.30227,,472709.61211,67786.07572,3521602.4083,246610.25724,55325.69161,2802759.22686,36620.57571,597724.33384,8129.99884,,1376568.31471,1937426.14519,2328949.97779,54241.34838,643273.37139
2019/06/01,661611.68322,20617.62421,32626.65186,54307.06559,56390.64126,92660.02652,,74355.36393,145937.54384,138660.78503,49554.72178,315152.57923,19276.87032,225091.00267,74687.78184,22184.09365,,,421466.79381,41616.14918,147150.52718,176940.42432,18757396.04671,1157037.44814,80788.66502,51013.2511,1559415.40281,49834.48584,57348.70339,112799.85262,73874.92239,,75188.71045,2965415.59692,136989.59571,711193.73399,186865.02315,578662.35423,802684.44323,52674.85155,52279.31463,221610.14742,16481.18454,4957453.49192,2240552.73108,148085.4316,903561.31481,28120.94809,116801.78566,,600916.01766,86907.74241,4499789.24603,255628.51212,69456.22519,3552502.53129,41283.39381,771227.65304,10172.47844,,1943267.29999,2360034.51664,3020366.52406,68755.10867,841625.20904
2019/07/01,788692.40262,25152.72299,38688.21772,62966.88565,67074.50786,115248.32608,,91136.20338,172186.8465,166525.81525,61585.44366,394687.3782,21580.90636,269089.88295,88315.69698,26856.33161,,,500191.25749,52757.56025,173738.36076,217858.28343,24804826.3004,1401302.68795,99582.61067,59780.33207,1854639.07258,56717.23901,69092.26131,132584.87871,86579.72923,,87371.39844,3564089.09035,152768.51146,863739.81375,204677.15812,666952.18297,967653.35381,61512.44365,61452.76743,269426.93958,19695.13435,5844593.3486,2680886.182,177524.31301,1068511.8275,33666.08481,141354.19778,,725139.61186,105941.19638,5375904.99231,265237.48034,83098.47967,4298456.08834,51170.13709,940269.04567,12199.72757,,2929814.25541,2731419.03036,3564769.60863,80508.70529,1100493.70255
2019/08/01,938137.53978,29178.40294,44831.3046,73482.48178,77491.27104,140650.00927,294997.79463,109439.98406,199448.75702,197771.66104,72188.10005,782497.63889,23328.3642,313497.08955,103267.90613,31331.31762,14762.8691,48952.76717,588297.53186,60210.96998,210842.11425,266120.65723,28213715.40362,1696539.26597,113562.82746,70725.64893,2190695.18284,63455.80906,80828.6807,148799.7533,101655.22752,86048.02943,100440.30723,4234766.7379,183951.30262,1031013.42813,210501.92646,787725.53722,1146018.67925,72940.2926,72504.99831,324506.1529,22524.18351,6064140.86576,3158854.8821,214334.37566,1274993.72513,39764.55198,167700.09158,341701.57655,871581.95858,126539.50153,6352645.53467,275876.67073,96492.46135,5106552.2644,52727.42405,1106514.99404,14211.41798,117801.63533,3718227.39654,3118413.33898,4126791.31215,90495.65241,1363131.98725
2019/09/01,1124217.96135,33229.16925,51987.62529,85277.46363999999,89189.48197000001,173362.94934,335635.46072000003,128136.29594,223801.30667,231608.66552,79524.46836,850587.7514500001,27560.44153,360733.32319,119099.83223,36423.3238,16847.45385,56290.53557,681352.63763,68859.84213,245242.12695,299175.64649,34044992.10697,1950183.41884,128293.4421,85213.60880999999,2507433.75097,71853.82467,93260.28122,167546.22992,114749.43009,96665.028,113417.8303,4896923.38787,203206.25284,1182446.86254,255609.39419,859137.33657,1331354.4596,86126.87116,82324.47417999999,376102.13411,25762.06988,7639689.05483,3609676.35749,242512.23125,1437888.8021099998,45480.00916,192857.61301,388596.82724,1011374.54422,153842.37246999997,7296000.60756,277046.6897,110077.12459,5830419.08671,57860.96246,1271836.60174,16228.13584,133480.19006000002,4634446.64217,3526165.02746,4679875.23514,103429.76385,1636019.95661
2019/10/01,1283079.2817900002,37052.02207,58811.359090000005,95313.71983,99331.47797,203300.20536,370356.02889,146766.74181,250121.55118,266708.64203000005,87435.58919,802877.67656,29192.11718,403511.92988,134580.67303,40525.85572,18558.39589,98297.75519,785491.3188100001,79861.97285,281593.29199,338458.76081,37306590.2581,2194929.03672,142004.0961,93630.64501,2806400.22297,79004.22838,104265.44395,188109.99892,127479.68199,102545.55011,124437.56806,5568623.386670001,224514.50515,1343810.50412,262910.72383,922547.16885,1497753.4862600002,98625.9202,91810.83401,435114.26125,29846.754650000003,7505119.91749,4061405.81458,270081.85379,1670954.13668,52514.12927,218299.9824,432487.45044,1148116.4914000002,171554.77648,8226905.40309,293873.64081,122616.69214,6654745.05491,73023.96342999999,1428511.97707,17962.937029999997,149564.5412,5546305.150479999,3933316.19946,5228065.82763,113293.46427,1922630.22666
