,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
2019/01/01,,,,,,,,,,,
2019/02/01,1709657.74538,209025.80414,370678.52798,123087.00712,751118.00078,320930.14176,124181.54616,602828.20422,372842.67123,396291.1033,62079.63729
2019/03/01,1453767.7968499998,195494.05263000002,419014.91108,109523.11346,1768244.81979,288726.63983,117398.38707,546103.7140300001,326719.4009400001,341024.94292,60369.01259
2019/04/01,1733867.13564,202893.84249999997,416241.8499400001,119370.40341000003,-920480.74224,294264.37408999994,100633.02560999998,591572.4624599998,319713.67282,364293.01798999996,68446.67884
2019/05/01,1600439.7327300003,203037.63945999998,412733.66157,115962.76053999999,499955.3736700001,287354.90878000006,87783.71360000002,594263.6736899999,314388.82963000005,363784.48118999996,78782.10584999999
2019/06/01,1711508.7225200003,201120.33294,412872.80027,113905.54227000003,435148.57787000015,308954.6459899999,103674.02957999997,615783.12072,336053.61893999996,382105.61979000014,88260.36979000003
2019/07/01,1616541.4412200004,186636.27648999996,422183.9208099998,125330.44270999997,408779.70540999994,285998.6354100001,85231.40198000008,581838.2620400004,337009.9435399999,348929.6923799999,95028.88218000002
2019/08/01,1636218.9660599995,196342.19435,497424.85739,128789.38442000002,453006.30157999974,303036.90794000006,101501.02015,602216.0159299998,318757.09437000006,351108.2541,106759.63145999995
2019/09/01,1635890.4807200003,191348.0832,475378.2346000001,131573.39191,334556.4276300003,290701.6693099998,93747.64775,604073.41206,321315.5257100002,342453.57912999997,118309.30799
2019/10/01,1583378.8723099995,201591.8842900002,456039.5249000001,125285.25258999993,454909.8914099997,292246.5995000005,92477.51506,575899.9489700003,351430.9924499998,356519.64876999985,124454.18154000002
2019/11/01,1629997.8505099993,212460.9350899998,509214.5391300004,130705.03668000014,449444.8941299999,326997.6099299998,89728.96542999998,616967.464759999,364526.48736000014,330780.76291000005,134949.92801000003
2019/12/01,1665092.7499199994,209192.86727000005,507662.5756599996,130983.9307599999,428610.9913099995,313077.2309399997,91535.69637999986,600951.7851500008,375452.0961599997,324369.18412000034,139502.8862699999
2020/01/01,1690447.7646000013,322009.5758700003,392654.26919000037,136336.28056999994,428345.9283700008,334925.5578400004,111956.04069000017,640940.1741899997,238383.72628000006,329101.20245999936,149625.46201999998
2020/02/01,1796027.70291,219828.66457,580411.4127100001,141900.64459,525191.98071,312618.2084,106440.83899,634564.1428400001,416720.89793,332986.52843,176042.49958
