,pivdennyi bank,fuib,ukrsibbank,credit agricole bank,universal bank,otp bank,raiffeisen bank,cb privatbank,oschadbank,kredobank,sense bank
2019/02/01,1591674.28444,7362084.343060001,1497388.6906599998,2282671.67265,110503.44707,2680134.20714,3044971.8444000003,217498058.1328,74645022.75968,476328.66615,4122628.5317
2019/03/01,1468820.22338,6798398.72715,1494138.27301,2240574.64174,107172.44370999998,2647082.81806,3086931.58421,216615261.35459,71818770.50896001,423757.33857,3891167.27397
2019/04/01,1209524.85869,5767808.84509,1520874.4196100002,2216310.56684,102203.92444,2432059.66595,3107678.13685,217569018.96190995,72858989.0291,454058.76393,6254225.19107
2019/05/01,1210776.30809,5748026.924079999,1497197.91206,2168154.5433400003,96290.96641,2387568.26661,3083551.99274,216854207.38397,71283347.06285,235337.24357,7802098.15224
2019/06/01,1058273.5588,5715961.71206,1201013.7834499998,2073600.44462,97575.19127,2316865.92247,3095717.48975,217137952.75169,71977547.43603,452801.63071000006,6228376.82032
2019/07/01,1052893.49125,5657720.37714,1236792.71842,1870505.86287,96393.71791,2252739.21348,2891557.8283299995,216275003.68519,70719078.78718,470004.44097,6516149.3855800005
2019/08/01,1025222.32251,5171312.10187,1207232.98826,1861839.87457,106832.34143,2190800.54609,2837942.1497500003,214809604.68293,69755290.19013,491999.05831,6049262.33549
2019/09/01,1012739.85849,5316993.18361,1181433.70981,1613811.7417199998,105634.31491,2295593.60158,2800877.67038,215286478.7832,67243938.06154001,483126.46836,6132914.02718
2019/10/01,1021020.70634,4714835.9879,1151065.9273700002,1559610.726,96748.42832,2502127.91052,2965258.25463,213623303.02194,63958924.76464,470562.86425,2938708.84757
2019/11/01,1432909.43143,5055365.71723,1177522.23801,1499988.9431800002,98944.86298,2283038.25618,3132005.70786,215429609.63236,66265656.95128,489074.47041,7850319.75369
2019/12/01,1420007.63279,4858147.61263,1149172.06402,1320869.75837,96046.86494,2250547.10385,3122200.3460500003,214090244.77008,64230477.0262,482006.50464,6702675.44637
2020/01/01,1403836.97868,4170952.78573,184308.62682,1288871.19707,91243.51534,1888767.82989,2966005.7066,213238721.53103,62276348.44289,496962.30066,5892681.71701
2020/02/01,1438812.3336,3995182.58493,170958.89141,1300780.00458,92218.54769,1950884.52619,2572638.44248,215913741.75022,65043051.11193,496004.88584,6159280.23772
2020/03/01,1423639.13193,3978250.61938,175230.89263,1288612.00468,89059.11413,1936712.35021,2573476.74004,215344375.39702,64269647.70597,522479.58391,5656038.53767
2020/04/01,1572983.4062799998,4604916.800489999,152097.47166,1360164.11547,98783.43741,2162666.70328,2606925.27818,221256499.41994,72272592.21858,556808.0488,6259508.77135
2020/05/01,1545202.01303,4416978.5344,185001.80253,1338805.4216,96256.52858,2181223.96217,2562879.32807,219672414.48143,69439286.4521,482420.49816,5447199.58627
2020/06/01,1546773.271,4472360.74711,165685.03066,1459101.27252,96389.35514,2186998.221,2567258.11872,219948540.40595,69773137.89109,485527.07453,5466653.20486
2020/07/01,1383582.15013,4309816.18877,192624.43551,1374968.63359,96874.60949,2344312.74509,2539133.65449,219922356.07805,45106113.61323,486653.84105,5528611.451479999
