,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
01/2019,3904869.04898,319086.83894,567716.96621,167774.04732,1210194.52895,471279.09377,195969.64013,905568.34201,709259.71651,573865.10896,124002.37776
02/2019,3312921.0327,295984.90554,599862.75572,152500.08924,2013834.48535,424901.61277000007,182973.53234,846972.49266,645937.7697499999,543178.24989,147898.19785
03/2019,3587412.36173,317472.8369,624234.2469899999,163160.17842999997,-12750.799829999916,458653.6526999999,171936.84089999995,885540.5604800002,716800.6078100002,652834.17178,176736.62436999998
04/2019,3713149.62623,309165.98630999995,571242.7162200003,155487.95148000005,254623.00128,426314.7703900002,183839.14159,883521.0131499995,730761.1327899997,559072.44716,194636.17141
05/2019,4239043.97707,317704.8351200002,602358.9117799997,163762.17675999994,1491552.27617,459403.6014499997,168842.15985000003,978186.8377300004,749743.30443,691416.5462700003,198351.83765
06/2019,6047430.253690001,295223.6697699998,598673.4934300003,164968.91058000005,887139.8566800002,440333.4509200002,164950.5126899999,876115.7462799996,745953.5570500004,544403.08457,258868.4935100001
07/2019,3408889.103220001,336056.11026,670677.6475499999,178365.32544000004,219547.51716000028,477968.7001,206481.89763,976740.5423600004,808096.1760599995,562021.70352,262638.2847
08/2019,5831276.703349996,316738.56813,662156.6499699997,185335.7803499999,1575548.1890699994,450821.4753899998,162895.0769799999,943355.0728900004,723866.8223100007,553083.9229899994,272887.96936
09/2019,3261598.1511300057,298966.47200000007,671699.9988000011,166399.0266600002,-134569.1373399999,451729.45709000016,233065.33457000015,930904.7955299998,824325.9682,548190.5924900007,286610.27004999993
10/2019,1873536.6934399975,318962.6161600002,693064.2884199992,183508.81015999988,1180570.3243799992,499121.4735000003,155804.48103999998,978663.9552100004,890621.7772499993,575023.1002499992,278285.4930700001
11/2019,5126832.86626,301036.41072000004,685114.8794800006,173917.25212999992,170924.18277000077,467305.2996999994,158481.77496000007,950921.2298400012,684294.9902599994,521955.6281800009,316435.73303999985
12/2019,3328355.3094500005,308470.39708999963,645092.3915899992,199281.97878,1218023.7452700008,520925.7581600007,205398.0076099997,968728.0432399976,1028874.8542400002,684753.8455799995,382402.3439400005
01/2020,4847661.191219999,308449.7164,804478.72322,191405.37525,1772921.54454,435411.16685,154466.88567000002,947827.43144,911317.1484,551035.09562,329981.48788
02/2020,7514729.75009,284499.86405000003,744291.09188,174322.14647999997,1012153.9520800004,442776.33072,179877.75807999997,893376.18004,899670.8610800001,469630.47766,337807.06657
03/2020,2125046.924200002,354421.31061000004,808506.9588900001,205992.87422000009,2733250.99587,539656.0279099998,307440.2882700001,920408.52001,1177195.75765,690402.66785,455636.3752300001
04/2020,8626570.53952,313990.38097000006,720585.5991400001,175474.99225999997,1506894.39719,417705.53089000005,158324.74787999992,949370.4613799998,612319.79299,548430.21954,273273.8047499999
05/2020,3751940.1892099977,272949.8069999998,678625.2972999997,186559.7661,997331.0246599996,383936.4167500003,185924.26903,1007327.6308900006,809464.1229200005,449634.0536500001,309108.1084100001
06/2020,3800186.49681,262396.2362899999,671801.4329499993,185069.49029999983,893928.0852900008,382923.7705299999,236103.54602,933575.8587499995,945430.0911499998,419710.92123,407451.7450000001
07/2020,3596332.35774,297118.21120000025,749025.4683800004,215464.89288000017,2118466.05676,469366.7933100001,270430.42549000005,991826.7060099998,899388.8610499995,492353.06623,397295.26423999993
08/2020,3693243.3092800006,284063.8329700001,805967.7039099997,207741.60763,1113610.5961999986,409247.83146,326866.4131799999,950213.54674,911594.2714,450244.7716799998,273444.4186
09/2020,4309637.310829997,297011.23292999994,816271.6808400005,219012.0117500001,1321573.3075100016,438687.0700899996,273842.41030000057,959917.6551299988,966862.6492400002,460158.2198200002,406222.0233100001
10/2020,3565591.5694600046,302933.7812000001,818708.5746900002,220169.8401899999,1414099.0993299987,436294.4438500004,222752.98077999963,956187.7304300014,818313.1791400006,545976.0402600002,414176.44493999984
11/2020,3670294.7359500006,300183.3672500001,861927.4995800005,223970.52789000003,1263426.269030001,460532.3383,296603.2182799997,876378.62892,924374.2089399992,439549.2248299997,481419.6331699998
12/2020,3961843.983649999,342918.5137699996,598275.8726699986,236291.60702,984171.0000099988,541991.7269599997,133539.95348000014,1012749.8667200004,1017191.8355899992,569344.25043,585823.7257299996
01/2021,2841694.19327,302957.89813,883030.33546,215295.12145,983688.17319,471076.20152,242058.26455,916141.78082,903042.25006,435704.83537,446447.47565
02/2021,1158114.9649099996,291965.42437,867918.98688,204951.54971,559354.7485199999,436706.7082,228065.7465,897903.03993,858046.7909299999,452396.33447,650697.05211
03/2021,2330612.6164200003,336873.71678,884234.20364,226846.9415,1172019.25661,538541.1052400001,310198.16357999993,1010817.73543,1302239.4024100003,621273.7534599999,883286.7106000001
04/2021,5384199.42336,352987.89848999993,919303.88483,220775.63851,1436326.19424,540145.9802599999,341027.3484600001,1045470.6224100004,929090.6523399996,484158.07162000006,701612.7797299998
05/2021,4309613.56181,324552.26997,938327.58814,218955.96776000003,1153073.9759999998,522664.99217,247363.25373,972203.94655,891441.4373400006,492382.0160900001,734985.4219400003
06/2021,4527926.88861,336176.04835000006,920565.7590000004,268045.63210000005,1243513.2089599995,537475.8300100002,226534.0425100001,1036027.11369,951158.5343999992,590106.9363300004,777748.8222000003
07/2021,6479749.79507,372974.37988000014,968964.6843400002,230536.8877999999,1635904.9431700008,564710.9160500001,284439.71511999983,1095022.65092,1058829.2604600005,554266.1976599996,907671.30487
08/2021,3583291.239220001,373224.49389999965,1005805.4852599996,231263.71509000007,1286684.0071300007,552225.9748600004,288437.00144,1116972.9113600005,1071323.0251199994,563478.3226700001,784413.7338199997
09/2021,4019058.7907500006,363562.96987000015,1071407.7247099995,225933.3858700001,908592.94362,577274.9650599994,262190.9242199999,1069133.1252199998,1021722.2032700012,585631.4124699999,796994.1365499999
10/2021,4356813.772869997,397567.83039000025,1161585.5345300008,232285.06344999975,848848.8370099999,599401.1582700005,280154.3744399999,1119430.679880001,1003587.5264099984,586788.3657399993,902271.4309099996
11/2021,4319835.257960007,387586.3232499999,1165975.15477,237111.0639200001,1992278.7836699989,667781.74957,308218.18729000026,1082716.76915,1286469.2562700007,714538.205430001,915365.7633800012
12/2021,7626631.6306899935,427362.5145100006,1130608.476879999,269112.87030000007,2347150.04727,603745.8040299993,353568.8759600003,1310792.1844599992,1390725.1007899996,673240.4278999995,918207.5482699984
01/2022,3455524.62621,411108.83295,1280100.7070000002,250772.55003,2290680.33188,644077.71896,331276.28637,1221747.27067,1454101.49015,676280.6814,1085955.42292
02/2022,5191726.4488200005,402812.10615000007,1127024.36042,212651.9541,1201292.6475300002,613471.57222,160327.40994000004,1191072.69508,1340236.5002199998,581523.5611900002,725903.57862
03/2022,2384617.8052899987,414807.6303699999,1217345.4994799998,218965.31213999997,2220423.9983,579637.3805200001,267031.52452999994,1079595.85621,1116198.1139600002,756373.1152199998,941090.0764100002
04/2022,911654.1922600009,427982.4091700001,1188692.02362,241067.22482,740011.8528300002,569827.2532800001,304012.9882900001,997523.7301700008,920301.3637400004,726265.0057900003,677917.8634899999
05/2022,7040845.818710001,498296.95949,1297096.4098300005,355698.6400300001,1083881.071179998,698195.43004,406262.0612499998,1426048.0570199993,1226689.1512899995,813090.3496199995,1305414.4160000002
06/2022,6526220.447819997,592077.0169099998,1222939.1846699994,324387.3235500001,1124616.3340600005,787884.3452599999,614893.8611400002,1634053.8668099986,1104753.86546,1173742.1932,1909404.71307
07/2022,8798781.174860004,668586.82626,1386309.6882100012,341583.03642999986,7576531.098830001,781541.9944799994,392046.7164399999,1945578.236440002,1726116.355240001,1582101.4203000003,1478805.4777900008
08/2022,13450067.200889995,628278.7944399999,1046342.946659999,224930.04003999988,4509003.440809999,805298.952130001,365601.5828100001,1842806.41144,807626.2425399981,1097660.8463199995,1028613.938219999
09/2022,1907269.7672500012,646887.1049299999,1094731.6686499994,286830.14575000014,2664515.546,779128.2506099995,405686.7019200004,2016444.0684200004,837977.6274699997,1113068.44288,2016662.86417
10/2022,7632785.921750002,655763.5217400007,1142642.9698799998,334995.84810000006,395006.5189500004,830479.4405100001,355393.8980599996,1891481.1061099991,1712102.861200001,1293093.1101099998,1296180.4467000011
11/2022,8132987.330129996,553524.6984299999,1322629.7235200014,350815.9364100001,1829496.07243,944037.05645,407722.7241700003,2002608.6083500013,915862.01712,1342501.49725,1414486.2038999982
12/2022,7800790.817210004,720067.7487199996,2126807.84402,354721.96428,1840651.3639900011,956539.52685,394623.1873699995,2138297.1888299994,751138.0618299991,1418747.1984900013,1511427.9624300003
01/2023,9720683.24433,682532.26551,1234222.59812,385310.2723,3021442.79706,949299.91624,350195.8614,1890083.92391,1201441.55873,1287118.23236,1448653.70547
02/2023,4597693.53503,658170.8969699999,1059257.81178,280728.91384999995,396548.1556900004,772072.6406099998,284791.47561,1910599.15206,797473.4406000001,1186802.7940500004,1295650.3069000002
03/2023,11320029.71632,719786.3226600001,1245748.8463000003,339401.03359,1977988.38517,901664.46546,400315.09349,1906109.6408099995,856251.3603099999,1345978.8632199997,1442584.1655799998
04/2023,7678164.36084,693211.6036,1155806.8337300003,293682.5219800001,649246.3407899998,805930.7336800001,248955.26572999987,1678406.7634900007,774601.4514899999,1175285.6541099995,1224562.98282
