,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
01/2019,35195957.52935,4341989.30568,6627878.04619,2067880.06107,18642024.53612,5502279.3637,2581736.23953,12161165.88414,5269538.49773,6942519.13733,867809.211510001
02/2019,37768697.85502,4477283.85554,6856932.43697,2076374.24935,18467157.47645,5731333.84819,2589700.66763,12303638.19122,5435996.86052,7150179.46466,937631.646490001
04/2019,29796664.36895,4759815.79915,7297255.21993,2138146.2063,18722148.40965,6114256.42378,2618283.51322,13104675.72566,5715123.20687,4960700.21822,1013745.17958
05/2019,32860638.89941,4066444.02018,7457713.48398,2208006.66939,18824396.52875,6359649.68017,2649955.86347,10051822.97284,5824801.56674,5412195.32517,1047111.29246
06/2019,37904900.38746,4209213.19713,7620513.12622,2250503.04085,18204336.60807,6532163.86429,2664213.57826,10481935.34768,5953709.56969,5656066.62185,1136482.73355
07/2019,40772094.58806,4429547.92992,7913690.3984,2305687.76685,18441701.35828,6735941.43329,2712177.16639,10956376.73827,6175184.75737,5900383.42075,1547788.92405
08/2019,45480521.3953,4609421.98537,8160310.45583,2348736.36275,18656712.92728,7016867.65874,2733027.17088,11295329.65632,6330247.96488,6177286.76377,1607059.67736
10/2019,47985727.10059,4918843.61961,8631129.5295,2471869.35309,18924109.84825,7425197.50958,2781157.05136,11982323.62028,8210764.728759999,6478407.20969,1696651.83279
11/2019,52631221.93489,5090160.93715,8860406.13177,2530830.07731,19159889.19269,7586522.26764,2794789.55102,12468362.44429,8233687.771589999,6729041.2877,1709976.63709
12/2019,54528931.44489,5155865.60017,9067377.21687,2586285.51953,19551906.53346,7774475.4038,2836975.85512,13015807.84703,8519412.77381,6778912.71264,1703060.68388
01/2020,58599803.6005,5348054.3517,9461883.430489998,2644527.30831,20000830.87514,7979908.11161,2889238.81024,13526591.22314,8393171.98547,6968092.427270001,1715916.88627
02/2020,64706236.85727999,5439281.5622,9715785.83499,2662001.2075,20419525.64319,8143854.91067,2857886.54492,13873190.17203,8463894.19228,7103347.62529,1786321.97452
03/2020,60484406.06422,5471819.80217,9522714.04174,2732640.79832,21146203.05946,8200449.74778,2787841.91654,13687684.94526,8645279.57498,7225181.31843,1847688.11692
04/2020,68145658.43602,5536355.81472,7880770.70433,2747764.57086,22330310.77981,8406662.44285,2806978.09138,14147900.89401,8730789.377519999,7330675.55702,1896144.69052
05/2020,48401318.55038,5669428.054300001,8132750.984569999,2806882.98159,23164263.43322,8499435.92794,2867806.5246800003,14709030.66511,8815018.50739,7372393.3717,1918044.46567
06/2020,43016367.62058,5565527.94997,8378116.40638,2869140.5664600004,23126073.58785,8355611.30088,2965219.63819,15139560.93466,8954488.02335,7444024.81165,1980562.90597
07/2020,44434871.61566,5653904.54194,8564370.579599999,2907301.2116,23743241.87051,8674983.9758,2998345.2902200003,15473202.90734,9070176.1309,7563782.092239999,2005522.43963
09/2020,49882368.82897,5841671.6968,9206679.83013,3025104.86726,24240634.66128,9316003.9569,3109390.74008,11892572.91563,9295767.88311,7784243.63317,2390057.31489
10/2020,51925167.04306,5974334.05355,9443310.91346,3073414.41496,24209355.92652,9556601.28208,3134289.36359,12180902.66236,9326839.25562,7954852.17521,2390621.28645
11/2020,53254949.57831,6049488.0566,9582888.36457,3134040.91786,24213381.23071,9800436.27788,3141990.33578,12455846.64807,9414592.42735,8022677.99119,2549698.22951
01/2021,55021993.6456,6189516.25748,10018134.8241,3263524.01572,21999581.49976,9768697.6156,3201033.0786200003,13249325.74638,9880842.25761,8110976.122289999,2764721.1581800003
02/2021,53693953.408300005,5312169.69387,10385875.88383,3352078.75734,22037357.17957,9969602.07426,3259463.57657,13623354.26361,10049351.97157,8246901.54061,3116201.19423
03/2021,54197456.64798,5473307.64043,9420651.89677,3412061.69805,22043650.58546,10235798.21401,3279184.62271,13945472.73444,10620187.52893,8377355.83042,3518437.73639
04/2021,38537428.71885,5610359.03655,9699054.37553,3480459.53147,22177702.69288,10430579.47048,3340926.6793400003,14395697.83024,10686251.18105,8500342.078879999,3801748.65757
05/2021,40792989.69045,5701763.92793,10037766.67035,3531145.88514,22164863.06446,10661831.43306,3363047.02934,12667216.44737,10910728.76573,8547150.94761,4039579.14385
07/2021,48375471.94314,5963171.297900001,10638489.34364,3642308.69009,21485049.16963,9931654.34857,3465434.85197,13538958.63852,11486822.70078,8765752.956770001,4692353.139
08/2021,50327534.78712,6095264.50736,11015917.7447,3733408.00995,21571257.78528,10132807.1297,3526161.1257200004,14001834.640090002,11964124.0248,8930840.8834,4930204.49256
09/2021,53318973.19423,6204397.96253,11378878.69414,3806345.22039,21660022.05341,10429215.41911,3582278.25987,14414841.91054,12085042.72241,9126074.25934,6154604.14795
10/2021,55664015.02277,6380696.46722,11812791.76885,3836011.90836,21547719.75522,10644412.19977,3638068.36672,14822654.7376,12368724.2082,9312873.68009,6467008.15023
11/2021,58377898.1204,6498729.41329,12309619.92306,3885080.56575,22125158.20552,10802602.00512,3655660.046,15117966.09211,12682896.20699,9635384.08593,6726686.55933
01/2022,67192252.81266,6262428.156400001,12945469.16894,4023452.81687,23030928.30279,11294604.51078,3927606.22621,15915692.14055,13496911.79904,9784830.13446,7073500.21767
02/2022,69828749.74488,6329582.94283,13325477.43685,4022152.05163,22299713.77666,11571989.01172,3817222.23777,16032530.58926,13278001.51363,9934584.54143,7094561.33908
05/2022,42800608.12716,6179480.965290001,12634128.38551,3982085.52253,17920356.858319998,10314610.53916,4092013.73401,16029457.250650002,13085941.77529,9894964.74868,6761952.20034
06/2022,71463071.22568001,6148116.98034,12639901.58888,4024941.56171,17407481.76661,10188034.23904,4103843.53781,16123808.55183,10689370.85957,10269508.56686,6925503.81545
07/2022,76281171.59162,6155382.28232,12618813.81362,4134852.8298,21138981.352440003,10405592.81526,4146943.02577,17100153.95257,9552214.88649,10620008.76798,7119660.66883
08/2022,79512500.5423,6146441.49681,12667850.61702,4020934.98696,23920992.0117,10557159.90783,4151383.28624,17367754.12594,8182325.035879999,11244994.72396,7233963.57117
09/2022,52923330.50753,6062463.626730001,12104142.44016,3946668.74158,24114011.7287,11010758.81966,4108831.93998,17890065.72011,8677511.42657,11644134.09273,7476604.36968
10/2022,57419558.27322,6053000.558200001,12135056.56589,4033186.3495,22668204.02051,11246299.9386,4218049.309889999,18004571.2301,8748435.10407,12162213.59336,7830139.10067
11/2022,56404044.853,6107481.78353,12191014.15993,4101561.71679,23218708.33302,11511247.3864,4316030.012150001,18286829.681890003,7869935.57177,12814983.86848,8416647.46828
12/2022,57788818.96773,6082460.26524,11696381.07989,4037937.95656,22164276.35855,11630667.57222,4189500.15744,17055047.57294,6117030.740999999,13104102.69959,9203800.28552
01/2023,63234899.01346,6124135.60048,12189192.58642,4231310.59428,24502994.34694,12257038.930659998,4388710.68436,17770857.59443,6645784.65961,13684387.80856,9504072.61838
02/2023,65048626.08497,6178646.95507,12732098.1345,4320942.47339,24061371.4532,12746106.66796,4520068.02684,18752545.12575,6761870.82515,14312145.26243,9878232.08341
03/2023,74351457.69421,6231972.28969,13359314.34903,4362655.71771,24712542.91538,13105505.43134,4587481.01766,19116178.81888,7292276.69192,14851152.28129,10068883.9216
04/2023,54783206.99476001,6452881.68571,14180766.36199,4570330.85346,24267829.54771,13732512.49193,4772589.88585,19880231.00382,7494092.32336,15420203.48593,10382290.99451
