,AE
01/2019,3223872.38059
02/2019,5165542.647340001
04/2019,4193973.561269999
05/2019,4104757.0685099997
06/2019,4067641.5033600004
07/2019,4033738.79725
08/2019,4127421.406310002
10/2019,4466631.58192
11/2019,4716635.1916499995
12/2019,7302651.159680001
01/2020,4205837.51343
02/2020,4760147.96973
03/2020,5166610.196520002
04/2020,4859780.025820001
05/2020,4633368.65672
06/2020,5138397.105190001
07/2020,4844245.9228300005
09/2020,5196296.684499999
10/2020,5535665.0171300005
11/2020,5407033.137019999
01/2021,4524159.27645
02/2021,5077668.51657
03/2021,5503427.61751
04/2021,5507931.021510001
05/2021,5478461.79275
07/2021,5440592.79052
08/2021,5269232.86589
09/2021,5790353.353049996
10/2021,5922684.272170005
11/2021,6134383.952149998
01/2022,5382068.61371
02/2022,6150285.424179999
05/2022,5228826.65316
06/2022,6225638.602180001
07/2022,5467706.12744
08/2022,5617577.38165
09/2022,6954601.098809999
10/2022,6711312.27772
11/2022,6533788.780080001
12/2022,10178650.891660001
01/2023,5840073.683870001
02/2023,6570995.42449
03/2023,7567201.737140001
04/2023,7300334.684270002
05/2023,7075655.737419997
06/2023,7490561.660820001
07/2023,6977332.86143
08/2023,7067769.284210004
10/2023,7520655.515480001
01/2024,7022713.75502
02/2024,7549679.580020001
