,NII
01/2019,5042720.3893599985
02/2019,5626386.791190001
04/2019,4558486.880710001
05/2019,4709387.38068
06/2019,4493508.60417
07/2019,4695160.62775
08/2019,4539347.76001
10/2019,4795774.473939998
11/2019,4786431.993939999
12/2019,4774725.982080003
01/2020,5242733.52166
02/2020,5005924.665039999
03/2020,5177344.540899999
04/2020,5177691.74105
05/2020,5194004.341659999
06/2020,5076998.277629999
07/2020,5430176.333880001
09/2020,5184920.346650002
10/2020,5573965.138560002
11/2020,5630934.27534
01/2021,6358644.44018
02/2021,5912530.742680001
03/2021,6590067.5743
04/2021,6673270.37415
05/2021,7015372.753930001
07/2021,7437945.86649
08/2021,7380414.046969999
09/2021,7528685.774830001
10/2021,7784726.5300900005
11/2021,7997234.65921
01/2022,8802008.09893
02/2022,7952627.918579999
05/2022,8404742.624920001
06/2022,9263631.2548
07/2022,10153819.99167
08/2022,10119701.910479996
09/2022,11455694.189130008
10/2022,11718013.386689994
11/2022,12304999.617540002
12/2022,12887158.66324
01/2023,13218589.28338
02/2023,11401063.839119997
03/2023,12605014.171310002
04/2023,12136263.365610002
05/2023,12703436.473729998
06/2023,12562569.67281
07/2023,14071677.493190002
08/2023,14086109.128409997
10/2023,13904561.87491001
01/2024,14945563.74535
02/2024,13871954.877999999
