,NPL
01/2019,315311466.57975
02/2019,310592075.18735003
04/2019,312366556.75596
05/2019,311355686.74117005
06/2019,309038839.50832
07/2019,305507338.59133995
08/2019,303473541.42078006
10/2019,304714435.96461
11/2019,299722395.12994
12/2019,293898700.63172007
01/2020,299133553.31659
02/2020,297257522.07757
03/2020,312903945.67144
04/2020,307367668.60833997
05/2020,308168424.59257996
06/2020,283285047.40088
07/2020,287702984.25135
09/2020,274794699.12830997
10/2020,247794366.17154
11/2020,225569691.18547
01/2021,210754884.93958002
02/2021,208285167.31761998
03/2021,205085041.90815997
04/2021,205480732.48992002
05/2021,203762180.51962
07/2021,201445047.70778003
08/2021,199363025.30804998
09/2021,187213567.05515003
10/2021,187007489.13846
11/2021,187453122.53119
01/2022,187168417.69789
02/2022,187865809.44080997
05/2022,195631274.71078998
06/2022,205257277.98819
07/2022,215269039.39737
08/2022,217517634.55125
09/2022,223466964.6302
10/2022,230902177.84996
11/2022,232681163.44523
12/2022,237228753.77998003
01/2023,237722769.29933
02/2023,236571223.4274
03/2023,238132757.61929998
04/2023,238821562.54207
05/2023,237869349.74079
06/2023,237201566.52564996
07/2023,241959987.45864
08/2023,243028020.54373997
10/2023,240785536.31051996
01/2024,242590109.4698
02/2024,242622894.12866
