,NIA
01/2019,0.008469531231255713
02/2019,0.011313485857017814
04/2019,0.007329586696428824
05/2019,0.007314024304309086
06/2019,0.008531312784022292
07/2019,0.017189522172600773
08/2019,0.014349218182202618
10/2019,0.01473931624381932
11/2019,0.04855797985393967
12/2019,0.03122657704752849
01/2020,0.009635172551532779
02/2020,0.008966969242368185
03/2020,0.027623424986222056
04/2020,0.007757309779747201
05/2020,0.009787013028838458
06/2020,0.015637717450449274
07/2020,0.010134731878766866
09/2020,0.013100164244718058
10/2020,0.01176731308527271
11/2020,0.009697148754344995
01/2021,0.014063537538788742
02/2021,0.03887617921443425
03/2021,0.05582544948828333
04/2021,0.017317410025470464
05/2021,0.01278739959452714
07/2021,0.01891283894820226
08/2021,0.010575926905404778
09/2021,0.01583912779796811
10/2021,0.012068677113055816
11/2021,0.025449860469083412
01/2022,0.009601121444170926
02/2022,0.007574925332871944
05/2022,0.003180979797110098
06/2022,0.013716579751009055
07/2022,0.004554415638141758
08/2022,0.0035176180234760377
09/2022,0.04726699617388439
10/2022,0.004342516300798569
11/2022,0.017430133130127253
12/2022,0.015187538754119538
01/2023,0.004220077378868541
02/2023,0.007543918591222746
03/2023,0.014353681544349623
04/2023,0.006883344222871817
05/2023,0.029329214856333826
06/2023,0.00829637997975601
07/2023,0.005426639384657273
08/2023,0.005341042163365583
10/2023,0.00794376320628362
01/2024,0.007474219294953156
02/2024,0.00995673136912256
