,CDR
12/2018,
01/2019,
02/2019,
03/2019,
04/2019,
05/2019,
06/2019,-0.00775491387567407
07/2019,-0.016227484547067836
08/2019,0.039909530980405075
09/2019,0.1113064939547304
10/2019,0.10461980980749733
11/2019,0.20275242298232168
12/2019,0.21063617533176762
01/2020,-0.08906335107839133
02/2020,-0.270712522205437
03/2020,0.06150290205825496
04/2020,0.021482235144040497
05/2020,-0.1598191059189856
06/2020,-0.08228138463946166
07/2020,-0.05199699559935027
08/2020,-0.06462255671388749
09/2020,-0.10609299118670452
10/2020,-0.05379160319895934
11/2020,-0.027578571889629727
12/2020,-0.025209168429525003
01/2021,-0.03821937213509827
02/2021,-0.15367612604308464
03/2021,-0.25709016637087306
04/2021,-0.08563960340053664
05/2021,-0.01911277680579134
06/2021,0.04577471742049787
07/2021,0.027272841007813756
08/2021,0.11325379069484666
09/2021,-0.04541465606695279
10/2021,0.01629935970860455
11/2021,0.03320864139880378
12/2021,-0.04361910569624536
01/2022,0.17501347080791455
02/2022,0.6590623238128229
03/2022,0.37574188841781037
04/2022,0.2021976643623611
05/2022,0.3063036931070317
06/2022,0.1513206198250483
07/2022,0.10037535113494762
08/2022,0.033967949171921044
09/2022,0.0393599983783615
10/2022,-0.067968721237708
11/2022,-0.2092236474120612
12/2022,-0.14264905612656273
01/2023,-0.04857190251499041
02/2023,-0.23551483048486674
03/2023,-0.18099577902575767
04/2023,-0.13888145102643043
05/2023,-0.1282129653028202
06/2023,-0.1081104823811172
07/2023,-0.06047515564705001
08/2023,-0.12356015778399208
09/2023,
10/2023,
11/2023,
12/2023,
01/2024,
02/2024,
