,SIZE
12/2018,
01/2019,
02/2019,
03/2019,
04/2019,
05/2019,
06/2019,6.758852828169251
07/2019,-0.14573242919194626
08/2019,-0.12054715271400482
09/2019,-0.18331005568355463
10/2019,0.1860732619290687
11/2019,0.040844980028788336
12/2019,0.0389241911716397
01/2020,0.1725503159970302
02/2020,0.25516608916884
03/2020,0.5290763343790715
04/2020,0.13089737023219217
05/2020,0.21835950849279728
06/2020,-1.4931632639867474
07/2020,0.24589700035242004
08/2020,0.28148067020052847
09/2020,0.49990972117564925
10/2020,0.34868066952299304
11/2020,0.20333731104431652
12/2020,0.18368723432899403
01/2021,0.16543430271662063
02/2021,0.0376601171661136
03/2021,-0.044265521824100054
04/2021,0.07859555819206465
05/2021,0.11933700017425652
06/2021,-1.4839855247666833
07/2021,0.03955323232847832
08/2021,-0.019158696550357485
09/2021,0.18377980431859842
10/2021,0.08870346552038344
11/2021,0.31038776138805135
12/2021,0.42834311107309875
01/2022,0.5196744292261727
02/2022,0.46699983592604755
03/2022,0.10398719978202707
04/2022,0.04518975851681406
05/2022,-0.11795806371821838
06/2022,-2.0721180221269604
07/2022,0.11054600690835628
08/2022,0.05458607651761441
09/2022,-0.026629303861815834
10/2022,-0.14970723102356798
11/2022,-0.080819886512279
12/2022,-0.17720437062485528
01/2023,-0.3839088819909463
02/2023,-0.28607587631212394
03/2023,-0.11504784638812139
04/2023,0.21906747900780632
05/2023,0.25401172100004177
06/2023,-1.117398309852763
07/2023,0.341923897038788
08/2023,0.3958268099823158
09/2023,
10/2023,
11/2023,
12/2023,
01/2024,
02/2024,
