,OE
01/2019,
02/2019,0.19895117879633184
03/2019,-0.12994067597109427
04/2019,0.14409689529852776
05/2019,-0.03297689914775326
06/2019,0.020314411779964514
07/2019,-0.03645551399003055
08/2019,0.03318376778218979
09/2019,0.012268951924822247
10/2019,0.03782955785359854
11/2019,-0.018778073135314433
12/2019,0.39832968787186096
01/2020,-0.33339926803921527
02/2020,0.03568783308769574
03/2020,0.07414811475363425
04/2020,-0.11494972724603036
05/2020,-0.01588071274026759
06/2020,0.038649361095682844
07/2020,-0.0004149650694132978
08/2020,-0.1548359342627661
09/2020,0.143402438031079
10/2020,-0.00044294544960599147
11/2020,0.0151786809627672
12/2020,0.26979873965013756
01/2021,-0.35662722525362944
02/2021,0.04999026493341141
03/2021,0.09675165015083675
04/2021,-0.012524621847571638
05/2021,-0.0076025833635947615
06/2021,0.061869478980225656
07/2021,-0.08662409717251218
08/2021,-0.005071295551277055
09/2021,0.09293945650776347
10/2021,-0.04910202913103623
11/2021,0.06313789839628159
12/2021,0.412996912286689
01/2022,-0.39685201117921043
02/2022,0.0900077859568873
03/2022,0.17789518806962779
04/2022,-0.30326729779754336
05/2022,-0.0476757812691222
06/2022,0.09427692574963542
07/2022,0.020094140145840766
08/2022,-0.08490132091951297
09/2022,0.3191125918028077
10/2022,-0.13301359532784485
11/2022,-0.01924837801750756
12/2022,0.438008472337329
01/2023,-0.36778018391876977
02/2023,0.09205081953911165
03/2023,0.0852105205324094
04/2023,-0.07117688940146127
05/2023,-0.001674351641177907
06/2023,0.004982231440864515
07/2023,-0.05147247531258148
08/2023,-0.029017426545694947
09/2023,-0.23457027210274184
10/2023,0.4165383570258232
11/2023,-0.03401305797570631
12/2023,0.44364239175348796
01/2024,-0.42081187518848817
02/2024,0.09054298994735288
