,ROA
01/2019,
02/2019,-0.010427700551489893
03/2019,0.012929835705288495
04/2019,-0.018623090733766334
05/2019,0.08558919246378749
06/2019,0.0040203240562788345
07/2019,-0.022149292192102488
08/2019,0.04947279111327485
09/2019,-0.07735148824451521
10/2019,0.02723560257177149
11/2019,-0.058150419132551256
12/2019,0.1375544513939142
01/2020,-0.07439361960842328
02/2020,-0.023718944383210316
03/2020,0.16370846354648494
04/2020,-0.20936418609361662
05/2020,-0.07001844184525452
06/2020,0.043373181908756164
07/2020,0.09781499108884306
08/2020,-0.12436273649856933
09/2020,0.06660113107968413
10/2020,-0.05233307171992885
11/2020,0.034769115199972056
12/2020,-0.0029222372562176524
01/2021,-0.11891353247085112
02/2021,-0.032112384479706435
03/2021,0.2920434920131265
04/2021,-0.02856880340945267
05/2021,-0.07778688882281859
06/2021,0.05141139159086028
07/2021,0.09760545622055994
08/2021,-0.10840660619821751
09/2021,-0.0103174739374845
10/2021,0.019039956460676466
11/2021,0.10283161279548247
12/2021,0.0834884677151082
01/2022,-0.0814995325054303
02/2022,-0.16305966572572228
03/2022,0.05973460750652371
04/2022,-0.1490153366465483
05/2022,0.46394587344849403
06/2022,0.17223844297073376
07/2022,0.24225739577292815
08/2022,-0.264671195460502
09/2022,-0.04906669185733137
10/2022,-0.011145710653614915
11/2022,0.006386037613426598
12/2022,0.04916126874724536
01/2023,-0.04751747624349667
02/2023,-0.25291536905773127
03/2023,0.26900195530057647
04/2023,-0.20538185697201572
05/2023,0.04995020028929775
06/2023,0.15248958046915018
07/2023,0.25119392365800897
08/2023,-0.23277771936875435
09/2023,-0.08423378598061071
10/2023,0.11970711295134873
11/2023,-0.0950812327675965
12/2023,-0.015447565868737856
01/2024,0.04720800949891757
02/2024,-0.12277266263037512
