,SIZE
12/2018,-125.60766266533173
01/2019,42.51722129474575
02/2019,25.46318337747209
03/2019,23.479909655054797
04/2019,13.356381073470999
05/2019,1.066553593508928
06/2019,-5.447475723741803
07/2019,-8.928385860533353
08/2019,-7.214190438022513
09/2019,0.9047809463351939
10/2019,4.24399166824287
11/2019,1.67663246972009
12/2019,1.1394487863128688
01/2020,-0.6294314271336532
02/2020,-1.2797395603171822
03/2020,0.3180299726271585
04/2020,0.13183040257493417
05/2020,-0.07306343582644104
06/2020,-0.12366062836863989
07/2020,0.1387855653063923
08/2020,0.009777474211205117
09/2020,0.07306627325721138
10/2020,-0.08767549210335801
11/2020,-0.18123594284813294
12/2020,0.174986848494882
01/2021,0.1545702059963503
02/2021,-0.05628701151638893
03/2021,-0.11635439355958965
04/2021,-0.007368833273119435
05/2021,0.005270140597161799
06/2021,0.01682684457449568
07/2021,0.08229629276334549
08/2021,-0.09553762349301564
09/2021,-0.016231468044111352
10/2021,-0.15261702638747465
11/2021,-0.005232732780797278
12/2021,0.29982558733919973
01/2022,0.16644519114751688
02/2022,-0.005659111430759367
03/2022,-0.2239295194030433
04/2022,-0.1223318454260891
05/2022,-0.03432925341985538
06/2022,-0.2584983104354137
07/2022,0.4016178928377201
08/2022,0.17457414701596008
09/2022,-0.08741574215068226
10/2022,-0.20232333610863407
11/2022,-0.047597832267086915
12/2022,0.23237270092459994
01/2023,-0.03170732581921243
02/2023,-0.10141629321887535
03/2023,-0.019163768969150397
04/2023,0.13644540546513895
05/2023,-0.09493098522810328
06/2023,0.019669454615552695
07/2023,0.028408107579650732
08/2023,0.006775973477346042
09/2023,-0.11818450439261596
10/2023,-0.018454086769310152
11/2023,-0.10312976343342939
12/2023,0.3290821637692716
01/2024,0.023043167101832296
02/2024,-0.006054385360243941
