,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
01/2019,,,,,,,,,,,
02/2019,,,,,,,,,,,
03/2019,,,,,,,,,,,
04/2019,,,,,,,,,,,
05/2019,,,,,,,,,,,
06/2019,,,,,,,,,,,
07/2019,-0.0020295791528170404,-0.0003815591183367787,-5.120918921020835e-05,-0.0003120497088769038,-0.007604495792040937,-3.844244516035093e-05,0.0002476172179876494,-0.0004355390774597698,-0.005959899611164423,-0.0015801153635384094,-0.0005132284758116441
08/2019,0.0012220444118725702,-2.869247917196261e-05,0.0004034507631750254,0.0009921129773619334,0.0001886818685473252,-0.0002308936236374161,-0.0009900075745534961,-9.010675900862836e-06,0.0009671829877218421,2.5671089416462033e-05,0.0025222399622388592
09/2019,0.0003403692266242507,-0.00045015515185937765,3.3977402414436683e-05,-1.2367921702979888e-05,-0.0026686306452356843,-0.00013019927371035116,0.00106648412635831,-0.0001429540905055791,0.001382958412164432,-0.0001533068053588809,-0.0011999829897847473
10/2019,-0.0036087770797715874,0.00015708463930697448,0.0005759937107294306,-1.0247958127708776e-05,0.0025001500898662234,0.0005351247720836489,-0.0006432383630054714,0.0005504215128223632,0.000503523744404218,-0.00024922496928612937,0.0004454950221622851
11/2019,0.0005287982391863244,0.0001947184928969421,-0.00012339246490617064,-0.0004346380491216798,-0.0027328970068528245,-0.0005871513987762446,-0.0017637010153858856,0.0004368757172112241,-0.002397463446837218,-0.0008133337363151894,0.0011686947459279748
12/2019,-0.003263097527569349,-0.00020198593215788724,-0.0010971132746441787,0.0003847045060446522,0.00025378999175252,0.0006223320360477225,0.0012444154342694037,-0.000399666691473232,0.0006250281811013164,0.0013584609153158385,0.0021715309396130515
01/2020,0.0008383962298006053,0.0006486000767339171,0.0010065436431838585,0.00010953865535561696,0.0004068884718136244,-0.00047467690230627206,-0.0004962210187978398,-0.00010978792062735709,-0.0002787438087295402,0.0007505983063092845,0.0006315624756895472
02/2020,0.006287944800422856,0.0002968021639405588,0.0011816200169346897,0.0005971555515890338,0.002004512032995949,0.00031221341807057836,0.0010235361803482192,0.00017674477658334478,0.0012319658681401713,0.00023025771597777662,0.0014767061199451289
