,pivdennyi bank,fuib,ukrsibbank,credit agricole bank,universal bank,otp bank,raiffeisen bank,cb privatbank,oschadbank,kredobank,sense bank
01/2019,,,,,,,,,,,
02/2019,,,,,,,,,,,
03/2019,,,,,,,,,,,
04/2019,,,,,,,,,,,
05/2019,,,,,,,,,,,
06/2019,,,,,,,,,,,
07/2019,-0.013990560133155402,-0.01665537020121527,0.001933415304387176,0.007662127452240389,0.019774601918057216,-0.0058979532556864694,-0.002919579784360138,-0.0004128048227823866,0.01805299964354501,0.005595485374182724,0.0170587910660715
08/2019,-0.015873867201720883,-0.00772245036648081,0.006376621264577123,-0.003369160092045409,0.017970147542290094,0.002335523101778786,-0.003990951703147408,-0.00020391966918054116,-0.0014517766638277863,0.0030067196007228097,0.007033939285941204
09/2019,-0.018616236752444157,-0.009547481808690417,0.016338581514408188,-0.009082958724090873,0.006084629969617811,0.012361838291354413,0.003567479909064586,0.00019432127180007974,-0.011852373085981083,-0.001002611950158716,-0.10680683043192779
10/2019,0.0038375147860329056,0.004511411388401915,0.019340912373973944,-0.008984584422400202,-0.0036897861784011138,-0.0015480086192388859,0.00806792778559122,7.549240950976976e-05,-0.007502219522546483,0.0019324215437384051,0.054326195803267585
11/2019,0.010531886341066332,0.0015400820550338368,0.022099483686507146,-0.010367700459498704,-0.0005844178836935388,-0.004785152251551059,0.006363060335689619,-0.0018403703840008667,-0.006852786011909084,0.001026413516068428,0.00892360615505991
12/2019,0.013828200178968797,-0.020380875836925855,-0.023852583714353684,-0.003657951404583387,-0.010159463687040127,-0.013888744852135287,0.0013261995045690533,-0.001695080754674172,-0.010783332177855764,-0.00041406336446367376,-0.0017123462584815452
01/2020,0.014327036429761561,-0.01579958351862709,-0.018928406348173554,-0.0014128226417646078,-0.007609756959193872,-0.0061103054347698416,-0.002479934153643018,0.0008721488028742286,0.005187180615916387,0.0033341493239227027,0.009753810244116035
02/2020,0.008122963329096525,-0.014424742344514074,-0.014616380028832386,-0.00017106550803624998,-0.006914835305562986,-0.00831448165505308,-0.0007428148290154063,-0.0006958944961569236,0.011595363848928675,0.008837769489735428,0.0008417871958448786
