,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
12/2018,,,,,,,,,,,
01/2019,,,,,,,,,,,
02/2019,,,,,,,,,,,
03/2019,,,,,,,,,,,
04/2019,,,,,,,,,,,
05/2019,,,,,,,,,,,
06/2019,-0.004424181390577042,-0.025855867620943093,-0.011991432518603823,0.003303214015818845,-0.028233214436294785,-0.020623522150939266,-0.031578373791294134,-0.04131030463197792,-0.033544649784740324,0.018213677618150084,-0.009830471861336815
07/2019,-0.005979449225460398,-0.013165445875354814,-0.009954791218548892,-0.011633335222406588,0.004099144801986476,-0.027560388237879624,-0.03512754246582106,0.019368777565094558,-0.006387937565903626,-0.034305100833906144,-0.022420750187868432
08/2019,-0.010988323495740582,-0.029483916880031727,-0.05960193334418122,-0.016487268561309193,-0.007532615540379539,-0.05921174959801741,-0.07578499984465772,-0.0398453256451069,-0.03539172392036102,-0.04381578132503586,-0.05731186790636694
09/2019,-0.0044034072596945695,-0.005687263814376384,0.0006265442267174293,-0.015281875054861171,0.01329681577071029,-0.02484084010337337,-0.049787099556505524,0.01076627801999469,-0.01044797572520989,0.004901080909241712,0.009860091837819746
10/2019,-0.011578630448917993,-0.01365558521492942,-0.016460221121193497,0.004200456207643255,0.010955777658408272,-0.006705187310973859,-0.03483799094169125,-0.00029425723865666997,-0.018413079330780638,0.0018597557264400238,-0.006485803115892974
11/2019,-0.017086934096071704,-0.037138467308670986,-0.0037505039052079248,-0.02143220116621697,-0.00032255626742117016,-0.03014398310402233,0.011832350976472339,-0.006239705264309808,-9.078222496070043e-05,-0.0320769610999264,0.030288959575641705
12/2019,-0.00047825393512029857,-0.024299530345476036,0.012715561826741523,0.006322669689178051,0.005258806423088791,0.05249401901754713,0.12566751043389646,-0.017743634707146877,0.04168790525161256,0.07497582394481958,0.032612871039017666
01/2020,-0.0062854876296185025,0.08334179352020743,0.019386185391293526,-0.00929063394676824,-0.034900429883203854,0.07423467694991037,0.11931575415863369,0.04720034778100668,0.04808229395700739,0.02959736578686667,0.023967967570742793
02/2020,0.0011756513268129654,0.09110407692850309,0.023813123769872935,-0.0018737250711619025,-0.021543736319518947,0.11278503228236658,0.08538667081970108,0.029209304597195812,0.03432021833089721,0.03793959599769617,-0.0025732109162708294
03/2020,-0.0007407500413232349,-0.03226842362961446,-0.03223977461687419,-0.0059464673379445165,-0.032594891455719865,-0.009878108790604773,-0.08890639105057402,-0.03341021817394588,-0.01624626333675508,-0.060679748925551946,-0.0040566175943472504
04/2020,0.016817209828362933,-0.0029899475698157985,-0.014138471851012357,-0.006668391424696579,-0.02015505937304779,-0.0170899534512923,-0.042230430316986284,-0.005294820144314233,-0.033077322888252686,-0.021699591549984534,0.0038401939588651457
05/2020,0.015381798217634524,0.03971508189614073,0.01085486044811887,0.026053347826728718,-0.015443104191578128,-0.02018123114804865,-0.02237499036977675,0.01933012905466308,-0.003483971848777828,0.011186905676475095,-0.010526864789462437
06/2020,-0.011113886465529965,0.02714554944049058,0.023262936353020958,-0.004060360944363434,0.026382095675604733,-0.005172071448759918,-0.03578633988734847,0.03624734768895144,0.014267236738758182,0.010402734457267415,-0.024752308941356993
07/2020,-0.02304547311408056,-0.028193315455515428,0.03360321906801586,-0.014195144435819596,0.027340392178122452,0.0009120150961301754,0.012566952279157356,-0.0012122631022797592,0.0020121138577192665,0.003099773498974834,-0.03378352573491758
08/2020,-0.02939997831577995,-0.019893222079937933,-0.018586323943484362,-0.01830313319175042,-0.010780219810678504,-0.0039495999995889375,-0.04081132628826947,-0.010108581836361069,-0.016386638282958305,0.011825538326343005,-0.039368785525231875
09/2020,-0.025903869150816106,-0.026788847880076766,-0.0091656334342409,-0.02007669247488389,0.010497334155925186,-0.0016073909778475115,-0.019902501761981717,0.004561264865006437,-0.02450510694559299,0.00826271261609643,-0.036158224567776454
10/2020,-0.0009808667686593275,0.002755695227164734,0.0028063379426494783,-0.029849157253415803,-0.009282374205281052,-0.004618474227376379,-0.017614479682579787,-0.035033925482558126,-0.024444928834625096,-0.00984277443644696,-0.03689667336987165
11/2020,0.011445565265915003,-0.010288066738108337,-0.014166395511722829,-0.007338177903648574,-0.012336500996588451,-0.028931301780428492,-0.05039399593669025,-0.05065895191580477,-0.032214109166141924,-0.013685968995434145,-0.047504505447213546
12/2020,0.04594756688485363,-0.014902981206329657,0.04341729000948666,0.06056674676128296,0.0389245284211886,0.013560897719953585,0.10294478520450767,0.037190220171806065,0.006800334821392473,0.03549359820819645,0.06101731145546599
01/2021,0.026933525933143465,0.015656003621817155,0.0022070710484043687,0.034274261449264404,0.0222997230783048,0.00033301416698794384,0.04776031589106555,0.02810037255827122,0.010870746074309712,-0.008143130286823008,0.06786343072258169
02/2021,0.019250753118703667,0.006982351005556414,-0.003994157067973875,0.028546985587215107,-0.006752595110791737,0.026516544581182966,0.028849058601648547,0.02539651245037447,0.0069008822796841895,-0.01535943739342524,0.04400796400606899
03/2021,0.013927051497799825,0.03172961203302532,0.025877666665090587,0.029053038941757398,0.0011517419384501904,0.03659474527137513,0.010871308225930215,0.025102144535611798,0.026042031743010896,-0.013934211295140247,0.031950044783859544
04/2021,0.009798745915166829,-0.0059921709986952565,0.008238442448690403,-0.0052163970134057325,0.015958093299817122,0.018745176563798926,0.0250019311637405,0.019277696555751123,0.018786893051260162,-0.017345985605249997,0.02752714323270783
05/2021,-0.00039011632845359356,0.04885678236045282,-0.023049081397342408,-0.008788307736221579,-0.0031129356140499054,0.011848171401467877,0.00013381434246909074,0.015973005892804093,0.03103505662714262,-0.0038646341015245445,-0.02352598267426076
06/2021,-0.011395496666328941,0.011528021519140258,-0.01222043025643127,-0.015533446822491886,-0.011805215178771589,-0.03326216827127065,-0.0016726491462528692,0.006502511592073462,0.03938346977280918,0.027146263919065577,-0.013228426938987403
07/2021,-0.011006060051379718,0.007937143631996657,0.012213724353523053,-0.023334308264044423,-0.011774112848180474,-0.03629635575958007,-0.021826450870428366,0.007772032188807454,0.011472920247418361,0.01830679912243563,0.012039171599050602
08/2021,-0.020155622484391122,-0.04410573551826978,-0.04467322151410158,-0.03580859315033669,-0.019633412376416748,-0.03897245921946001,-0.04115128306395585,-0.017652750213867113,-0.011673297485966738,0.001352957873606564,0.004304899727260225
09/2021,-0.005942184761923486,-0.03945011428061579,-0.012165972554100651,-0.016134910471372166,0.02171082161958493,-0.006884137263579476,-0.06150701781759085,-0.013710352811599685,-0.004221840754428968,0.004685694469169915,0.01850462210249998
10/2021,0.00112335298307209,-0.005084374331138675,-0.0016913261069429475,-0.0078119346174565785,-0.00416835876710564,-0.017075371256531774,-0.050479233756886704,-0.005318360164445368,-0.011410682983079012,0.00034788835959026487,-0.003134235949296571
11/2021,-0.0040197785863200775,-0.01880047891164688,0.005883399929311445,0.0013169682773376268,-0.013585639306121944,0.003686934746127385,-0.014773936126470849,-0.05163326626910672,-0.00926234491753325,-0.02700745745627911,-0.031072258526117336
12/2021,0.029527383448531508,-0.009316506466677837,0.06978723701529102,0.12181570194198355,0.03361866136307712,0.03619814281700312,0.16439855297074263,-0.013213476154913667,0.014953040789323219,-0.01202017625500057,0.027789150492342263
01/2022,0.007470518166165618,-0.011507564477501453,0.02910094280765474,0.06972492209331718,-0.008624335990612297,-0.02361016923654133,0.10890350235088125,-0.034512427795966555,0.020238699721772196,-0.045070429642248,-0.047371468187020815
02/2022,-0.01996640732769478,-0.10177060344002939,-0.0521334416446711,-0.016947446518849413,0.0005304031356492822,-0.023714151653850518,-0.0027826880130707166,-0.011633591814996819,-0.06380608766537091,-0.11515359657423001,-0.1443701060356817
03/2022,-0.015271540865990973,0.015759602141342616,-0.024768919546052565,0.010142554598523257,0.02843245656585003,0.019235373446821497,-0.0008047530367026323,0.00771246430122044,0.006865086324508357,0.02162692444264619,0.018413854310664113
04/2022,-0.011621090147668822,0.027088422396642137,0.015679110552791115,-0.059112798287093565,0.024189260462850748,0.013669927958859823,-0.006189555249134726,0.011557529340096018,0.010159363828879775,0.029669528956160984,0.045026550622877914
05/2022,-0.004775398980169709,0.037363590068735464,-0.00027687470993126295,-0.06594415810470033,0.013662223978786026,-0.01906607761282214,-0.046677421388685636,0.017489800659948374,0.009785198831325864,0.01691556071539224,0.0724424893566456
06/2022,-0.0068442610623966615,0.004471202026786469,0.001879558082614724,-0.04076188870387917,0.0017172778696752933,-0.008548330257308334,-0.05480546670940428,0.003391266731586906,0.016372963496637305,0.02679727654731967,0.031164558029600054
07/2022,0.002177463995286344,-0.023820517932018198,-0.012350668108868867,-0.008581135705252152,-0.022998476166772308,-0.03188942082902299,-0.0595161633659802,-0.00095346562545226,0.017546768765242735,0.008857214614975628,0.0389296235760484
08/2022,-0.0074403239079526284,-0.015160197971282818,-0.03299799916878135,-0.00024198605904829362,-0.041952251904061766,-0.026363251597669557,-0.07954132090819444,-0.0048442080642739915,0.008992381868189181,-0.0004475378722365031,0.0120397566195114
09/2022,0.00890232071696112,-0.00172875575008824,-0.02237110882585569,0.0034890185040812316,-0.010735142808413145,-0.0059884766867426276,-0.05341028001652051,0.018982145337440165,-0.02011766440665831,0.012010016191280004,-0.008244784082765744
10/2022,0.027736204332109216,0.024185175816050952,-0.020730111685264785,0.03863268367917477,-0.0037296880852337733,0.016312210581230335,-0.03463559848036357,0.016166690407677375,-0.04406808598672374,0.031863314888084304,-0.01045447050387277
11/2022,0.01292382425979699,0.0377503557533681,0.024514530437224735,-0.049714500968454645,0.02244079002706023,0.018001201879417894,0.028811116405754067,0.008251445946601627,-0.05734800142057633,0.039955694728596336,0.003330695220824964
12/2022,0.03530816560976591,0.035274733943392866,0.0474477360476194,-0.06065696092183684,0.02735261469048844,0.0340816705115099,0.12843258562434035,-0.0024700563781513973,-0.00501371806090696,0.0588323669944355,0.033601355763715146
