,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
01/2019,,,,,,,,,,,
02/2019,,,,,,,,,,,
03/2019,,,,,,,,,,,
04/2019,,,,,,,,,,,
05/2019,,,,,,,,,,,
06/2019,,,,,,,,,,,
07/2019,1.5981339166704252e-05,-0.0005947432768812497,0.0007569635678264719,0.0001996069845080833,-3.1692909392790937e-06,9.817109798138796e-05,0.0001622554944485208,-0.00017903440814981235,-2.8594438407271265e-05,-0.00011228081226153774,0.00022048164234558017
08/2019,3.731697456637109e-05,-0.0005422780901933001,-3.030953529836039e-06,0.0003435503649642825,-0.00014060407342704993,-0.0004007259481249737,-8.104963341088725e-05,0.00014067467484769284,-9.015352129739928e-05,4.526546784394247e-05,0.00045445739954862174
09/2019,-0.00013298198688387877,-0.0003269220071784413,-0.0004176555286855314,-3.682521949584759e-06,0.0002542146066803542,-0.00028749491999363955,-0.00013725694453740759,-8.627447873504977e-05,0.0002149954906509495,0.0002460466556621927,0.0004532625832579986
10/2019,-2.7207186388725213e-05,0.0001878719749300378,0.0004932673838798224,-4.8316356621924336e-05,9.99062291847791e-05,0.00046499970756366023,-0.0003761044984850661,0.0004029169016489132,0.0005565128813957805,-4.4250491095042255e-05,0.0008399389180778014
11/2019,-5.245697258908673e-06,-9.010342701118706e-05,0.00021280496669305593,-5.637039937644948e-05,-4.85133735019501e-05,7.959273203202513e-05,-0.00043905703591193713,8.999880411453016e-05,-0.0005226706466044916,-4.0688397997228586e-05,0.0005690451403456056
12/2019,1.932848721535388e-05,0.0029431013915880667,-0.0015364963255893368,0.00032073324939050143,-8.335223801507496e-05,0.0007255591335429586,0.0003975207560808088,0.000523325938650984,-0.0018649819728738834,0.0002277198828437091,0.00043280615610659726
01/2020,0.0001520760190857214,0.0007257129415960753,0.0011231407682579589,0.0001629757103934126,-3.946678744859997e-05,0.00010413933862822491,-0.0002788097728672785,-0.00017367656903113232,0.0003489531658011002,0.0004546537819928552,0.0009360590303995504
02/2020,-0.00016332824844219988,-0.00013690066775603766,0.0004780750421525086,-0.0002879781676958827,-0.0005299062321043292,-0.00013827201471196694,-0.00023273995381132943,-9.677002156317869e-05,0.00208747649693813,-0.00012612377675717042,0.00024277943671675763
