,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
01/2019,,,,,,,,,,,
02/2019,,,,,,,,,,,
03/2019,,,,,,,,,,,
04/2019,,,,,,,,,,,
05/2019,,,,,,,,,,,
06/2019,,,,,,,,,,,
07/2019,-0.00030629783479878747,0.00013182161121700047,-0.00028376160259255354,-0.00021853748962069423,-0.00014389726004369148,-0.00019892566180805364,-0.0006764133923458501,-0.00035406607445169144,-0.0008623923208830571,-0.0005632654387558384,6.427765662454614e-05
08/2019,-0.00020388332509089146,-0.00019522995796067855,-0.000642411822157153,-0.00011695074222840308,-4.801743684802436e-05,-0.00024333675878263246,-0.00026424831503944583,0.0002214969140077929,-0.00018170292555035918,-0.0008393992067729878,0.0007496096751720398
09/2019,1.178507418640078e-05,-6.142206736193699e-05,-0.0003773488778412368,7.283422802951273e-05,0.0001190573367063504,-0.00029877388433474997,-0.0005201827286771907,-9.316199810657008e-05,-0.0007240409531434379,-0.000699795640721609,0.0011479598517215306
10/2019,-0.00025345296330809945,-0.00018125553029472823,0.00011544443935272188,0.00016586759626426723,0.0002315043680114464,-7.610918694939172e-05,0.00019594600379728,0.0007261806623242049,0.0007140339898980249,-0.0005237450621320416,-0.0006005993256553675
11/2019,-0.00019345428910024984,-0.00017882604675652398,0.00021572039621186364,0.00034714155474304276,0.000263899863879142,0.0002246891338395624,-0.0003260235560331162,0.00032694785930825494,0.0003691832824498243,-0.00010000936498140867,-0.0012656312099981748
12/2019,0.0023390883130350337,-3.830062532472018e-05,0.00314278526855978,0.0017770116808328348,0.000808897295503817,0.0015523643537086332,0.00326412690732127,0.000732367020471047,0.004759213861140517,0.0038419687904679544,0.0012293923294255504
01/2020,-0.0006997727647061079,0.0005420571371912083,-6.534376763705791e-05,-0.0010149647149721537,-0.00048103516674455034,-0.00040891654299629165,-0.0010747765198371633,-0.0006979634299113628,-0.0008856070038662997,-5.717307811684523e-05,0.0008307179190806639
02/2020,-1.891183122371652e-05,0.00020637509717479682,-0.00015208263501775756,-0.0004924907992500003,-0.0005561654600120835,-9.823967451014605e-05,0.00014990340402620036,4.3132176246642694e-05,-0.0006551224071338537,-0.000260412409133208,0.00022409738969070454
