,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
12/2018,,,,,,,,,,,
01/2019,-0.0032793324368286525,0.5435786752755636,0.04291133074654074,-0.0464672834404426,0.004256910314247575,0.0674619354451147,0.06046534014798266,0.1583513166380972,0.25613376226071227,0.10131516296053578,0.4108767932920139
02/2019,-0.006185671667488735,-0.3843256456434956,0.049981226898084374,-0.048690288493862255,-0.10914516328777824,-0.20837905575734617,-0.1017988581279543,0.12232890470527646,0.19017120102271234,0.05066895990004783,0.2149739345242896
03/2019,-0.020658740479714277,0.09186437163670957,-0.19840688161848585,-0.10569540749203521,0.07551137383916062,-0.12094003042052048,-0.18500950682772832,-0.24824180270727414,-0.18420879845670424,0.08115949301438952,0.2774143226604018
04/2019,-0.025085493679853577,-0.022934494927991267,-0.20009763296567817,0.01624685538457893,-0.023290862032764648,-0.1746793935836184,-0.3143740628824868,-0.0738876088248801,-0.0835676621472955,-0.5185730448153774,-0.28410927310962275
05/2019,0.011184918444471448,0.5548003056492103,0.11591733114891611,0.046847717107886266,-0.02547806430547439,0.025666251446183397,0.15657182061531327,0.051989269034081076,0.15115763011460293,0.41429926104084736,-0.13414017773807396
06/2019,-0.029674246682669048,-0.4587342893185863,-0.007720696897924539,-0.06067389210505025,-0.07404322228117,0.09987023117668592,-0.11143941859706208,-0.21881986119578634,-0.3342226203722195,0.4805848261080665,0.08111420221775623
07/2019,-0.01002113617952427,0.3927736441687788,0.01291765512193721,-0.10463222623320878,0.0839006388691288,0.01713536227539092,0.11510633389855718,0.8467236501918771,0.4180862626559243,-0.4014685506696951,-0.05404835432276034
08/2019,-0.019949601334999678,-0.048718290647611684,-0.31989945242677864,-0.05292351815205765,-0.042222249838027026,-0.2104096673157324,-0.38549941386076303,-0.3601749925226211,-0.21832122306737212,-0.06352096482578007,-0.27746452633901064
09/2019,0.02006673651939339,0.4952189745642608,0.5756660368213153,-0.0071451623694959165,0.05369499375500686,0.6404960455510149,0.6392009161312338,0.6009088591106935,0.3046390699353778,0.7848955206001058,0.7629983523181454
10/2019,-0.019188607737143815,-0.020184816796828375,-0.08951114083314948,0.11361508490838079,-0.013814352312745415,0.2210912437487198,0.21703375432450955,-0.0348861216670765,-0.06199589495298796,-0.015018084796150966,-0.11332123470687783
11/2019,-0.00977427180935142,-0.1567600622767783,0.12005201571781865,-0.14896208577892167,-0.033745891463252464,-0.10525962502170727,0.5565778069035692,0.017930062684335057,0.18048415069686108,-0.24827164698458892,0.2895286684755476
12/2019,0.06195552092539014,0.27337407299489613,0.13796350211101327,0.18659608306791586,0.025463424316104266,0.710329596800424,0.8160681461345249,-0.001239204255593096,0.3605125819101127,1.3298558763773354,0.02175947134484435
01/2020,-0.012104106082621358,1.089772953692925,0.0772222183317226,-0.08568799971863017,-0.0972819141150153,0.13950690877780447,0.007445533731149867,0.5087520311062177,0.06456445883002515,-0.20446699726460038,-0.04340669448891776
02/2020,0.03036896965728686,0.05911181202230642,0.06318554248556052,0.05606533065211283,0.05592585939557004,0.19095286200660033,-0.09160285344905428,-0.05015204321435851,-0.05684546037393223,0.0994724681866046,-0.13956872627465888
03/2020,0.002527885454169043,-0.5072464230741133,-0.22514305419706693,-0.009433045805453899,-0.019542252372442448,-0.38619577198058097,-0.677192633074443,-0.26457446864026524,-0.2768146156322161,-0.5417602565376116,0.0072435866287099415
04/2020,0.06687490523065809,0.2841233807996091,0.1414606405756429,0.006489097683344047,0.051922013465727,-0.014887079762085476,0.6900838332247246,0.21423757020191436,-0.12067935622704706,0.5296007758007693,0.0653049189505297
05/2020,0.015441498257376729,0.32153495516775377,0.15894460957571432,0.20964539932041615,0.028691615007763627,-0.0007658641711800751,0.183151039410127,0.14792356433219056,0.27930307368233165,0.2995788059536746,-0.08403455893627554
06/2020,-0.05031803793472778,-0.04311892812309237,0.08089491904641899,-0.11201016911866113,0.1392213531966109,0.08575939196358595,-0.06503709513517897,0.10699561072054342,0.12895969406208252,0.005497480142123257,-0.06827306117737941
07/2020,-0.00889144654257168,-0.29747770084696157,0.06195752251733411,-0.009457637556181564,0.02899602640733634,0.011828674826072971,0.34415175213562144,-0.1322716075604603,-0.0735632060911332,-0.052738024227773406,0.010462363234855943
08/2020,0.004676070980014213,0.023245383618012427,-0.1963461879363999,0.018815755651838906,-0.06724476828028325,-0.05979001413955498,-0.26411899442237996,-0.028806347843897684,-0.11819223538797685,0.04531405325389781,0.04834066996521158
09/2020,0.031881607130877176,-0.05310468090114784,0.06372147964952979,0.029065100312058778,0.07705273957994008,-0.0038289179108009774,0.19397750558449012,0.10098799683549053,-0.029268568049782395,-0.015966151699811748,0.11181090873500699
10/2020,0.08926672085662246,0.2501226813936446,0.07801199111183199,-0.020129485280825143,-0.02369792374094437,-0.009633779510020646,0.0823833363575941,-0.15309122963620403,0.06143140398836411,-0.09716279948319795,0.07404017098261217
11/2020,0.04478560716859681,-0.08342760843806829,-0.06769384623594998,0.13670122610436142,0.014056003126806882,-0.13189030242989996,-0.12835826417374818,-0.06829275590610773,-0.0016043177836716493,-0.024158550820066238,0.0020731561005060684
12/2020,0.0976221940315325,-0.040828235468762686,0.2501335346825635,0.330609984757384,0.13592252145118944,0.24952756899734418,0.9725343521920695,0.5068218966042439,0.3380262628421915,0.37026835644911293,0.7070356447197863
01/2021,-0.03316704834276929,0.21320169142958423,-0.15525660896765003,-0.08290544492227547,-0.02931612077416823,-0.0943763072435736,-0.1544531058276042,-0.03686984171255825,0.05291566874605125,-0.2243742662136018,0.06824167673184611
02/2021,-0.008415541446798347,-0.056153858581888705,-0.034037608002901454,-0.014279871251866472,-0.056134503718922146,0.11415093116430253,-0.05569683095633382,-0.013207677548135677,0.002047060964331715,-0.043526590719066616,-0.03567332083765251
03/2021,-0.00403944317584759,0.133880346476843,0.1251839195695612,0.008668721330279627,0.02915793808823164,0.029705059950676738,-0.05830960176087385,-0.011687938967911315,0.12242815208359503,0.011926194704632076,-0.0010402725456809536
04/2021,-0.0037006470825837745,-0.22039959442696133,-0.07435862591581666,-0.12376010554468442,0.0439765896690365,-0.1016985192498745,0.059292699802395044,-0.031330864784255286,-0.017497349084374614,-0.014814145570210768,0.01987602477656414
05/2021,-0.02325573883581944,0.36903415840674225,-0.13554003158276418,-0.008069065248084706,-0.03274802340598315,-0.04574738303623194,-0.08676245514903291,-0.0210902612756263,0.07064911362952464,0.10983006451069799,-0.14151114887355676
06/2021,-0.028634622749010963,-0.1973422164296661,0.05661916991228222,-0.018406627397049458,-0.012726465081909222,-0.25375800439761587,0.014329730430773235,-0.06332450397983869,0.04277248429385283,0.20309496359513912,0.060176578667250125
07/2021,-0.001566251607159952,-0.032660527962670716,0.11882109042898614,-0.02141655439318757,0.0034257089297553556,-0.03449224943552265,-0.062088561580513235,-0.030100344079232788,-0.12077178731558846,-0.05105991805251475,0.09009134303454536
08/2021,-0.028794418314859405,-0.38084966382566254,-0.24369674403388675,-0.06651439021426908,-0.013628158329477835,-0.049337889366329435,-0.08356245403930429,-0.15410641690686444,-0.13436565274685675,-0.10921574284382363,-0.0507535154200176
09/2021,0.030337061240875096,0.004623993414718974,0.15095250691272932,0.07620393421267413,0.1021682813477125,0.24453983286873204,-0.11412239254531542,-0.005164057609773898,0.005621044861903179,0.033860832265111496,0.03642817923121178
10/2021,0.01316657821415168,0.3962390561163476,0.03771934302548674,0.01553675229304785,-0.04667316706540825,-0.06448986533371581,0.041220809259810975,0.02996327690043077,-0.06616100729639107,0.02932981467961282,-0.05909911513153676
11/2021,-0.014601635399175472,-0.0695440584420226,0.03761540615474557,0.01069028320800025,-0.015311451386065378,0.1530980323539557,0.16122362483403574,-0.26178859212658756,-0.020623734089148305,-0.10848163952218082,-0.07038664103271741
12/2021,0.08747562907522588,0.1123838415353382,0.28729841587007865,0.5159086809584765,0.1083562990578566,0.21791042575530706,0.7829718810310573,0.2796904519223964,0.10539877178221757,0.16230389257923883,0.26443223307010255
01/2022,-0.0476373888707361,0.019149339382318553,-0.14318769897212724,-0.1675739245422777,-0.08195946614004679,-0.27423849990950044,-0.15657070264181738,-0.1227186813799015,-0.005743449565751346,-0.14140866440679611,-0.20986259669113083
02/2022,-0.06170278884783853,-0.5930827407586068,-0.32967270555818584,-0.3176167161499299,0.01762096441924621,0.041030248698040284,-0.3538389859535941,0.162915287281862,-0.4918155552761102,-0.4083212349669445,-0.35294513536608363
03/2022,0.01979339527430235,2.299448996414676,0.16516113561226886,0.13428024832417118,0.05428443202374211,0.33340267689344505,-0.008082934746317383,0.1342471533096996,0.7180866313708745,1.719024517184863,1.0041652470268057
04/2022,0.019193138253853492,0.1326838078399697,0.2056081575299038,-0.31972641187241024,-0.012403575312011306,0.016426944993212844,-0.02840166141647449,0.044786421261384435,-0.021418162323478818,0.09193495408745123,0.09195076467058216
05/2022,0.0277760059602854,0.11759106444999401,-0.0627502629823703,-0.05482677287689741,-0.02084128501999738,-0.11062419264634926,-0.18612897242041215,0.06008843620962989,-0.05165135055433001,0.01107485879258352,0.09057239647128901
06/2022,0.0031647339041001032,-0.07314243792530528,0.017289733018779785,0.11763971262521,-0.02596214879638492,0.11105597152093516,-0.04028214528152374,-0.03357095996994808,0.0008009219229880848,0.10244132114686044,-0.0916468830500693
07/2022,0.027202763078176817,-0.06412111225528938,-0.062855908749058,0.1466905244559078,-0.05720404093833731,-0.06390079664133885,-0.04398784531716016,0.009840854078046801,-0.02726924963874855,-0.007779204277810869,0.032733400393769596
08/2022,-0.01832532739411874,0.12231235516417427,-0.08692977671962598,0.04323265233780704,-0.0449205871916839,0.09268184557680903,-0.12842327452966018,0.007744549534645762,-0.06317432952261515,0.02391911165246219,-0.04998879587652416
09/2022,0.04541204210289629,0.11821390177694657,0.07683911578254854,0.048755284585144,0.06672335198608237,0.15029078906818616,0.2271451715093311,0.11395985460735791,-0.20682764105964802,0.07801987380542408,-0.0447337005210976
10/2022,0.049025563719823584,0.13225192667411467,0.024478982553065354,0.23805984288036752,0.003732676283175529,0.13626523964088033,0.1605227761987995,-0.008147615300905797,-0.23229439464947155,0.07367040796797863,-0.01793641471577756
11/2022,-0.02980753222095822,0.0748928882639337,0.2405398220217314,-0.29837738959980176,0.04761043978912061,0.04946134360007748,0.389487619832656,-0.01771452293493181,-0.15630702095090698,0.03426457979332054,0.016809890147545303
12/2022,0.05235505009486108,0.026379972769305926,0.12324253457002743,0.0410384362024907,0.0016094111374709286,0.09682476338831636,0.4283044533726861,-0.023221426898691888,0.7746734870449559,0.0632514671983413,0.06564414780028272
01/2023,-0.08593597222943528,-0.07662468326843308,-0.15137328941197048,0.21393593885933915,-0.06391293454256075,-0.07592343648283673,-0.24333942872484848,0.0747785661849123,-0.04281324044741297,-0.1278637719946546,-0.109465444656477
02/2023,-0.02179379652140989,-0.013978569209296965,-0.10083064024589816,0.12562226178526448,0.058650104127164315,0.029369249479399562,-0.0861886531199203,-0.14116489690023315,0.25166708757250267,-0.08337024690826045,-0.06411216163199995
03/2023,0.0035644468303761556,-0.04055135256419673,0.04712257504409667,0.22052257782855533,-0.09071492453303831,0.0475282341695451,0.032437212886084144,-0.11894968269304473,-0.027620494908323634,-0.08167502656911085,0.019155397449121203
04/2023,0.02759047185412644,0.10933494509260089,0.17324079779042045,0.1576470376157597,0.016231071735323566,0.08089270481145028,0.23071521683071516,0.28401500111543343,0.10372501145746904,0.09929748985765907,-0.02025605112645601
05/2023,-0.03399672991798297,0.07262597261566905,0.1315425134612569,-0.012691489479074614,-0.015512157052087194,-0.0106282524885708,-0.06849293416878233,0.14736520792248742,0.015681376015474147,0.006215109188375312,-0.11196492200270902
06/2023,0.016983933886699498,0.13471187077885327,0.1407086636023378,0.1533565193315607,-0.010465691778286934,-0.02478569652223417,0.18053792926697154,0.02679597890983798,-0.06124058342249894,0.0691807814161729,0.125809458084166
07/2023,-0.007166055873736199,0.012142738527648689,0.05415323573807629,-0.36291999165086775,0.03740305334523364,0.13939402280435065,-0.13504656283123828,0.10808461677112602,0.21877789844420437,-0.001677301559817046,0.006414209587391584
08/2023,-0.02822794424858799,0.035690251986285615,-0.04013894068277368,0.14471854851947374,0.00023785898538664085,0.05526668635270138,0.08028461395967845,0.003511462394417464,0.40785687759110845,0.046559739640784636,-0.030172822638352526
09/2023,0.0327487705594256,-0.09464723039395817,-0.026559200838516372,0.24687329665852276,0.005419929583808658,-0.07251840454547831,-0.2207662629360606,-0.03932321334792799,0.006924857658738626,-0.03139309782498534,-0.008728748517624618
10/2023,0.007432726618113561,0.07721005482240173,0.04159144574200013,-0.338440472010339,-0.02185837921116318,-0.038396876018506165,-0.22012112061328926,-0.07498159211738509,0.2065472469405949,0.01996197668574018,-0.05607487939375777
11/2023,0.03153543473707865,-0.02639707732683516,-0.08689106075887354,-0.025885171204929946,0.031997867211435604,0.05531624079171604,0.43389988545240854,0.048210587258935345,0.08051132011623596,0.1003563143037669,-0.07402614704994592
12/2023,0.06871908164015439,0.0709826666180684,0.11906404438703877,0.16361513086566726,0.03983501836983416,-0.04011098256575918,-0.09863990963071889,-0.02695266884962355,0.06355067671360626,-0.00227662528698247,0.11998926201829097
01/2024,-0.03269327406429989,0.01263138580588441,-0.05330720912919584,-0.09537317782102617,-0.031380109360449215,0.08816843856365075,-0.05822886171881658,0.13831897047605168,0.01015276457213199,0.04451121303455352,-0.08663060053418714
02/2024,-0.049837596842638554,0.023841399809510166,0.08150775899573137,0.0223741392524881,0.0194521845840947,-0.07884891997003796,0.28220869619270617,-0.15009985063348552,-0.023852379342847785,0.04021638171727515,-0.05927320378607903
