,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
01/2019,-0.00031960804719785183,0.00020191198909127626,-0.0001884441929142439,-0.00047844772077492315,-0.0009100596472655588,-2.370716423409809e-05,-0.0006539762719849121,-0.0006296757076612383,-0.0012164964517471085,-0.0005795647937102055,0.0002684593608606248
02/2019,-0.00016261352099527474,-7.763522782445109e-05,-0.000425831143682184,-2.4055516040429395e-05,0.004740139348398367,-0.00034516880474170196,-0.0005891763565519861,-4.2129475712294334e-05,0.0013273692950645241,-0.000776493992181799,0.0003998269302818158
03/2019,0.00021382339673939712,-0.0002254835961200425,-0.00027213749438496655,0.0007683016142368436,-0.004581389395488793,3.964437031523174e-05,-0.0005224088128564655,0.0005881772993828974,-0.00044863906244035565,0.0012356073509770926,-0.0009764990037580967
04/2019,6.117746264165148e-05,0.0001140764783129555,0.0007745449210673303,-0.00011077284132069917,0.0007990122253466528,4.8539919300073786e-05,0.0010189813496247358,0.00016843178211904154,-1.4556755059733258e-05,-0.00028940047198802374,0.0007906716698717012
05/2019,0.00023268436559044977,5.321413987636938e-05,0.00025153513412251756,-0.0005046182908679617,8.23003747943119e-05,0.0003664743124959899,0.001115454248624758,-0.000275855246126157,0.00028585713698598986,0.0002979110945193113,-0.0005681126760306611
06/2019,0.00014448832528446203,0.00013394819983799993,0.00021818966186159736,0.0002896551124428239,0.0002233073750938534,0.00016794524862130157,-5.2852886540912664e-05,-0.00027873968310749685,0.0001591715967616267,0.0005101260706467563,0.0008807612704901952
07/2019,-9.182451314175511e-05,5.9398054487050725e-05,0.00023145013825603186,6.285611699493113e-05,8.694505308322678e-05,3.067269153124094e-05,-0.0003471457396738908,-5.418617294141413e-05,0.00013900060353295995,0.00014000887393067832,-0.0009166287164694229
08/2019,-0.00011483490345141336,-0.0002224251687947985,-0.000399307127526948,-1.1237683933655249e-05,-9.80015065809455e-05,-0.00013594370194052168,-0.00013287032038199198,0.00037667818105139705,0.00029279149179727015,-0.0003638997772018983,-5.159021035259018e-05
09/2019,-4.55675139903397e-05,-3.098322327688618e-05,-0.0005026470723920855,-4.862182273881674e-05,-9.564666321783526e-05,-0.0003373353125719191,-0.0005908112204060841,-0.0001421209502104415,-0.0009412292453622427,-0.0005597370199531236,0.0006825007587555262
10/2019,-0.0005204158798491113,-9.149869192099855e-05,-0.0005966850607810907,-0.00024944202974373254,-4.6044996962798634e-05,-0.00033887809698564253,-0.00023549675817624485,0.0003888695958882858,-0.00041471244530056576,-0.0009179203624094592,-0.0005504465224231477
11/2019,-0.0005617776126523632,-0.00010778192284152796,-0.0007586422447814316,-0.00012411770544851555,-0.00011959196615726015,-0.00013062449084528995,-0.000977987543902441,-0.0001251501285851088,-0.0011340518536733903,-0.0008072243136767934,-0.001127158126696613
12/2019,0.0019970555500925247,-3.95595773796816e-05,0.0023479166238644725,0.0014371257940881425,0.0005851152965364891,0.0012499935757688957,0.0027079845798453238,0.0003562670266875406,0.0035670940029508902,0.003118581559071555,0.0010963461546383176
01/2020,-0.0009652190841605204,0.00046095831082374914,-0.0005719899942732308,-0.001220311511012615,-0.00045690481673357113,-0.0006249558340574949,-0.0013386721708936048,-0.0009336304898377272,-0.00161986957055497,-0.000770251016518537,0.0005261589077921527
02/2020,-8.787528347435365e-05,1.7707782770480865e-05,-0.00014015614815491868,-0.00044433334506859337,-0.00021033736649950707,-0.00013567075435095242,0.0003238660355425376,1.755875563996638e-05,-0.000616735999449401,-0.0008393104635366225,-0.000455566800014736
03/2020,0.00018119829729085256,4.833880940976424e-05,-1.5752435064088008e-06,0.00038936281221755263,0.00033655084604307774,-5.765146791520846e-05,0.0001951224067443429,0.0003175724284437244,0.00041503349179059217,0.0010815613552005244,0.0009032586124149387
04/2020,-1.692760296382852e-05,-0.0001549595093124738,-0.00035080448020933554,-8.36076735188122e-05,-7.889706289968337e-05,5.12555720619777e-06,-0.00025002027141093463,0.0004946738011209666,-2.9691695959005796e-05,-0.0006350621292035598,-0.0010171938713256917
05/2020,1.9992641952884006e-06,-0.00027471527565835294,0.0001679678775550683,0.0005676201573743857,-0.00029554618237843683,0.0003205018450858077,-0.00026191263359063525,-0.00047657265476115044,2.747653821396929e-05,-0.0004418554125781137,-0.0005420269358361405
06/2020,-4.986995297828582e-05,0.00012316197525820112,0.00029242291225369237,-5.2920199578396915e-05,0.0010289081957472962,-4.820744517874389e-05,-0.0002622179391985639,-0.00018542438977606646,0.00044809677004468366,0.00047239247113774023,0.0009757586161624632
07/2020,5.9620363343812315e-06,8.405947282549842e-05,0.00030286195580137964,-2.3371767116731577e-05,-1.583466306610739e-05,4.650307498566767e-05,0.0007589559923119049,0.0004394639879456586,-0.00015279000639842246,5.992554036211937e-05,0.0019827338130238414
08/2020,0.00033485455601631924,-0.0001643307941517672,-0.0003138659220186498,-0.00014353375469222576,-0.0007188270118460784,-5.082142884618767e-05,-0.0005224738849462464,-0.00025657722071908626,-0.00033573126521345507,-0.00021714271517720395,-0.0030101848109511786
