,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
12/2018,-0.0058222366535148826,-0.00020494381235289238,-0.007319914689329174,-0.0027913438151768583,-0.0005151431451312777,-0.0036907830541907938,-0.0017597061261534763,-0.014243452080339308,-0.0019705887982740117,-0.007564223037295384,0.0031025987624848095
01/2019,0.0008230914473374706,-0.006055097948758775,-0.0025663152072736423,0.0008440341899811771,-0.0003096955058118078,-0.00472326189133776,-6.362791529429535e-05,-0.0007711551058949273,-0.001512472765319961,-0.00106392033944816,0.0005393477956238402
02/2019,0.005665680922748828,-0.0032266447581424246,0.00015596537783824083,0.005059865887679857,-0.0019584108004192663,-0.00044755878802188453,-0.0005280090756751149,-0.0005053920065744011,-5.96445889028685e-05,0.006866436555919814,0.0019084975322420372
03/2019,0.006916177443016425,0.0053091278721796725,0.005879310300978172,0.00023129768657573213,0.0017122924771398873,0.005138243905296241,0.0017769579875614588,0.007859427711029682,0.0022260978095623024,0.017709143481052944,-0.0009756605472556468
04/2019,-0.010682019624792642,0.008942159032398894,0.003505009111368862,-0.004997001271420123,0.0010151111288022735,0.004185967637701071,0.00011150678987921492,0.010172085371042527,0.002067100227160043,-0.022351264253303846,-0.004198626820553511
05/2019,-0.005752316110405706,-0.00466126587770363,0.0017588482362478897,-0.0015646150714548612,0.001435875611406942,0.0014881852321236844,0.00212315802992237,-0.00791107449425757,-0.0011019104503919713,-0.002635380695321307,-0.007218114222003136
06/2019,0.001212775610871339,-0.003811182924498613,-0.0014715013700416224,0.0005024168559024655,-0.001977687313010207,-0.0004803551879591361,-0.0021247855338993316,-0.0064315850391226115,-0.000866023868876506,0.0007972745756016225,-0.008254351104352423
07/2019,0.003646119744566384,0.0020097954490251035,-0.0035209884089854315,0.0021863605650926238,0.00023647608304601386,-0.0051864276119932,-0.00026621502766864535,0.0018544099119616186,-0.0003293059803905207,0.006396920742825621,0.012485063597554039
08/2019,0.006094800413082788,-9.001841403179223e-05,-0.002610498174655612,0.002956944426616398,-0.0010767641777543746,-0.0005491903610823357,0.00029098152303629055,0.0044807087417625124,-0.000574020961377722,0.00429270560559869,0.008458304863054322
09/2019,0.0038492079740853336,-0.0003125812637344155,0.0005438903959539554,-0.0036466698866388647,0.0011979123628196031,0.0019505775842550699,-0.0008243949784618593,0.00107224559263705,0.0029163052926589744,-0.001712737432997949,0.004774032452654037
