,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
01/2019,0.007402056709753054,0.008528883471871085,0.00982852340551069,0.009739439377498221,0.0041919999869564056,0.011842201626763018,0.0073198199400617186,0.011700457532200333,0.010007576264378417,0.010451911408641585,0.011399605327529533
02/2019,0.006312878510080996,0.007851748934939496,0.010492878765954325,0.009133845597124872,0.006895069528255417,0.010748793813949529,0.006862527564035565,0.010831739639196734,0.009148678858524655,0.010021900907092058,0.012799860897863509
04/2019,0.007121279148905171,0.008076382445439028,0.009886571941850386,0.008413646348411205,0.0008976187964304479,0.010710633237279617,0.007090920443446694,0.01047298329491436,0.010412596152778416,0.010355401184379333,0.015092087374038268
05/2019,0.008152831401395796,0.008241604487763296,0.010301274444664091,0.008912628702661697,0.005257464277900699,0.011179524452827468,0.006747012437233771,0.012341463032638472,0.01035219187003674,0.01303268921339587,0.014848526412481999
06/2019,0.011575764190442633,0.007374497679332468,0.010001563976904503,0.009053996359010939,0.0030767150941579313,0.010477722223226614,0.0063852682037292075,0.010328749840110353,0.010337670090266572,0.00979343252564373,0.01836602261884827
07/2019,0.006585793662671251,0.008684416208860998,0.010901019605392777,0.009800960782522771,0.0007845808806012391,0.01081105669639112,0.007996332085544263,0.011931697507403827,0.011081921673624937,0.0104798613980781,0.017824257454371332
08/2019,0.01102298262362094,0.00804675191849865,0.010793310509040881,0.010206989385522836,0.0055071755949612534,0.01016421534822656,0.006269212190283645,0.011635674276819292,0.009847958527416531,0.010069215953410388,0.017952968407531487
10/2019,0.0035144300090517015,0.00795702410566957,0.011246218680842012,0.009642113025739378,0.004155845393774149,0.010616583611537209,0.005619641958526047,0.011582096726924652,0.009370999652352245,0.010468286244417252,0.01680749895969974
11/2019,0.009502013732035302,0.007641926563031223,0.011376654890376417,0.00931146725203915,0.0006095565367796586,0.009934345960544754,0.006055672031229352,0.011072994367806342,0.007349142866004829,0.009474871186080317,0.017503862078495885
12/2019,0.0060289943896938624,0.008282421524668631,0.010204686882703725,0.010030353124442863,0.003870741265938819,0.010567033091322313,0.0072950959595121075,0.010180135417612082,0.011704405943517307,0.012327588650799682,0.019022102045204027
01/2020,0.008728841099465007,0.007636466958378964,0.012428910260197877,0.009815522266954174,0.005301079464378366,0.008598837900757375,0.005338100450385653,0.01053145708237823,0.01013495493394771,0.009752968703656401,0.01590143333807282
02/2020,0.013402397095794117,0.006729967522025416,0.011254967666541842,0.008907251082673139,0.0032289941192975833,0.008353495307379869,0.006308855031925828,0.00968166013390655,0.010017398629487804,0.008219009822591794,0.015344052175561791
03/2020,0.0037144705136789536,0.007832901972644147,0.011804853947050924,0.0098127874384569,0.008692734995566765,0.00995392478221803,0.01064587971693193,0.009328900084136098,0.011858066609681025,0.011162311621755043,0.01952949288094966
04/2020,0.014852468772988422,0.007086218049022264,0.010589954027777428,0.008782464567640754,0.004854767609841435,0.0081243040851436,0.005757615287926834,0.009773725279219743,0.006549875442745437,0.008960768832194849,0.011343682395140763
05/2020,0.006352868239270679,0.006198830952470051,0.010043439037139185,0.009013389470344836,0.0032090847102452798,0.007343721773602027,0.006725461628691877,0.009983790907122769,0.008600958631614537,0.0072336748929864485,0.012404730693576973
06/2020,0.006593108652077576,0.0058912259661195576,0.009828855457914423,0.008519197076329107,0.003284438155235657,0.007081964814805389,0.007913140804640457,0.009121832141430909,0.00962814917167877,0.006417445611424592,0.01617060642490649
07/2020,0.0061453896258570374,0.006305150590949855,0.010123374621378535,0.009583189798776794,0.007680807401598026,0.00822699281971058,0.008641614920060327,0.00952101036420464,0.008871509859099536,0.007173954467419321,0.014589870146443537
09/2020,0.007180991168354116,0.005997576933165957,0.010140084330176985,0.009138132248525272,0.004962906661367883,0.007223381502271809,0.008471484667127618,0.008788025146609917,0.009512610306594019,0.006624332857906478,0.014060527464717863
10/2020,0.006228672676012739,0.005949295519162232,0.010004554103100971,0.009014577299430044,0.005200640732261372,0.007276493739617048,0.007162250908636099,0.008811729012601733,0.008224885053782537,0.007746480155477352,0.013288576342699652
11/2020,0.006594776041947163,0.005685907475442225,0.010505892907610798,0.009011679583813131,0.004707270707777484,0.007624077801042681,0.009325595169689747,0.008327644910504485,0.008976235754551837,0.005999263883766089,0.014897421230060654
01/2021,0.005072084538835943,0.0057307428550874735,0.010316885032589384,0.008031584971249985,0.003531544582146738,0.007541455493485676,0.0066283449053621685,0.007797385091499537,0.00809823054104638,0.006013935806096984,0.011534213599644851
02/2021,0.0020641467252746886,0.005543452157958154,0.010149193262042309,0.007826225831194468,0.001999825020697337,0.006711955831307479,0.006524814348611952,0.007587771223442604,0.00780464529145992,0.006433206239258885,0.01618639217837254
03/2021,0.0041999052650845,0.006481086593479473,0.009806263483718249,0.008337835975552238,0.00406212003174308,0.008212061676635232,0.008808252681339189,0.008888402079097104,0.011769612016789032,0.008989130378372378,0.021243347434971128
04/2021,0.009655959992727078,0.007078892854342274,0.009529169727416869,0.008230552311540837,0.004940016558264599,0.008401177485488858,0.00948149583365877,0.008798505929758843,0.008321218229992763,0.006867129098563813,0.016427167051711142
