,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
01/2019,19.995721312816894,17.349504510097557,17.783833966439666,16.57393424113111,19.392858130130676,17.411280594565103,17.014873701259884,18.07643448309622,17.98837902135569,17.733109175929332,16.11422168713762
02/2019,19.994163221162406,17.360741566517838,17.777173483808006,16.546347780328617,19.40815870232093,17.408233507365246,17.01443509644508,18.09035694783905,17.988263095200455,17.72383415531968,16.178259290738687
04/2019,19.987717795797117,17.376103659597906,17.78780613412936,16.647882702746582,19.37896323805362,17.415110372070334,16.986415399399206,18.166285563263983,17.982239806340157,17.71994023849128,16.28813084619071
05/2019,19.97757113700086,17.375771085380894,17.792429215988356,16.63478937675473,19.37176718810359,17.439688567830217,16.943707877543467,18.096579490220115,18.006375984451203,17.695125072049425,16.315985152197268
06/2019,19.987807952493856,17.419038344753567,17.821307746676098,16.63188365027092,19.39347300545634,17.467613834459463,16.98098487366209,18.169899820834576,18.00820169009559,17.74731078790292,16.375150686658415
07/2019,19.977642738357652,17.384163812845507,17.84784813997781,16.629769268338585,19.362590153131762,17.517391721877196,16.979645649628594,18.133438387280357,18.01778182979963,17.710500865193136,16.41863328539847
08/2019,20.002178230863148,17.403977615314165,17.847745023935982,16.630265898853693,19.387476061238306,17.52336757637629,16.988625004296754,18.126536409170047,18.028512660306625,17.73719631495636,16.45247527969139
10/2019,20.03124160982156,17.44355459011633,17.87362656708103,16.69865815877161,19.401772813427144,17.60296798856658,17.07486969988621,18.18926356904744,18.306835826683606,17.758595644137724,16.55935814556069
11/2019,20.056508090644968,17.439349950024273,17.863791558417095,16.693101411251,19.40201212372321,17.61675321483582,17.03041270963314,18.218690492340873,18.2995738734764,17.774707891113074,16.660467085088587
12/2019,20.08898209927707,17.39281926919302,17.921875204586645,16.764433760704883,19.52686768142062,17.673197232171614,17.113076029693598,18.3308743703462,18.251584530669316,17.792548462099653,16.776200510405726
01/2020,20.10363091807501,17.482635670906916,17.95418117823573,16.754440415971665,19.59648547353774,17.70867562040228,17.149121763250406,18.283817651275747,18.28291252642575,17.81823867134889,16.816639194246793
02/2020,20.120980792784678,17.535956489262958,17.983416640641416,16.765833361936732,19.539459325625828,17.762178726133637,17.1421173226068,18.316568389744496,18.289499573737388,17.837290456801572,16.88354103636818
03/2020,20.14208409267468,17.60492435579222,18.019449558801515,16.836926272250388,19.543530472838537,17.78573609837035,17.155879018638903,18.384471568291143,18.390653121037168,17.917503004896066,16.942540361263056
04/2020,20.159164236872765,17.585938592590733,18.014886413848995,16.789467486567144,19.53257290564795,17.734644658006502,17.108852932294063,18.37082942033059,18.33253666929261,17.90893203940488,16.97654128736244
05/2020,20.179775407708238,17.583580643817257,18.01180298202315,16.82869389960106,19.53775041698777,17.75528463065283,17.118092309144266,18.412746765504984,18.3431522271443,17.92834028772113,17.01426661460948
06/2020,20.148574494054976,17.588185625248826,18.016434347723017,16.870203312606883,19.398223757879926,17.782078582738674,17.187539723910533,18.42014557713728,18.37874296488585,17.97234006417704,17.01852136386594
07/2020,20.163761700600787,17.644557254968937,18.09571994857944,16.904581516605727,19.411516906936242,17.83575801400444,17.235219412094985,18.437841457983737,18.410664518035578,18.020533072564778,17.096146311917554
09/2020,20.18994268066776,17.69518548720683,18.181021998037863,16.96944163207344,19.37735768692455,17.899234210116166,17.26861808835464,18.486228559881866,18.4142091992621,18.03359179136074,17.15629953561854
10/2020,20.139764811944627,17.72008423653959,18.194530601450335,16.985399093618685,19.395308903868944,17.883511039548754,17.22708195492313,18.47671339935219,18.38992361280099,18.045179336979608,17.229230145211087
11/2020,20.099964193739698,17.744617544571348,18.1854496041018,16.99120777695439,19.370689071290297,17.87928647971812,17.237847264777763,18.434432303193418,18.412751137481447,18.07232771030005,17.253765955058842
01/2021,20.084702513802764,17.72404737867591,18.20587637677681,17.044926553425224,19.385872314071413,17.89090336626739,17.354122022280812,18.52268140077462,18.470422453112473,18.039184318896886,17.412302741855378
02/2021,20.073021895521656,17.707207842052412,18.191894052844855,17.00848312481094,19.376914093914095,17.918561329288497,17.297211345128932,18.516714083670685,18.443129422656007,17.996275486692443,17.43706317227821
