,LAS
01/2019,
02/2019,
04/2019,
05/2019,
06/2019,
07/2019,
08/2019,-0.01010455755417651
10/2019,0.006079914926845072
11/2019,-0.016182353786581026
12/2019,0.00031946753094670016
01/2020,-0.0014443980392804742
02/2020,0.0055840013342316735
03/2020,-0.017786112212426385
04/2020,-0.006366627144688545
05/2020,0.0056463044530809785
06/2020,-0.007512086225883723
07/2020,-0.0015607886165493945
09/2020,0.0009738703807960197
10/2020,0.006767046146552005
11/2020,0.005808810402630933
01/2021,0.021801847768098494
02/2021,0.005452316422556343
03/2021,0.012323513777030178
04/2021,0.011647633286609975
05/2021,0.011673655965145292
07/2021,-0.00436739198578017
08/2021,-0.019312903091910444
09/2021,-0.015366799548257919
10/2021,-0.0025662459782670377
11/2021,-0.0027595489866874285
01/2022,0.01128729728646806
02/2022,-0.0226024879332311
05/2022,0.007042717215533103
06/2022,-0.006643607406671019
07/2022,-0.01175093919091768
08/2022,-0.01810345807400962
09/2022,0.005240632794113121
10/2022,0.00986219567730074
11/2022,0.012794775185661493
12/2022,0.022007062320973665
01/2023,0.0032552111416484586
02/2023,0.0009138551527234345
03/2023,-0.00911221714973419
04/2023,0.009551331332864461
05/2023,-0.013824642467941205
06/2023,
07/2023,
08/2023,
10/2023,
01/2024,
02/2024,
