,OE
01/2019,
02/2019,
04/2019,
05/2019,
06/2019,
07/2019,
08/2019,-0.0002737719593603105
10/2019,-0.00020839827529817463
11/2019,0.00034320420915248076
12/2019,0.001307745425551066
01/2020,-0.00016367115428697837
02/2020,9.463638034730491e-05
03/2020,-6.551868991356563e-05
04/2020,-0.00013531026955939643
05/2020,-0.00018570940123743108
06/2020,-0.0004761579639131439
07/2020,7.062422670022717e-05
09/2020,1.3905947930386323e-05
10/2020,0.00033906004646771875
11/2020,0.00017444642852528346
01/2021,-0.0002821240499133571
02/2021,-0.0007315875404481674
03/2021,0.0004789744690558463
04/2021,0.0002485613840138755
05/2021,-7.917439759805823e-05
07/2021,5.1241677158257154e-05
08/2021,0.00012761651608435965
09/2021,-0.00045069930783551515
10/2021,0.00045282774633012644
11/2021,0.0003935575354435828
01/2022,-0.00016506104293519317
02/2022,0.00020557318053125855
05/2022,-0.00016496593045396986
06/2022,-0.0005022464232350639
07/2022,-0.0002413918529010333
08/2022,-0.0002692863024933459
09/2022,0.0002186045493794584
10/2022,0.0001579800542689738
11/2022,0.000132004347020906
12/2022,0.001000768733616494
01/2023,-0.000449540511162519
02/2023,-0.00033355202150613453
03/2023,0.00019832157165156438
04/2023,-7.307271793458798e-05
05/2023,0.00020243438703862566
06/2023,
07/2023,
08/2023,
10/2023,
01/2024,
02/2024,
