,ROA
01/2019,
02/2019,
04/2019,
05/2019,
06/2019,
07/2019,
08/2019,0.0011674448734361686
10/2019,-0.0006493163872234619
11/2019,6.598625035009881e-07
12/2019,0.0002125481603230809
01/2020,-0.0011266704163825087
02/2020,-0.0005650360629034902
03/2020,0.0006842818804756391
04/2020,0.0013909245910328088
05/2020,-0.0006706488134913626
06/2020,-0.00022167686865779193
07/2020,5.942470540298069e-05
09/2020,0.0013622471182179892
10/2020,-0.0006948616088460658
11/2020,0.0012193788842012239
01/2021,-0.0006147722671758418
02/2021,-0.0015669208649711699
03/2021,-0.002168252170685384
04/2021,-0.0012183446547575404
05/2021,0.0009631285730819718
07/2021,0.0007628329887410803
08/2021,0.00024566280177317325
09/2021,-0.00022635301147098756
10/2021,-0.0011332256270909441
11/2021,0.0005567417930620604
01/2022,-0.00165251081209877
02/2022,-0.0001833153954917666
05/2022,0.000821334363010069
06/2022,0.001381641661906795
07/2022,0.003322191544326599
08/2022,0.0018106496749197365
09/2022,-0.0016201414962989046
10/2022,-0.002126488622515183
11/2022,0.0004522549689768957
12/2022,0.0004752988373874857
01/2023,0.0011010698789466694
02/2023,-0.0018917199540213433
03/2023,0.0012162861571869423
04/2023,-0.0003503884918077203
05/2023,-0.00017086334865945314
06/2023,
07/2023,
08/2023,
10/2023,
01/2024,
02/2024,
