,SIZE
01/2019,
02/2019,
04/2019,
05/2019,
06/2019,
07/2019,
08/2019,-0.03992469267165425
10/2019,-0.013550153663313505
11/2019,-0.004584536097456496
12/2019,0.02660152630830548
01/2020,0.020788773302743573
02/2020,0.010865931190908359
03/2020,0.03207654307034905
04/2020,0.02318157986877334
05/2020,0.03194089692229052
06/2020,-0.005326023414121101
07/2020,0.017310414975620324
09/2020,0.025448522393377433
10/2020,0.013037038340488824
11/2020,-0.012319221892912605
01/2021,0.017557714832947623
02/2021,-0.001207674508239664
03/2021,-0.025819353376512828
04/2021,-0.006944335969999141
05/2021,-0.010254353944045908
07/2021,-0.0034921629205471034
08/2021,-0.0181759123384595
09/2021,-0.006733673472013441
10/2021,-0.008567536536210266
11/2021,-0.0053019115882779
01/2022,0.02992549287744602
02/2022,0.017120601968567756
05/2022,-0.012205652656876712
06/2022,-0.034084419047306413
07/2022,-0.0036599871734713414
08/2022,-0.012612162468149815
09/2022,-0.030512756373543743
10/2022,-0.028379984195466834
11/2022,-0.02245555183107162
12/2022,0.0033691296388939466
01/2023,-0.017433445686650652
02/2023,-0.028837178052340134
03/2023,-0.01462526154260139
04/2023,-0.002838649408662445
05/2023,-0.01235494907493521
06/2023,
07/2023,
08/2023,
10/2023,
01/2024,
02/2024,
