,CR
01/2019,
02/2019,
04/2019,
05/2019,
06/2019,
07/2019,
08/2019,-0.004654247392385069
10/2019,-0.004777747192921344
11/2019,-0.007653133819274349
12/2019,-0.006946724229475065
01/2020,0.007122176712930139
02/2020,0.008717090978466624
03/2020,-0.0019858673730366316
04/2020,0.011318383758899597
05/2020,0.03246406814021696
06/2020,0.020909526492837394
07/2020,0.030266476199759418
09/2020,0.021313095241066837
10/2020,-0.0006140777864824809
11/2020,-0.015444104619497578
01/2021,-0.025459866393206743
02/2021,-0.013548248551237374
03/2021,-0.0028600175036619935
04/2021,0.002597172299521111
05/2021,0.0053919202550968826
07/2021,0.00600522890725147
08/2021,0.0026463224176008215
09/2021,-0.016055743391683475
10/2021,-0.016401619992572114
11/2021,-0.02172690059063853
01/2022,-0.022894347180622387
02/2022,-0.033776484375676374
05/2022,-0.018396483958399323
06/2022,0.0018161695561432767
07/2022,-0.008116269157456502
08/2022,-0.008253363032449001
09/2022,-0.002852425045569096
10/2022,0.0061879988495111005
11/2022,0.0026910792115764637
12/2022,0.009364488103104807
01/2023,0.007568914385613024
02/2023,0.003047976191107582
03/2023,0.006101592540204814
04/2023,0.009973080294957637
05/2023,0.010741642999427592
06/2023,
07/2023,
08/2023,
10/2023,
01/2024,
02/2024,
