,ROA
01/2019,
02/2019,
04/2019,
05/2019,
06/2019,
07/2019,
08/2019,0.0016678385989688307
10/2019,-0.001909457567971653
11/2019,-0.0004923003584557115
12/2019,-0.0008096320960509695
01/2020,0.00047788531398997545
02/2020,0.0018140281941445725
03/2020,-0.00030078507679743606
04/2020,0.0027044987384726377
05/2020,-0.0011766721418338278
06/2020,-0.0007463824962738496
07/2020,0.00023208100755978817
09/2020,0.00018308052698119606
10/2020,-0.00019446788331340358
11/2020,-4.076229654696728e-05
01/2021,-0.0011077324881350542
02/2021,-0.0025891011213452202
03/2021,-0.0005636964403128997
04/2021,0.0011607196022905223
05/2021,-2.1938384191103402e-05
07/2021,0.002076407136180909
08/2021,-0.0002603605265692919
09/2021,-0.0007510586390870452
10/2021,-0.0009605693249341365
11/2021,-0.0006224247981747328
01/2022,-0.0011521170865661078
02/2022,-0.0014434565762399577
05/2022,0.0003283741420508565
06/2022,0.0003594614055327447
07/2022,0.004926747274699083
08/2022,0.004189713931967799
09/2022,-0.00260520845357198
10/2022,-0.0008129144750753537
11/2022,-5.3768359365569465e-05
12/2022,-4.940679022857192e-05
01/2023,0.001273726181103477
02/2023,-0.0030708865452581365
03/2023,0.0017166798827196045
04/2023,-0.0016105296725559114
05/2023,-0.0006638235696186656
06/2023,
07/2023,
08/2023,
10/2023,
01/2024,
02/2024,
